"rowID","Metadata,MulticastAddress","Metadata,StateVersion","Metadata,IsTerminated","Metadata,TimeOfCommit","Metadata,TimeOfReceipt","Metadata,Enum,Middleware::EventType","tspi.time.nanosecondsSince1970,Int64","Enum,TENA::RTcode,tspi.position.geodetic_asTransmitted.srf.rtCode (optional)","tspi.position.geodetic_asTransmitted.latitudeInDegrees,Float64 (optional)","tspi.position.geodetic_asTransmitted.longitudeInDegrees,Float64 (optional)","tspi.position.geodetic_asTransmitted.heightAboveEllipsoidInMeters,Float64 (optional)","Enum,TENA::RTcode,tspi.velocity.ltpENU_asTransmitted.srf.rtCode (optional)","tspi.velocity.ltpENU_asTransmitted.srf.latitudeInDegrees,Float64 (optional)","tspi.velocity.ltpENU_asTransmitted.srf.longitudeInDegrees,Float64 (optional)","tspi.velocity.ltpENU_asTransmitted.srf.heightAboveEllipsoidInMeters,Float64 (optional)","tspi.velocity.ltpENU_asTransmitted.srf.azimuthInRadians,Float64 (optional)","tspi.velocity.ltpENU_asTransmitted.srf.xFalseOriginInMeters,Float64 (optional)","tspi.velocity.ltpENU_asTransmitted.srf.yFalseOriginInMeters,Float64 (optional)","tspi.velocity.ltpENU_asTransmitted.vxInMetersPerSecond,Float32 (optional)","tspi.velocity.ltpENU_asTransmitted.vyInMetersPerSecond,Float32 (optional)","tspi.velocity.ltpENU_asTransmitted.vzInMetersPerSecond,Float32 (optional)","Enum,TENA::RTcode,tspi.orientation.frdWRTltpENUbodyFixedZYX_asTransmitted.srf.rtCode (optional)","tspi.orientation.frdWRTltpENUbodyFixedZYX_asTransmitted.srf.latitudeInDegrees,Float64 (optional)","tspi.orientation.frdWRTltpENUbodyFixedZYX_asTransmitted.srf.longitudeInDegrees,Float64 (optional)","tspi.orientation.frdWRTltpENUbodyFixedZYX_asTransmitted.srf.heightAboveEllipsoidInMeters,Float64 (optional)","tspi.orientation.frdWRTltpENUbodyFixedZYX_asTransmitted.srf.azimuthInRadians,Float64 (optional)","tspi.orientation.frdWRTltpENUbodyFixedZYX_asTransmitted.srf.xFalseOriginInMeters,Float64 (optional)","tspi.orientation.frdWRTltpENUbodyFixedZYX_asTransmitted.srf.yFalseOriginInMeters,Float64 (optional)","tspi.orientation.frdWRTltpENUbodyFixedZYX_asTransmitted.rotZinRadians,Float64 (optional)","tspi.orientation.frdWRTltpENUbodyFixedZYX_asTransmitted.rotYinRadians,Float64 (optional)","tspi.orientation.frdWRTltpENUbodyFixedZYX_asTransmitted.rotXinRadians,Float64 (optional)","Enum,TENA::Instrumentation::Track::CorrectionMode,correctionMode","isPositionDirectlyMeasured,Boolean","isVelocityDirectlyMeasured,Boolean","isAccelerationDirectlyMeasured,Boolean","isOrientationDirectlyMeasured,Boolean","isAngularVelocityDirectlyMeasured,Boolean","isAngularAccelerationDirectlyMeasured,Boolean","validLatitde,Boolean","validLongitude,Boolean","validElevation,Boolean","messageCount,Int8","msWithinMinute,UInt16","Enum,VUG::J2735::TransmissionState,transmissionState","steeringWheelAngle,Float32 (optional)","brakeSystemStatus.leftFrontWheelBrakeOn,Boolean","brakeSystemStatus.leftRearWheelBrakeOn,Boolean","brakeSystemStatus.rightFrontWheelBrakeOn,Boolean","brakeSystemStatus.rightRearWheelBrakeOn,Boolean","Enum,VUG::J2735::TractionControlStatus,brakeSystemStatus.tractionControl","Enum,VUG::J2735::AntiLockBrakeStatus,brakeSystemStatus.antiLockBrakeSystem","Enum,VUG::J2735::StabilityControlStatus,brakeSystemStatus.stabilityControlStatus","Enum,VUG::J2735::BrakeBoostApplied,brakeSystemStatus.brakeBoostApplied","Enum,VUG::J2735::AuxiliaryBrakeStatus,brakeSystemStatus.auxiliaryBrakeStatus","const^Metadata,SDOid.hostIPaddress","const^Metadata,SDOid.processID","const^Metadata,SDOid.processCreateTimeSec","const^Metadata,SDOid.counter","const^Metadata,Enum,Middleware::CommunicationProperties","const^Metadata,ApplicationId","const^Metadata,Endpoint","const^Metadata,PublisherSessionId","const^Metadata,ReactivationCount","const^Metadata,TimeOfCreation","const^Metadata,TimeOfDiscovery","const^identifier,String","const^sourceIdentifier,String","const^Enum,VUG::LVCindicator,lvcIndicator","const^vehicleWidthInMeters,Float32","const^vehicleLengthInMeters,Float32"
1,"N/A",1127,0,1712338073906589000,1712338073920185000,"Discovery",1712338073906467000,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,3.6307211764612,0.0,0.0,0.0,0.0,0.0,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,3.6307211764612,0.0,0.0,0.0,0.0,0.0,"TENA::Instrumentation::Track::CorrectionMode_None",1,0,0,0,0,0,1,1,1,111,53000,"VUG::J2735::TransmissionState_ForwardGears",0.0,0,0,0,0,"VUG::J2735::TractionControlStatus_Unavailable","VUG::J2735::AntiLockBrakeStatus_Unavailable","VUG::J2735::StabilityControlStatus_Unavailable","VUG::J2735::BrakeBoostApplied_Unavailable","VUG::J2735::AuxiliaryBrakeStatus_Unavailable","10.91.0.164",635,1712337949,10,"Reliable",106,"10.91.0.164:36791",0,0,1712337961514567000,1712338073920524000,"ANL-DYNO-1","CARLA-ANL-2","VUG::LVCindicator_Live",2.29999995231628,6.0
2,"N/A",1128,0,1712338073997044000,1712338073998069000,"StateChange",1712338073996893000,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,3.6307211764612,0.0,0.0,0.0,0.0,0.0,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,3.6307211764612,0.0,0.0,0.0,0.0,0.0,"TENA::Instrumentation::Track::CorrectionMode_None",1,0,0,0,0,0,1,1,1,112,53000,"VUG::J2735::TransmissionState_ForwardGears",0.0,0,0,0,0,"VUG::J2735::TractionControlStatus_Unavailable","VUG::J2735::AntiLockBrakeStatus_Unavailable","VUG::J2735::StabilityControlStatus_Unavailable","VUG::J2735::BrakeBoostApplied_Unavailable","VUG::J2735::AuxiliaryBrakeStatus_Unavailable","10.91.0.164",635,1712337949,10,"Reliable",106,"10.91.0.164:36791",0,0,1712337961514567000,1712338073920524000,"ANL-DYNO-1","CARLA-ANL-2","VUG::LVCindicator_Live",2.29999995231628,6.0
3,"N/A",1129,0,1712338074098230000,1712338074098961000,"StateChange",1712338074098118000,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,3.6307211764612,0.0,0.0,0.0,0.0,0.0,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,3.6307211764612,0.0,0.0,0.0,0.0,0.0,"TENA::Instrumentation::Track::CorrectionMode_None",1,0,0,0,0,0,1,1,1,113,54000,"VUG::J2735::TransmissionState_ForwardGears",0.0,0,0,0,0,"VUG::J2735::TractionControlStatus_Unavailable","VUG::J2735::AntiLockBrakeStatus_Unavailable","VUG::J2735::StabilityControlStatus_Unavailable","VUG::J2735::BrakeBoostApplied_Unavailable","VUG::J2735::AuxiliaryBrakeStatus_Unavailable","10.91.0.164",635,1712337949,10,"Reliable",106,"10.91.0.164:36791",0,0,1712337961514567000,1712338073920524000,"ANL-DYNO-1","CARLA-ANL-2","VUG::LVCindicator_Live",2.29999995231628,6.0
4,"N/A",1130,0,1712338074207069000,1712338074207866000,"StateChange",1712338074206956000,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,3.6307211764612,0.0,0.0,0.0,0.0,0.0,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,3.6307211764612,0.0,0.0,0.0,0.0,0.0,"TENA::Instrumentation::Track::CorrectionMode_None",1,0,0,0,0,0,1,1,1,114,54000,"VUG::J2735::TransmissionState_ForwardGears",0.0,0,0,0,0,"VUG::J2735::TractionControlStatus_Unavailable","VUG::J2735::AntiLockBrakeStatus_Unavailable","VUG::J2735::StabilityControlStatus_Unavailable","VUG::J2735::BrakeBoostApplied_Unavailable","VUG::J2735::AuxiliaryBrakeStatus_Unavailable","10.91.0.164",635,1712337949,10,"Reliable",106,"10.91.0.164:36791",0,0,1712337961514567000,1712338073920524000,"ANL-DYNO-1","CARLA-ANL-2","VUG::LVCindicator_Live",2.29999995231628,6.0
5,"N/A",1131,0,1712338074298632000,1712338074302418000,"StateChange",1712338074298510000,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,3.6307211764612,0.0,0.0,0.0,0.0,0.0,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,3.6307211764612,0.0,0.0,0.0,0.0,0.0,"TENA::Instrumentation::Track::CorrectionMode_None",1,0,0,0,0,0,1,1,1,115,54000,"VUG::J2735::TransmissionState_ForwardGears",0.0,0,0,0,0,"VUG::J2735::TractionControlStatus_Unavailable","VUG::J2735::AntiLockBrakeStatus_Unavailable","VUG::J2735::StabilityControlStatus_Unavailable","VUG::J2735::BrakeBoostApplied_Unavailable","VUG::J2735::AuxiliaryBrakeStatus_Unavailable","10.91.0.164",635,1712337949,10,"Reliable",106,"10.91.0.164:36791",0,0,1712337961514567000,1712338073920524000,"ANL-DYNO-1","CARLA-ANL-2","VUG::LVCindicator_Live",2.29999995231628,6.0
6,"N/A",1132,0,1712338074400623000,1712338074402572000,"StateChange",1712338074400499000,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,3.6307211764612,0.0,0.0,0.0,0.0,0.0,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,3.6307211764612,0.0,0.0,0.0,0.0,0.0,"TENA::Instrumentation::Track::CorrectionMode_None",1,0,0,0,0,0,1,1,1,116,54000,"VUG::J2735::TransmissionState_ForwardGears",0.0,0,0,0,0,"VUG::J2735::TractionControlStatus_Unavailable","VUG::J2735::AntiLockBrakeStatus_Unavailable","VUG::J2735::StabilityControlStatus_Unavailable","VUG::J2735::BrakeBoostApplied_Unavailable","VUG::J2735::AuxiliaryBrakeStatus_Unavailable","10.91.0.164",635,1712337949,10,"Reliable",106,"10.91.0.164:36791",0,0,1712337961514567000,1712338073920524000,"ANL-DYNO-1","CARLA-ANL-2","VUG::LVCindicator_Live",2.29999995231628,6.0
7,"N/A",1133,0,1712338074512552000,1712338074515894000,"StateChange",1712338074512429000,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,3.6307211764612,0.0,0.0,0.0,0.0,0.0,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,3.6307211764612,0.0,0.0,0.0,0.0,0.0,"TENA::Instrumentation::Track::CorrectionMode_None",1,0,0,0,0,0,1,1,1,117,54000,"VUG::J2735::TransmissionState_ForwardGears",0.0,0,0,0,0,"VUG::J2735::TractionControlStatus_Unavailable","VUG::J2735::AntiLockBrakeStatus_Unavailable","VUG::J2735::StabilityControlStatus_Unavailable","VUG::J2735::BrakeBoostApplied_Unavailable","VUG::J2735::AuxiliaryBrakeStatus_Unavailable","10.91.0.164",635,1712337949,10,"Reliable",106,"10.91.0.164:36791",0,0,1712337961514567000,1712338073920524000,"ANL-DYNO-1","CARLA-ANL-2","VUG::LVCindicator_Live",2.29999995231628,6.0
8,"N/A",1134,0,1712338074600423000,1712338074603372000,"StateChange",1712338074600307000,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,3.6307211764612,0.0,0.0,0.0,0.0,0.0,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,3.6307211764612,0.0,0.0,0.0,0.0,0.0,"TENA::Instrumentation::Track::CorrectionMode_None",1,0,0,0,0,0,1,1,1,118,54000,"VUG::J2735::TransmissionState_ForwardGears",0.0,0,0,0,0,"VUG::J2735::TractionControlStatus_Unavailable","VUG::J2735::AntiLockBrakeStatus_Unavailable","VUG::J2735::StabilityControlStatus_Unavailable","VUG::J2735::BrakeBoostApplied_Unavailable","VUG::J2735::AuxiliaryBrakeStatus_Unavailable","10.91.0.164",635,1712337949,10,"Reliable",106,"10.91.0.164:36791",0,0,1712337961514567000,1712338073920524000,"ANL-DYNO-1","CARLA-ANL-2","VUG::LVCindicator_Live",2.29999995231628,6.0
9,"N/A",1135,0,1712338074701339000,1712338074702227000,"StateChange",1712338074701211000,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,3.6307211764612,0.0,0.0,0.0,0.0,0.0,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,3.6307211764612,0.0,0.0,0.0,0.0,0.0,"TENA::Instrumentation::Track::CorrectionMode_None",1,0,0,0,0,0,1,1,1,119,54000,"VUG::J2735::TransmissionState_ForwardGears",0.0,0,0,0,0,"VUG::J2735::TractionControlStatus_Unavailable","VUG::J2735::AntiLockBrakeStatus_Unavailable","VUG::J2735::StabilityControlStatus_Unavailable","VUG::J2735::BrakeBoostApplied_Unavailable","VUG::J2735::AuxiliaryBrakeStatus_Unavailable","10.91.0.164",635,1712337949,10,"Reliable",106,"10.91.0.164:36791",0,0,1712337961514567000,1712338073920524000,"ANL-DYNO-1","CARLA-ANL-2","VUG::LVCindicator_Live",2.29999995231628,6.0
10,"N/A",1136,0,1712338074814199000,1712338074814957000,"StateChange",1712338074814106000,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,3.6307211764612,0.0,0.0,0.0,0.0,0.0,"TENA::RTCODE_WGS_1984_IDENTITY",42.3025411,-83.6977966,244.1,3.6307211764612,0.0,0.0,0.0,0.0,0.0,"TENA::Instrumentation::Track::CorrectionMode_None",1,0,0,0,0,0,1,1,1,120,54000,"VUG::J2735::TransmissionState_ForwardGears",0.0,0,0,0,0,"VUG::J2735::TractionControlStatus_Unavailable","VUG::J2735::AntiLockBrakeStatus_Unavailable","VUG::J2735::StabilityControlStatus_Unavailable","VUG::J2735::BrakeBoostApplied_Unavailable","VUG::J2735::AuxiliaryBrakeStatus_Unavailable","10.91.0.164",635,1712337949,10,"Reliable",106,"10.91.0.164:36791",0,0,1712337961514567000,1712338073920524000,"ANL-DYNO-1","CARLA-ANL-2","VUG::LVCindicator_Live",2.29999995231628,6.0
