TimeStamp, Counter, RelativeDistance, RelativeSpeed, LeadVehicleSpeed, HostVehicleSpeed
1712331568.965,1.0,10.906,0.0,0.0,0.0
1712331569.062,2.0,10.906,0.0,0.0,0.0
1712331569.1593,3.0,10.906,0.0,0.0,0.0
1712331569.259,4.0,10.906,0.0,0.0,0.0
1712331569.36,5.0,10.906,0.0,0.0,0.0
1712331569.4584,6.0,10.906,0.0,0.0,0.0
1712331569.5581,7.0,10.906,0.0,0.0,0.0
1712331569.6586,8.0,10.906,0.0,0.0,0.0
1712331569.759,9.0,10.906,0.0,0.0,0.0
1712331569.8584,10.0,10.906,0.0,0.0,0.0
1712331569.9589,11.0,10.906,0.0,0.0,0.0
1712331570.0584,12.0,10.906,0.0,0.0,0.0
1712331570.1589,13.0,10.906,0.0,0.0,0.0
1712331570.2601,14.0,10.906,0.0,0.0,0.0
1712331570.3583,15.0,10.906,0.0,0.0,0.0
1712331570.4589,16.0,10.906,0.0,0.0,0.0
1712331570.5607,17.0,10.906,0.0,0.0,0.0
1712331570.6595,18.0,10.906,0.0,0.0,0.0
1712331570.7591,19.0,10.906,0.0,0.0,0.0
1712331570.8588,20.0,10.906,0.0,0.0,0.0
1712331570.9593,21.0,10.906,0.0,0.0,0.0
1712331571.0585,22.0,10.906,0.0,0.0,0.0
1712331571.1593,23.0,10.906,0.0,0.0,0.0
1712331571.2586,24.0,10.906,0.0,0.0,0.0
1712331571.359,25.0,10.906,0.0,0.0,0.0
1712331571.4593,26.0,10.906,0.0,0.0,0.0
1712331571.5585,27.0,10.906,0.0,0.0,0.0
1712331571.6595,28.0,10.906,0.0,0.0,0.0
1712331571.7596,29.0,10.906,0.0,0.0,0.0
1712331571.8586,30.0,10.906,0.0,0.0,0.0
1712331571.9585,31.0,10.906,0.0,0.0,0.0
1712331572.0584,32.0,10.906,0.0,0.0,0.0
1712331572.1595,33.0,10.906,0.0,0.0,0.0
1712331572.2586,34.0,10.906,0.0,0.0,0.0
1712331572.3592,35.0,10.906,0.0,0.0,0.0
1712331572.4586,36.0,10.906,0.0,0.0,0.0
1712331572.5586,37.0,10.906,0.0,0.0,0.0
1712331572.6584,38.0,10.906,0.0,0.0,0.0
1712331572.7588,39.0,10.906,0.0,0.0,0.0
1712331572.8595,40.0,10.906,0.0,0.0,0.0
1712331572.9592,41.0,10.906,0.0,0.0,0.0
1712331573.0589,42.0,10.916,0.34,0.34,0.0
1712331573.1594,43.0,10.994,1.0,1.0,0.0
1712331573.2583,44.0,11.07,1.42,1.42,0.0
1712331573.3588,45.0,11.278,2.1,2.1,0.0
1712331573.4586,46.0,11.542,2.48,2.48,0.0
1712331573.5598,47.0,11.683,2.48,2.48,0.0
1712331573.659,48.0,11.955,2.44,2.44,0.0
1712331573.7587,49.0,12.227,2.42,2.42,0.0
1712331573.8589,50.0,12.507,2.4,2.4,0.0
1712331573.9605,51.0,12.638,2.4,2.4,0.0
1712331574.0585,52.0,12.939,2.96,2.96,0.0
1712331574.1584,53.0,13.315,3.54,3.54,0.0
1712331574.259,54.0,13.76,4.12,4.12,0.0
1712331574.3586,55.0,13.998,4.4,4.4,0.0
1712331574.4614,56.0,14.539,4.98,4.98,0.0
1712331574.5588,57.0,15.143,5.56,5.56,0.0
1712331574.6586,58.0,15.478,5.84,5.84,0.0
1712331574.7592,59.0,16.181,6.42,6.42,0.0
1712331574.8584,60.0,16.949,7.0,7.0,0.0
1712331574.9588,61.0,17.361,7.28,7.28,0.0
1712331575.0586,62.0,18.231,7.84,7.84,0.0
1712331575.1585,63.0,19.17,8.38,8.38,0.0
1712331575.258,64.0,20.158,8.88,8.88,0.0
1712331575.3587,65.0,20.579,8.4,9.04,0.64
1712331575.4598,66.0,21.516,8.15,9.02,0.87
1712331575.5588,67.0,22.447,8.02,9.0,0.98
1712331575.6586,68.0,22.849,7.87,9.0,1.13
1712331575.76,69.0,23.82,7.76,9.0,1.24
1712331575.859,70.0,24.698,7.64,9.02,1.38
1712331575.9588,71.0,25.591,7.54,9.04,1.5
1712331576.0591,72.0,25.962,7.44,9.04,1.6
1712331576.1581,73.0,26.849,7.17,8.9,1.73
1712331576.2582,74.0,27.701,6.85,8.68,1.83
1712331576.3585,75.0,28.07,6.62,8.56,1.94
1712331576.4604,76.0,28.838,6.26,8.32,2.06
1712331576.5721,77.0,29.606,5.92,8.08,2.16
1712331576.6587,78.0,30.309,5.59,7.86,2.27
1712331576.7581,79.0,30.546,5.43,7.8,2.37
1712331576.8584,80.0,31.223,5.43,7.9,2.47
1712331576.9595,81.0,31.938,5.68,8.24,2.56
1712331577.0599,82.0,32.154,5.78,8.44,2.66
1712331577.1594,83.0,32.898,6.18,8.92,2.74
1712331577.2587,84.0,33.669,6.46,9.3,2.84
1712331577.3606,85.0,34.485,6.38,9.3,2.92
1712331577.462,86.0,34.749,6.22,9.24,3.02
1712331577.5603,87.0,35.529,5.91,9.02,3.11
1712331577.6612,88.0,36.234,5.59,8.78,3.19
1712331577.7599,89.0,36.453,5.36,8.64,3.28
1712331577.8621,90.0,37.137,5.04,8.4,3.36
1712331577.9588,91.0,37.74,4.71,8.16,3.45
1712331578.0578,92.0,38.32,4.4,7.94,3.54
1712331578.158,93.0,38.465,4.24,7.88,3.64
1712331578.2589,94.0,38.995,4.18,7.9,3.72
1712331578.3585,95.0,39.586,4.11,7.92,3.81
1712331578.459,96.0,39.672,4.03,7.92,3.89
1712331578.5592,97.0,40.168,3.97,7.94,3.97
1712331578.6592,98.0,40.669,3.89,7.96,4.07
1712331578.7606,99.0,41.156,4.0,8.14,4.14
1712331578.858,100.0,41.279,4.05,8.28,4.23
1712331578.9586,101.0,41.758,4.33,8.64,4.31
1712331579.0591,102.0,42.388,4.62,9.02,4.4
1712331579.1605,103.0,43.05,4.71,9.2,4.49
1712331579.2585,104.0,43.116,4.62,9.18,4.56
1712331579.3584,105.0,43.756,4.45,9.1,4.65
1712331579.4592,106.0,44.335,4.23,8.96,4.73
1712331579.56,107.0,44.412,4.07,8.9,4.83
1712331579.6586,108.0,44.927,3.87,8.76,4.89
1712331579.7587,109.0,45.466,3.64,8.62,4.98
1712331579.8589,110.0,45.976,3.43,8.48,5.05
1712331579.9601,111.0,45.938,3.26,8.42,5.16
1712331580.0608,112.0,46.46,3.08,8.3,5.22
1712331580.1584,113.0,46.86,2.85,8.16,5.31
1712331580.2598,114.0,46.79,2.75,8.12,5.37
1712331580.3597,115.0,47.144,2.67,8.14,5.47
1712331580.4584,116.0,47.63,2.84,8.38,5.54
1712331580.562,117.0,48.077,3.12,8.74,5.62
1712331580.6596,118.0,48.008,3.23,8.92,5.69
1712331580.7597,119.0,48.431,3.33,9.1,5.77
1712331580.8586,120.0,48.915,3.21,9.06,5.85
1712331580.9593,121.0,49.962,3.11,8.96,5.85
1712331581.0599,122.0,49.3,2.9,8.92,6.02
1712331581.1587,123.0,49.71,2.71,8.78,6.07
1712331581.2598,124.0,50.124,2.49,8.66,6.17
1712331581.3595,125.0,50.061,2.35,8.6,6.25
1712331581.4604,126.0,50.376,2.16,8.48,6.32
1712331581.5608,127.0,50.711,1.98,8.38,6.4
1712331581.662,128.0,51.019,1.79,8.26,6.47
1712331581.7622,129.0,50.872,1.64,8.2,6.56
1712331581.8596,130.0,51.131,1.46,8.1,6.64
1712331581.9608,131.0,51.409,1.43,8.14,6.71
1712331582.0596,132.0,51.268,1.44,8.24,6.8
1712331582.1585,133.0,51.528,1.71,8.58,6.87
1712331582.2597,134.0,51.838,1.93,8.88,6.95
1712331582.3603,135.0,52.185,1.88,8.92,7.04
1712331582.4594,136.0,51.958,1.79,8.9,7.11
1712331582.5603,137.0,52.289,1.61,8.82,7.21
1712331582.6617,138.0,52.583,1.46,8.72,7.26
1712331582.7635,139.0,52.39,1.32,8.66,7.34
1712331582.8589,140.0,52.694,1.1,8.54,7.44
1712331582.9591,141.0,52.878,0.93,8.44,7.51
1712331583.0596,142.0,53.06,0.75,8.34,7.59
1712331583.1605,143.0,52.806,0.62,8.3,7.68
1712331583.2606,144.0,52.911,0.44,8.2,7.76
1712331583.3591,145.0,53.094,0.3,8.16,7.86
1712331583.4602,146.0,53.267,0.4,8.32,7.92
1712331583.559,147.0,53.035,0.48,8.48,8.0
1712331583.6598,148.0,53.091,0.75,8.84,8.09
1712331583.76,149.0,53.433,0.85,9.02,8.17
1712331583.8606,150.0,53.07,0.74,9.02,8.28
1712331583.9603,151.0,53.326,0.64,8.98,8.34
1712331584.0587,152.0,53.599,0.45,8.88,8.43
1712331584.1601,153.0,53.659,0.27,8.78,8.51
1712331584.2587,154.0,53.38,0.15,8.74,8.59
