TimeStamp, Counter, HostVehicleSpeed
1712345623.8728,890.0,0.0
1712345623.8993,891.0,0.0
1712345623.9238,892.0,0.0
1712345623.9369,893.0,0.0
1712345624.0318,894.0,0.0
1712345624.1316,895.0,0.0
1712345624.2312,896.0,0.0
1712345624.3315,897.0,0.0
1712345624.4318,898.0,0.0
1712345624.5318,899.0,0.0
1712345624.6316,900.0,0.0
1712345624.732,901.0,0.0
1712345624.8318,902.0,0.0
1712345624.9318,903.0,0.0
1712345625.0316,904.0,0.0
1712345625.1315,905.0,0.0
1712345625.2317,906.0,0.0
1712345625.3315,907.0,0.0
1712345625.4316,908.0,0.0
1712345625.5319,909.0,0.0
1712345625.6317,910.0,0.0
1712345625.7318,911.0,0.0
1712345625.8317,912.0,0.0
1712345625.9317,913.0,0.0
1712345626.0317,914.0,0.0
1712345626.1316,915.0,0.0
1712345626.232,916.0,0.0
1712345626.3316,917.0,0.0
1712345626.4314,918.0,0.0
1712345626.5315,919.0,0.0
1712345626.6316,920.0,0.0
1712345626.7317,921.0,0.0
1712345626.832,922.0,0.0
1712345626.9501,923.0,0.0
1712345627.0317,924.0,0.0
1712345627.1319,925.0,0.0
1712345627.2311,926.0,0.0
1712345627.3316,927.0,0.0
1712345627.4314,928.0,0.0
1712345627.5317,929.0,0.0
1712345627.6316,930.0,0.0
1712345627.7316,931.0,0.0
1712345627.8315,932.0,0.0
1712345627.9317,933.0,0.0
1712345628.0316,934.0,0.0
1712345628.1318,935.0,0.0
1712345628.2319,936.0,0.0
1712345628.3316,937.0,0.0
1712345628.4312,938.0,0.0
1712345628.5317,939.0,0.0
1712345628.6318,940.0,0.0
1712345628.7316,941.0,0.0
1712345628.8313,942.0,0.0
1712345628.9316,943.0,0.0
1712345629.0318,944.0,0.0
1712345629.1323,945.0,0.0
1712345629.2324,946.0,0.0
1712345629.3315,947.0,0.0
1712345629.431,948.0,0.0
1712345629.5321,949.0,0.0
1712345629.6308,950.0,0.0
1712345629.7316,951.0,0.0
1712345629.8309,952.0,0.0
1712345629.9312,953.0,0.0
1712345630.0315,954.0,0.0
1712345630.1314,955.0,0.0
1712345630.2318,956.0,0.0
1712345630.3316,957.0,0.0
1712345630.4314,958.0,0.0
1712345630.5314,959.0,0.0
1712345630.6311,960.0,0.0
1712345630.7309,961.0,0.0
1712345630.8308,962.0,0.0
1712345630.931,963.0,0.0
1712345631.0497,964.0,0.0
1712345631.131,965.0,0.0
1712345631.2313,966.0,0.0
1712345631.3315,967.0,0.0
1712345631.4312,968.0,0.0
1712345631.531,969.0,0.0
1712345631.631,970.0,0.0
1712345631.7317,971.0,0.0
1712345631.8312,972.0,0.0
1712345631.9319,973.0,0.0
1712345632.0311,974.0,0.0
1712345632.1312,975.0,0.0
1712345632.2311,976.0,0.0
1712345632.3313,977.0,0.0
1712345632.4311,978.0,0.0
1712345632.5311,979.0,0.0
1712345632.6314,980.0,0.0
1712345632.7319,981.0,0.0
1712345632.8308,982.0,0.0
1712345632.9319,983.0,0.0
1712345633.0306,984.0,0.0
1712345633.1308,985.0,0.0
1712345633.2307,986.0,0.0
1712345633.3322,987.0,0.0
1712345633.4314,988.0,0.0
1712345633.5311,989.0,0.0
1712345633.6313,990.0,0.0
1712345633.7317,991.0,0.0
1712345633.8308,992.0,0.0
1712345633.9311,993.0,0.0
1712345634.0312,994.0,0.0
1712345634.1307,995.0,0.0
1712345634.2305,996.0,0.0
1712345634.3309,997.0,0.0
1712345634.4309,998.0,0.0
1712345634.5518,999.0,0.0
1712345634.6305,1000.0,0.0
1712345634.7304,1001.0,0.0
1712345634.8304,1002.0,0.0
1712345634.9305,1003.0,0.0
1712345635.0306,1004.0,0.0
1712345635.1306,1005.0,0.0
1712345635.2307,1006.0,0.0
1712345635.3389,1007.0,0.0
1712345635.4309,1008.0,0.0
1712345635.5319,1009.0,0.0
1712345635.6306,1010.0,0.0
1712345635.731,1011.0,0.0
1712345635.8317,1012.0,0.0
1712345635.9316,1013.0,0.0
1712345636.0308,1014.0,0.0
1712345636.1535,1015.0,0.0
1712345636.2319,1016.0,0.0
1712345636.3321,1017.0,0.0
1712345636.4312,1018.0,0.0
1712345636.5337,1019.0,0.0
1712345636.6316,1020.0,0.0
1712345636.7307,1021.0,0.0
1712345636.8313,1022.0,0.0
1712345636.9318,1023.0,0.0
1712345637.0308,1024.0,0.0
