TimeStamp,Counter,RelativeDistance,RelativeSpeed,LeadVehicleSpeed,HostVehicleSpeed
1712345677.1879,1.0,22.527,0.1,0.1,0.0
1712345677.2879,2.0,22.527,0.2,0.2,0.0
1712345677.3881,3.0,22.527,0.3,0.3,0.0
1712345677.4882,4.0,22.527,0.4,0.4,0.0
1712345677.5883,5.0,22.527,0.5,0.5,0.0
1712345677.6884,6.0,22.527,0.6,0.6,0.0
1712345677.7886,7.0,22.527,0.7,0.7,0.0
1712345677.8888,8.0,22.527,0.8,0.8,0.0
1712345677.9889,9.0,22.527,0.9,0.9,0.0
1712345678.1086,10.0,22.527,1.0,1.0,0.0
1712345678.1896,11.0,22.527,1.1,1.1,0.0
1712345678.2899,12.0,22.527,1.2,1.2,0.0
1712345678.3899,13.0,22.527,1.3,1.3,0.0
1712345678.4901,14.0,22.527,1.4,1.4,0.0
1712345678.5902,15.0,22.527,1.5,1.5,0.0
1712345678.6904,16.0,22.527,1.6,1.6,0.0
1712345678.7906,17.0,22.527,1.7,1.7,0.0
1712345678.8906,18.0,22.527,1.8,1.8,0.0
1712345678.9908,19.0,22.527,1.9,1.9,0.0
1712345679.091,20.0,24.412,1.32,2.0,0.68
1712345679.1912,21.0,24.312,1.29,2.1,0.81
1712345679.2914,22.0,24.203,1.27,2.2,0.93
1712345679.3915,23.0,24.118,1.26,2.3,1.04
1712345679.4916,24.0,24.024,1.24,2.4,1.16
1712345679.5919,25.0,23.846,1.23,2.5,1.27
1712345679.692,26.0,23.765,1.19,2.6,1.41
1712345679.7921,27.0,23.597,1.2,2.7,1.5
1712345679.8922,28.0,25.402,1.2,2.8,1.6
1712345679.9924,29.0,25.251,1.19,2.9,1.71
1712345680.0931,30.0,25.018,1.22,3.0,1.78
1712345680.1931,31.0,24.941,1.22,3.1,1.88
1712345680.2934,32.0,24.729,1.23,3.2,1.97
1712345680.3935,33.0,24.517,1.24,3.3,2.06
1712345680.4937,34.0,24.322,1.26,3.4,2.14
1712345680.5938,35.0,26.122,1.26,3.5,2.24
1712345680.694,36.0,25.896,1.3,3.6,2.3
1712345680.794,37.0,25.618,1.32,3.7,2.38
1712345680.8942,38.0,25.411,1.34,3.8,2.46
1712345680.9943,39.0,25.129,1.37,3.9,2.53
1712345681.0945,40.0,27.972,1.4,4.0,2.6
1712345681.1946,41.0,27.72,1.42,4.1,2.68
1712345681.2947,42.0,27.454,1.46,4.2,2.74
1712345681.3948,43.0,27.16,1.49,4.3,2.81
1712345681.4951,44.0,26.899,1.52,4.4,2.88
1712345681.5951,45.0,26.597,1.56,4.5,2.94
1712345681.6952,46.0,26.332,1.48,4.5,3.02
1712345681.7953,47.0,28.004,1.39,4.5,3.11
1712345681.9009,48.0,27.705,1.32,4.5,3.18
1712345681.9966,49.0,27.396,1.22,4.5,3.28
1712345682.096,50.0,27.076,1.14,4.5,3.36
1712345682.1961,51.0,26.735,1.05,4.5,3.45
1712345682.2964,52.0,28.391,0.97,4.5,3.53
1712345682.3965,53.0,28.038,0.88,4.5,3.62
1712345682.4967,54.0,27.662,0.79,4.5,3.71
1712345682.5968,55.0,27.295,0.71,4.5,3.79
1712345682.6969,56.0,28.95,0.61,4.5,3.89
1712345682.797,57.0,28.534,0.54,4.5,3.96
1712345682.8976,58.0,28.167,0.46,4.5,4.04
1712345682.9973,59.0,27.751,0.39,4.5,4.11
1712345683.0974,60.0,29.342,0.31,4.5,4.19
1712345683.1975,61.0,28.951,0.24,4.5,4.26
1712345683.2977,62.0,28.499,0.19,4.5,4.31
1712345683.3978,63.0,28.078,0.13,4.5,4.37
1712345683.4979,64.0,27.617,0.08,4.5,4.42
1712345683.598,65.0,29.173,0.02,4.5,4.48
1712345683.6982,66.0,28.77,-0.03,4.5,4.53
1712345683.7982,67.0,28.291,-0.07,4.5,4.57
1712345683.9162,68.0,27.84,-0.11,4.5,4.61
1712345684.0205,69.0,29.402,-0.15,4.5,4.65
1712345684.0991,70.0,28.899,-0.18,4.5,4.68
1712345684.1992,71.0,28.455,-0.21,4.5,4.71
1712345684.2994,72.0,27.981,-0.23,4.5,4.73
1712345684.3995,73.0,27.47,-0.26,4.5,4.76
1712345684.4997,74.0,28.968,-0.28,4.5,4.78
1712345684.5998,75.0,28.448,-0.29,4.5,4.79
1712345684.6999,76.0,28.016,-0.32,4.5,4.82
1712345684.8,77.0,27.598,-0.33,4.5,4.83
1712345684.9002,78.0,28.967,-0.35,4.5,4.85
1712345685.0003,79.0,28.622,-0.36,4.5,4.86
1712345685.1004,80.0,28.084,-0.37,4.5,4.87
1712345685.2005,81.0,27.57,-0.37,4.5,4.87
1712345685.3006,82.0,27.088,-0.37,4.5,4.87
1712345685.4007,83.0,28.582,-0.38,4.5,4.88
1712345685.5008,84.0,28.126,-0.37,4.5,4.87
1712345685.601,85.0,27.684,-0.38,4.5,4.88
1712345685.7011,86.0,27.12,-0.38,4.5,4.88
1712345685.8013,87.0,28.705,-0.37,4.5,4.87
1712345685.9014,88.0,28.201,-0.37,4.5,4.87
1712345686.0015,89.0,27.74,-0.36,4.5,4.86
1712345686.1017,90.0,27.281,-0.36,4.5,4.86
1712345686.2019,91.0,26.759,-0.35,4.5,4.85
1712345686.3049,92.0,28.25,-0.34,4.5,4.84
1712345686.4025,93.0,27.756,-0.33,4.5,4.83
1712345686.5026,94.0,27.297,-0.33,4.5,4.83
1712345686.6027,95.0,26.849,-0.32,4.5,4.82
1712345686.7028,96.0,28.4,-0.31,4.5,4.81
1712345686.803,97.0,27.84,-0.3,4.5,4.8
1712345686.9031,98.0,27.45,-0.29,4.5,4.79
1712345687.0033,99.0,26.938,-0.28,4.5,4.78
1712345687.1034,100.0,28.485,-0.27,4.5,4.77
1712345687.2035,101.0,27.974,-0.26,4.5,4.76
1712345687.3037,102.0,27.489,-0.25,4.5,4.75
1712345687.4038,103.0,27.002,-0.23,4.5,4.73
1712345687.5041,104.0,26.602,-0.22,4.5,4.72
1712345687.6042,105.0,28.065,-0.22,4.5,4.72
1712345687.7044,106.0,27.636,-0.19,4.5,4.69
1712345687.8045,107.0,27.13,-0.19,4.5,4.69
1712345687.9046,108.0,26.701,-0.18,4.5,4.68
1712345688.0047,109.0,28.209,-0.16,4.5,4.66
1712345688.1049,110.0,27.777,-0.15,4.5,4.65
1712345688.205,111.0,27.267,-0.14,4.5,4.64
1712345688.3052,112.0,26.843,-0.13,4.5,4.63
1712345688.4053,113.0,26.295,-0.12,4.5,4.62
1712345688.5054,114.0,27.906,-0.11,4.5,4.61
