TimeStamp, Counter, EgoVehicleSpeed
1758135667.6129,34.0,2.87
1758135667.6155,35.0,2.67
1758135667.6176,36.0,2.48
1758135667.6191,37.0,3.15
1758135667.6224,38.0,2.58
1758135667.6623,39.0,2.84
1758135667.7646,40.0,3.07
1758135667.8643,41.0,3.99
1758135667.9644,42.0,4.47
1758135668.0632,43.0,5.27
1758135668.1644,44.0,4.8
1758135668.2644,45.0,5.61
1758135668.3638,46.0,5.05
1758135668.4649,47.0,6.42
1758135668.565,48.0,6.99
1758135668.6647,49.0,7.97
1758135668.7651,50.0,7.73
1758135668.865,51.0,9.05
1758135668.9649,52.0,11.58
1758135669.0655,53.0,12.62
1758135669.1653,54.0,10.22
1758135669.2652,55.0,12.88
1758135669.3652,56.0,15.98
1758135669.4656,57.0,13.26
1758135669.5651,58.0,14.98
1758135669.6652,59.0,12.89
1758135669.7653,60.0,12.11
1758135669.8656,61.0,9.81
1758135669.9635,62.0,9.32
1758135670.0635,63.0,11.09
1758135670.1647,64.0,14.09
1758135670.2633,65.0,10.0
1758135670.3634,66.0,12.8
1758135670.4633,67.0,12.29
1758135670.5632,68.0,9.83
1758135670.6633,69.0,11.7
1758135670.7631,70.0,14.15
1758135670.863,71.0,15.57
1758135670.963,72.0,14.48
1758135671.0649,73.0,13.47
1758135671.1647,74.0,11.58
1758135671.2647,75.0,13.32
1758135671.3645,76.0,10.0
1758135671.4644,77.0,8.7
1758135671.5646,78.0,11.14
1758135671.6644,79.0,9.8
1758135671.7645,80.0,11.86
1758135671.8644,81.0,11.03
1758135671.9633,82.0,13.89
1758135672.0645,83.0,15.98
1758135672.1645,84.0,10.0
1758135672.2646,85.0,8.1
1758135672.3634,86.0,8.67
1758135672.4645,87.0,6.93
1758135672.5646,88.0,8.32
1758135672.6647,89.0,10.57
1758135672.7646,90.0,8.66
1758135672.8647,91.0,9.79
1758135672.9636,92.0,12.34
1758135673.065,93.0,10.49
1758135673.1647,94.0,12.79
1758135673.265,95.0,15.99
1758135673.365,96.0,10.0
1758135673.465,97.0,12.8
1758135673.5651,98.0,15.87
1758135673.6652,99.0,10.0
1758135673.7651,100.0,9.5
1758135673.8651,101.0,9.12
1758135673.9653,102.0,11.49
1758135674.0652,103.0,11.38
1758135674.1653,104.0,9.44
1758135674.2652,105.0,8.4
1758135674.3646,106.0,9.24
1758135674.4645,107.0,7.58
1758135674.5653,108.0,6.37
1758135674.6652,109.0,6.56
1758135674.7654,110.0,5.25
1758135674.8654,111.0,5.46
1758135674.9635,112.0,4.64
1758135675.0651,113.0,5.29
1758135675.1654,114.0,6.13
1758135675.2653,115.0,7.24
1758135675.3636,116.0,8.03
1758135675.4635,117.0,6.51
1758135675.5647,118.0,8.46
1758135675.6635,119.0,9.14
1758135675.7635,120.0,10.41
1758135675.8633,121.0,10.0
1758135675.9632,122.0,11.1
1758135676.0649,123.0,14.32
1758135676.1649,124.0,15.46
1758135676.2649,125.0,12.52
1758135676.3649,126.0,14.15
1758135676.464,127.0,10.0
1758135676.565,128.0,11.5
1758135676.665,129.0,11.38
1758135676.7651,130.0,10.7
1758135676.8652,131.0,12.95
1758135676.9639,132.0,13.21
1758135677.0652,133.0,13.6
1758135677.1652,134.0,14.28
1758135677.2653,135.0,12.57
1758135677.3655,136.0,14.96
1758135677.4654,137.0,11.97
1758135677.5653,138.0,11.37
1758135677.6654,139.0,9.78
1758135677.7655,140.0,7.92
1758135677.8656,141.0,9.58
1758135677.9639,142.0,9.1
1758135678.0658,143.0,8.19
1758135678.1654,144.0,6.55
1758135678.2639,145.0,5.83
1758135678.366,146.0,6.77
1758135678.4654,147.0,8.32
1758135678.5653,148.0,9.07
1758135678.6655,149.0,9.98
1758135678.7655,150.0,10.88
1758135678.8658,151.0,13.71
1758135678.9657,152.0,14.39
1758135679.0658,153.0,12.23
1758135679.1658,154.0,11.25
1758135679.2663,155.0,13.84
1758135679.3657,156.0,10.0
1758135679.4657,157.0,11.3
1758135679.5659,158.0,12.32
1758135679.666,159.0,10.96
1758135679.7661,160.0,11.07
1758135679.8662,161.0,12.95
1758135679.9664,162.0,15.67
1758135680.0665,163.0,10.0
1758135680.1664,164.0,9.5
1758135680.2665,165.0,9.69
1758135680.3666,166.0,9.4
1758135680.4649,167.0,9.78
1758135680.5667,168.0,8.11
1758135680.6649,169.0,8.19
1758135680.7648,170.0,9.18
1758135680.8647,171.0,8.54
1758135680.9647,172.0,9.9
1758135681.0647,173.0,8.12
1758135681.1645,174.0,9.09
1758135681.2644,175.0,11.18
1758135681.3644,176.0,8.95
1758135681.4643,177.0,8.68
1758135681.5644,178.0,10.15
1758135681.6643,179.0,11.78
1758135681.7641,180.0,13.19
1758135681.8642,181.0,11.21
1758135681.9641,182.0,14.47
1758135682.0657,183.0,15.04
1758135682.1655,184.0,12.04
1758135682.2656,185.0,10.47
1758135682.3657,186.0,12.57
1758135682.4657,187.0,14.2
1758135682.5651,188.0,15.62
1758135682.6654,189.0,10.0
1758135682.7654,190.0,11.4
1758135682.8653,191.0,9.8
1758135682.964,192.0,9.9
1758135683.0654,193.0,11.49
1758135683.1655,194.0,13.21
1758135683.2654,195.0,13.34
1758135683.3656,196.0,12.94
1758135683.465,197.0,10.0
1758135683.5656,198.0,10.7
1758135683.6661,199.0,9.2
1758135683.7659,200.0,9.11
1758135683.8658,201.0,8.93
1758135683.9646,202.0,8.39
1758135684.066,203.0,9.06
1758135684.1659,204.0,10.88
1758135684.266,205.0,13.16
1758135684.3662,206.0,14.08
1758135684.466,207.0,10.0
1758135684.5655,208.0,10.7
1758135684.6661,209.0,10.7
1758135684.7662,210.0,12.41
1758135684.8661,211.0,12.54
1758135684.9659,212.0,15.29
1758135685.066,213.0,10.0
1758135685.1662,214.0,10.3
1758135685.266,215.0,9.89
1758135685.3663,216.0,9.1
1758135685.4664,217.0,9.55
1758135685.5663,218.0,9.74
1758135685.6664,219.0,9.16
1758135685.7665,220.0,9.8
1758135685.8667,221.0,10.98
1758135685.9658,222.0,13.94
1758135686.0655,223.0,10.0
1758135686.1648,224.0,11.8
1758135686.2648,225.0,10.15
1758135686.3647,226.0,8.52
1758135686.4645,227.0,10.23
1758135686.5644,228.0,8.69
1758135686.6643,229.0,9.39
1758135686.7643,230.0,10.33
1758135686.8643,231.0,12.91
1758135686.9642,232.0,12.91
1758135687.0658,233.0,12.14
1758135687.1658,234.0,15.17
1758135687.2657,235.0,10.0
1758135687.366,236.0,11.3
1758135687.4659,237.0,13.11
1758135687.5659,238.0,10.0
1758135687.6658,239.0,10.3
1758135687.7659,240.0,11.54
1758135687.866,241.0,15.0
1758135687.9648,242.0,12.0
1758135688.066,243.0,15.0
1758135688.1661,244.0,15.45
1758135688.2661,245.0,15.76
1758135688.3662,246.0,10.0
1758135688.4666,247.0,10.2
1758135688.5653,248.0,11.83
1758135688.6661,249.0,13.37
1758135688.7659,250.0,11.9
1758135688.8669,251.0,12.49
1758135688.9648,252.0,15.49
1758135689.0669,253.0,13.32
1758135689.1667,254.0,11.86
1758135689.2668,255.0,15.06
1758135689.3666,256.0,14.76
1758135689.4668,257.0,15.2
1758135689.5669,258.0,10.0
1758135689.6671,259.0,11.6
1758135689.7672,260.0,11.95
1758135689.8672,261.0,13.98
1758135689.9675,262.0,14.96
1758135690.0672,263.0,10.0
1758135690.1674,264.0,8.5
1758135690.2675,265.0,10.96
1758135690.3676,266.0,11.62
1758135690.4676,267.0,11.51
1758135690.5671,268.0,10.24
1758135690.6668,269.0,12.6
1758135690.7677,270.0,14.74
1758135690.8682,271.0,10.0
1758135690.9678,272.0,8.7
1758135691.0676,273.0,8.18
1758135691.168,274.0,9.81
1758135691.268,275.0,11.58
1758135691.3668,276.0,13.43
1758135691.4662,277.0,12.49
1758135691.5661,278.0,14.49
1758135691.6661,279.0,10.0
1758135691.7661,280.0,9.3
1758135691.8659,281.0,10.23
1758135691.9661,282.0,10.74
1758135692.0675,283.0,8.7
1758135692.1675,284.0,7.22
1758135692.2676,285.0,9.24
1758135692.3676,286.0,9.15
1758135692.4676,287.0,7.32
1758135692.5676,288.0,9.3
1758135692.6671,289.0,10.32
1758135692.7677,290.0,8.88
1758135692.8677,291.0,9.32
1758135692.9664,292.0,8.57
1758135693.0676,293.0,8.75
1758135693.1676,294.0,7.17
1758135693.2678,295.0,8.1
1758135693.3677,296.0,7.05
1758135693.4679,297.0,7.75
1758135693.5679,298.0,7.6
1758135693.6681,299.0,9.65
1758135693.768,300.0,9.65
1758135693.8682,301.0,11.58
1758135693.967,302.0,12.16
1758135694.0668,303.0,9.73
1758135694.1683,304.0,11.29
1758135694.2683,305.0,10.72
1758135694.3683,306.0,10.4
1758135694.4681,307.0,12.48
1758135694.5689,308.0,9.98
1758135694.6685,309.0,11.08
1758135694.7686,310.0,10.75
1758135694.8686,311.0,13.97
1758135694.9686,312.0,12.02
1758135695.0688,313.0,11.06
1758135695.1688,314.0,8.96
1758135695.2687,315.0,7.79
1758135695.3689,316.0,7.01
1758135695.4689,317.0,5.61
1758135695.5689,318.0,6.28
1758135695.6694,319.0,5.28
1758135695.7691,320.0,4.22
1758135695.8695,321.0,5.02
1758135695.9692,322.0,4.57
1758135696.0693,323.0,4.76
1758135696.1694,324.0,3.95
1758135696.2693,325.0,4.3
1758135696.3695,326.0,4.65
1758135696.4694,327.0,5.67
1758135696.5695,328.0,5.72
1758135696.6679,329.0,7.16
1758135696.7676,330.0,6.87
1758135696.8676,331.0,6.18
1758135696.9675,332.0,5.44
1758135697.0674,333.0,4.95
1758135697.1673,334.0,5.89
1758135697.2672,335.0,6.72
1758135697.3671,336.0,6.45
1758135697.467,337.0,5.42
1758135697.5668,338.0,6.61
1758135697.6667,339.0,8.59
1758135697.7665,340.0,9.19
1758135697.8665,341.0,10.2
1758135697.9663,342.0,9.59
1758135698.0685,343.0,11.03
1758135698.1681,344.0,8.82
1758135698.268,345.0,8.74
1758135698.3679,346.0,8.21
1758135698.4681,347.0,9.28
1758135698.5679,348.0,10.21
1758135698.6678,349.0,8.47
1758135698.7671,350.0,6.95
1758135698.8682,351.0,5.97
1758135698.967,352.0,7.65
1758135699.0686,353.0,9.56
1758135699.1686,354.0,11.57
1758135699.2685,355.0,13.07
1758135699.3684,356.0,10.98
1758135699.4687,357.0,12.62
1758135699.5681,358.0,13.76
1758135699.6689,359.0,10.0
1758135699.7692,360.0,10.6
1758135699.8688,361.0,12.51
1758135699.967,362.0,11.76
1758135700.0687,363.0,13.05
1758135700.1688,364.0,12.14
1758135700.2693,365.0,10.68
1758135700.3691,366.0,13.56
1758135700.4691,367.0,14.24
1758135700.5691,368.0,14.1
1758135700.6692,369.0,15.37
1758135700.7691,370.0,13.06
1758135700.8696,371.0,15.42
1758135700.9695,372.0,10.0
1758135701.0688,373.0,11.1
1758135701.1697,374.0,8.88
1758135701.2697,375.0,7.81
1758135701.3698,376.0,10.08
1758135701.47,377.0,8.77
1758135701.5698,378.0,8.24
1758135701.6698,379.0,8.16
1758135701.7699,380.0,7.75
1758135701.87,381.0,6.82
1758135701.9702,382.0,7.51
1758135702.0686,383.0,6.68
1758135702.1781,384.0,6.08
1758135702.2688,385.0,4.98
1758135702.3683,386.0,5.03
1758135702.4681,387.0,4.48
1758135702.5679,388.0,5.42
1758135702.668,389.0,4.77
1758135702.768,390.0,5.1
1758135702.8679,391.0,4.95
1758135702.9677,392.0,4.75
1758135703.0694,393.0,3.99
1758135703.1696,394.0,3.83
1758135703.2694,395.0,3.3
1758135703.3695,396.0,3.73
1758135703.4696,397.0,4.73
1758135703.5694,398.0,4.12
1758135703.6694,399.0,4.36
1758135703.7693,400.0,4.19
1758135703.8695,401.0,4.86
1758135703.9693,402.0,4.47
1758135704.0695,403.0,4.92
1758135704.1696,404.0,6.2
1758135704.2697,405.0,6.5
1758135704.3696,406.0,5.72
1758135704.4697,407.0,7.33
1758135704.5698,408.0,7.91
1758135704.6696,409.0,7.44
1758135704.7688,410.0,6.32
1758135704.8698,411.0,7.78
1758135704.9699,412.0,8.71
1758135705.07,413.0,7.67
1758135705.1684,414.0,7.36
1758135705.2702,415.0,7.06
1758135705.3704,416.0,6.92
1758135705.4702,417.0,5.61
1758135705.5704,418.0,5.16
1758135705.6703,419.0,4.39
1758135705.7703,420.0,4.21
1758135705.8711,421.0,5.39
1758135705.9712,422.0,5.77
1758135706.0709,423.0,7.32
1758135706.172,424.0,8.05
1758135706.2714,425.0,8.22
1758135706.3716,426.0,9.28
1758135706.471,427.0,8.82
1758135706.5714,428.0,7.85
1758135706.6711,429.0,8.4
1758135706.7715,430.0,10.08
1758135706.8717,431.0,10.18
1758135706.9715,432.0,11.2
1758135707.0714,433.0,14.44
1758135707.1716,434.0,10.0
1758135707.2716,435.0,12.9
1758135707.37,436.0,10.58
1758135707.4699,437.0,11.11
1758135707.5705,438.0,12.77
1758135707.6698,439.0,15.07
1758135707.7697,440.0,13.56
1758135707.8696,441.0,12.89
1758135707.9697,442.0,10.31
1758135708.0709,443.0,9.59
1758135708.171,444.0,10.74
1758135708.271,445.0,13.1
1758135708.371,446.0,14.15
1758135708.4708,447.0,10.0
1758135708.5712,448.0,10.6
1758135708.6712,449.0,9.54
1758135708.7711,450.0,11.45
1758135708.87,451.0,9.5
1758135708.9711,452.0,11.78
1758135709.0712,453.0,10.49
1758135709.1715,454.0,10.28
1758135709.2699,455.0,8.53
1758135709.3711,456.0,7.34
1758135709.4709,457.0,8.14
1758135709.5695,458.0,8.39
1758135709.6712,459.0,8.55
1758135709.7714,460.0,10.27
1758135709.8715,461.0,13.24
1758135709.9697,462.0,14.04
1758135710.0702,463.0,10.0
1758135710.1715,464.0,9.1
1758135710.2715,465.0,10.83
1758135710.3718,466.0,12.45
1758135710.4713,467.0,14.82
1758135710.5719,468.0,15.71
1758135710.6718,469.0,10.0
1758135710.7719,470.0,8.7
1758135710.8707,471.0,6.96
1758135710.972,472.0,7.52
1758135711.072,473.0,7.22
1758135711.1725,474.0,7.36
1758135711.2722,475.0,8.39
1758135711.3722,476.0,8.39
