lattitude,longitude,elevation,speed,heading
42.30193560,-83.69795340,242.00,2.24,180.67
42.30192740,-83.69795360,242.00,2.91,180.67
42.30191910,-83.69795370,242.00,3.73,180.67
42.30191090,-83.69795380,242.00,3.39,180.67
42.30190270,-83.69795400,242.00,3.36,180.67
42.30189450,-83.69795410,242.00,3.63,180.67
42.30188640,-83.69795420,242.00,4.61,180.67
42.30187820,-83.69795440,242.00,5.99,180.67
42.30187010,-83.69795450,242.00,6.95,180.67
42.30186190,-83.69795460,242.00,7.22,180.67
42.30185380,-83.69795470,242.00,9.03,180.67
42.30184570,-83.69795490,242.00,8.00,180.67
42.30183770,-83.69795500,242.00,9.36,180.67
42.30182960,-83.69795510,241.50,8.00,180.67
42.30182150,-83.69795530,241.50,8.56,180.67
42.30181350,-83.69795540,241.50,7.88,180.67
42.30180550,-83.69795550,241.50,9.29,180.67
42.30179740,-83.69795560,241.50,7.71,180.67
42.30178940,-83.69795580,241.00,9.26,180.67
42.30178150,-83.69795590,241.00,8.00,180.67
42.30177350,-83.69795600,241.00,10.00,180.67
42.30176550,-83.69795620,241.00,8.90,180.67
42.30175760,-83.69795630,241.00,8.28,180.67
42.30174970,-83.69795640,241.00,9.52,180.67
42.30174180,-83.69795650,241.00,8.00,180.67
42.30173390,-83.69795680,241.00,7.44,181.06
42.30172600,-83.69795720,241.00,8.78,181.50
42.30171810,-83.69795770,241.00,9.92,181.83
42.30171030,-83.69795810,241.00,8.33,182.07
42.30170250,-83.69795860,241.00,6.92,182.26
42.30169460,-83.69795900,241.00,5.53,182.40
42.30168680,-83.69795950,241.00,6.70,182.51
42.30167900,-83.69796000,241.00,7.83,182.59
42.30167130,-83.69796050,241.00,7.05,182.65
42.30166350,-83.69796100,240.50,5.78,182.70
42.30165580,-83.69796160,240.50,6.82,182.73
42.30164800,-83.69796210,240.50,8.73,182.76
42.30164030,-83.69796260,240.50,8.30,182.78
42.30163260,-83.69796310,240.00,8.00,182.80
42.30162490,-83.69796360,240.00,9.36,182.81
42.30161730,-83.69796410,240.00,8.42,182.82
42.30160960,-83.69796460,240.00,7.83,182.82
42.30160200,-83.69796510,240.00,8.00,182.83
42.30159430,-83.69796560,240.00,8.56,182.83
42.30158670,-83.69796620,240.00,7.62,182.84
42.30157910,-83.69796670,240.00,8.46,182.84
42.30157150,-83.69796720,240.00,7.95,182.84
42.30156400,-83.69796770,240.00,7.15,182.84
42.30155640,-83.69796820,240.00,6.87,182.84
42.30154890,-83.69796870,239.50,7.90,182.84
42.30154130,-83.69796920,239.50,8.06,182.84
42.30153380,-83.69796970,239.50,9.10,182.84
42.30152630,-83.69797020,239.00,8.10,182.84
42.30151880,-83.69797070,239.00,8.00,182.84
42.30151140,-83.69797120,239.00,8.00,182.84
42.30150390,-83.69797170,239.00,8.64,182.85
42.30149650,-83.69797220,239.00,7.78,182.85
42.30148910,-83.69797270,239.00,6.45,182.85
42.30148160,-83.69797320,239.00,7.55,182.85
42.30147420,-83.69797370,239.00,7.70,182.85
42.30146690,-83.69797420,239.00,8.32,182.85
42.30145950,-83.69797470,239.00,7.74,182.85
42.30145210,-83.69797520,239.00,7.27,182.85
42.30144480,-83.69797570,239.00,5.89,182.85
