TimeStamp, Counter, HostVehicleSpeed
1711497005.6545,1119.0,0.0
1711497005.6562,1120.0,0.0
1711497005.673,1121.0,0.0
1711497005.7715,1122.0,0.0
1711497005.8717,1123.0,0.0
1711497005.9712,1124.0,0.0
1711497006.0718,1125.0,0.0
1711497006.1717,1126.0,0.0
1711497006.2716,1127.0,0.0
1711497006.3715,1128.0,0.0
1711497006.472,1129.0,0.0
1711497006.5715,1130.0,0.0
1711497006.6715,1131.0,0.0
1711497006.7715,1132.0,0.0
1711497006.8714,1133.0,0.0
1711497006.9711,1134.0,0.0
1711497007.0711,1135.0,0.0
1711497007.1716,1136.0,0.0
1711497007.2715,1137.0,0.0
1711497007.3711,1138.0,0.0
1711497007.4714,1139.0,0.0
1711497007.571,1140.0,0.0
1711497007.6711,1141.0,0.0
1711497007.7711,1142.0,0.0
1711497007.871,1143.0,0.0
1711497007.9715,1144.0,0.0
1711497008.071,1145.0,0.0
1711497008.1714,1146.0,0.0
1711497008.2714,1147.0,0.0
1711497008.3716,1148.0,0.0
1711497008.4712,1149.0,0.0
1711497008.5716,1150.0,0.0
1711497008.6714,1151.0,0.0
1711497008.7774,1152.0,0.0
1711497008.8714,1153.0,0.0
1711497008.971,1154.0,0.0
1711497009.0714,1155.0,0.0
1711497009.1715,1156.0,0.0
1711497009.2716,1157.0,0.0
1711497009.3713,1158.0,0.0
1711497009.4715,1159.0,0.0
1711497009.5709,1160.0,0.0
1711497009.6712,1161.0,0.0
1711497009.7714,1162.0,0.0
1711497009.8714,1163.0,0.0
1711497009.9711,1164.0,0.0
1711497010.0716,1165.0,0.0
1711497010.1711,1166.0,0.0
1711497010.2714,1167.0,0.0
1711497010.3725,1168.0,0.0
1711497010.471,1169.0,0.0
1711497010.5714,1170.0,0.0
1711497010.671,1171.0,0.0
1711497010.7712,1172.0,0.0
1711497010.8717,1173.0,0.0
1711497010.9708,1174.0,0.0
1711497011.0714,1175.0,0.0
1711497011.1712,1176.0,0.0
1711497011.2714,1177.0,0.0
1711497011.3713,1178.0,0.0
1711497011.4716,1179.0,0.0
1711497011.5711,1180.0,0.0
1711497011.6712,1181.0,0.0
1711497011.7856,1182.0,0.0
1711497011.8709,1183.0,0.0
1711497011.9711,1184.0,0.0
1711497012.0711,1185.0,0.0
1711497012.1713,1186.0,0.0
1711497012.2712,1187.0,0.0
1711497012.3713,1188.0,0.0
1711497012.4713,1189.0,0.0
1711497012.5709,1190.0,0.0
1711497012.6713,1191.0,0.0
1711497012.7712,1192.0,0.0
1711497012.8707,1193.0,0.0
1711497012.9707,1194.0,0.0
1711497013.0711,1195.0,0.0
1711497013.1713,1196.0,0.0
1711497013.2711,1197.0,0.0
1711497013.3713,1198.0,0.56
1711497013.4712,1199.0,0.44
1711497013.5711,1200.0,0.68
1711497013.671,1201.0,0.66
1711497013.7709,1202.0,0.69
1711497013.8713,1203.0,0.81
1711497013.9711,1204.0,0.85
1711497014.0713,1205.0,0.91
1711497014.1716,1206.0,0.96
1711497014.2708,1207.0,1.01
1711497014.3712,1208.0,1.07
1711497014.4711,1209.0,1.12
1711497014.5706,1210.0,1.17
1711497014.6707,1211.0,1.24
1711497014.7711,1212.0,1.31
1711497014.8711,1213.0,1.39
1711497014.9707,1214.0,1.46
1711497015.0709,1215.0,1.54
1711497015.171,1216.0,1.62
1711497015.2708,1217.0,1.69
1711497015.3708,1218.0,1.78
1711497015.4708,1219.0,1.85
1711497015.5708,1220.0,1.95
1711497015.6708,1221.0,2.05
1711497015.7711,1222.0,2.14
1711497015.8706,1223.0,2.22
1711497015.9707,1224.0,2.3
1711497016.0709,1225.0,2.38
1711497016.1708,1226.0,2.46
1711497016.2709,1227.0,2.53
1711497016.3709,1228.0,2.62
1711497016.4708,1229.0,2.69
1711497016.5709,1230.0,2.76
1711497016.671,1231.0,2.84
1711497016.7707,1232.0,2.92
1711497016.8706,1233.0,2.98
1711497016.971,1234.0,3.05
1711497017.0705,1235.0,3.13
1711497017.1709,1236.0,3.2
1711497017.2707,1237.0,3.27
1711497017.3709,1238.0,3.34
1711497017.4709,1239.0,3.41
1711497017.5709,1240.0,3.49
1711497017.6708,1241.0,3.55
1711497017.7708,1242.0,3.62
1711497017.8707,1243.0,3.7
1711497017.9708,1244.0,3.77
1711497018.0708,1245.0,3.84
1711497018.1708,1246.0,3.91
1711497018.2709,1247.0,3.97
1711497018.3707,1248.0,4.05
1711497018.4711,1249.0,4.12
1711497018.5703,1250.0,4.19
1711497018.6876,1251.0,4.26
1711497018.7708,1252.0,4.33
1711497018.8703,1253.0,4.4
1711497018.9709,1254.0,4.46
1711497019.0709,1255.0,4.54
1711497019.1706,1256.0,4.59
1711497019.2702,1257.0,4.65
1711497019.3703,1258.0,4.7
1711497019.4702,1259.0,4.76
1711497019.5707,1260.0,4.79
1711497019.6821,1261.0,4.83
1711497019.7706,1262.0,4.86
1711497019.8708,1263.0,4.89
1711497019.9705,1264.0,4.92
1711497020.0705,1265.0,4.94
1711497020.1704,1266.0,4.96
1711497020.271,1267.0,4.99
1711497020.3711,1268.0,5.0
1711497020.4707,1269.0,5.03
1711497020.5708,1270.0,5.03
1711497020.6707,1271.0,5.06
1711497020.7705,1272.0,5.07
1711497020.8707,1273.0,5.09
1711497020.9701,1274.0,5.09
1711497021.0704,1275.0,5.1
1711497021.1705,1276.0,5.11
1711497021.2707,1277.0,5.13
1711497021.3705,1278.0,5.13
1711497021.4707,1279.0,5.13
1711497021.5708,1280.0,5.13
1711497021.6706,1281.0,5.13
1711497021.7705,1282.0,5.13
1711497021.8709,1283.0,5.13
1711497021.9704,1284.0,5.13
1711497022.0705,1285.0,5.13
1711497022.1704,1286.0,5.13
1711497022.2702,1287.0,5.13
1711497022.3706,1288.0,5.13
1711497022.4701,1289.0,5.13
1711497022.5704,1290.0,5.11
1711497022.6706,1291.0,5.1
1711497022.7705,1292.0,5.09
1711497022.8705,1293.0,5.08
1711497022.9705,1294.0,5.06
1711497023.0706,1295.0,5.04
1711497023.1705,1296.0,5.02
1711497023.2703,1297.0,5.0
1711497023.3704,1298.0,4.97
1711497023.4705,1299.0,4.96
1711497023.5706,1300.0,4.93
1711497023.6704,1301.0,4.91
1711497023.7704,1302.0,4.87
1711497023.916,1303.0,4.85
1711497023.9704,1304.0,4.81
1711497024.0701,1305.0,4.78
1711497024.1704,1306.0,4.74
1711497024.2707,1307.0,4.71
1711497024.3709,1308.0,4.67
1711497024.4709,1309.0,4.64
1711497024.5701,1310.0,4.59
1711497024.6704,1311.0,4.56
1711497024.7704,1312.0,4.54
1711497024.8705,1313.0,4.51
1711497024.9704,1314.0,4.49
1711497025.0716,1315.0,4.46
1711497025.17,1316.0,4.44
1711497025.2699,1317.0,4.42
1711497025.3701,1318.0,4.4
1711497025.4705,1319.0,4.38
1711497025.5702,1320.0,4.37
1711497025.6703,1321.0,4.36
1711497025.7703,1322.0,4.36
1711497025.8701,1323.0,4.36
1711497025.9702,1324.0,4.36
1711497026.0701,1325.0,4.36
1711497026.1704,1326.0,4.38
1711497026.2703,1327.0,4.39
1711497026.3705,1328.0,4.39
1711497026.4703,1329.0,4.39
1711497026.5702,1330.0,4.39
1711497026.6708,1331.0,4.4
1711497026.7702,1332.0,4.39
1711497026.8703,1333.0,4.39
1711497026.9701,1334.0,4.4
1711497027.0702,1335.0,4.39
1711497027.1704,1336.0,4.39
1711497027.27,1337.0,4.38
1711497027.3698,1338.0,4.37
1711497027.4702,1339.0,4.36
1711497027.57,1340.0,4.37
1711497027.6698,1341.0,4.37
1711497027.77,1342.0,4.36
1711497027.8703,1343.0,4.36
1711497027.9703,1344.0,4.35
1711497028.0701,1345.0,4.36
1711497028.1704,1346.0,4.35
1711497028.2703,1347.0,4.35
1711497028.37,1348.0,4.34
1711497028.4701,1349.0,4.34
1711497028.5701,1350.0,4.34
1711497028.6701,1351.0,4.32
1711497028.7701,1352.0,4.33
1711497028.8703,1353.0,4.32
1711497028.9702,1354.0,4.32
1711497029.0699,1355.0,4.32
1711497029.1701,1356.0,4.32
1711497029.2697,1357.0,4.32
1711497029.3699,1358.0,4.32
1711497029.4699,1359.0,4.32
1711497029.57,1360.0,4.32
1711497029.6697,1361.0,4.32
1711497029.7706,1362.0,4.32
1711497029.87,1363.0,4.32
1711497029.97,1364.0,4.32
1711497030.0702,1365.0,4.32
1711497030.1704,1366.0,4.33
1711497030.27,1367.0,4.32
1711497030.3695,1368.0,4.32
1711497030.4698,1369.0,4.31
1711497030.5698,1370.0,4.31
1711497030.6697,1371.0,4.31
1711497030.7696,1372.0,4.32
1711497030.8702,1373.0,4.32
1711497030.9698,1374.0,4.33
1711497031.07,1375.0,4.34
1711497031.1701,1376.0,4.35
1711497031.2699,1377.0,4.36
1711497031.3697,1378.0,4.36
1711497031.4696,1379.0,4.37
1711497031.5696,1380.0,4.37
1711497031.6701,1381.0,4.37
1711497031.7701,1382.0,4.38
1711497031.8698,1383.0,4.37
1711497031.97,1384.0,4.39
1711497032.0699,1385.0,4.39
1711497032.1697,1386.0,4.4
1711497032.2698,1387.0,4.41
1711497032.3698,1388.0,4.41
1711497032.5153,1389.0,4.44
1711497032.5697,1390.0,4.46
1711497032.6693,1391.0,4.48
1711497032.7693,1392.0,4.51
1711497032.8698,1393.0,4.52
1711497032.9701,1394.0,4.55
1711497033.0697,1395.0,4.57
1711497033.1697,1396.0,4.59
1711497033.2698,1397.0,4.61
1711497033.3702,1398.0,4.63
1711497033.4696,1399.0,4.65
1711497033.57,1400.0,4.68
1711497033.6696,1401.0,4.71
1711497033.7698,1402.0,4.74
1711497033.8696,1403.0,4.77
1711497033.9696,1404.0,4.8
1711497034.07,1405.0,4.83
1711497034.1697,1406.0,4.83
1711497034.2698,1407.0,4.85
1711497034.3695,1408.0,4.86
1711497034.4694,1409.0,4.86
1711497034.5698,1410.0,4.86
1711497034.6693,1411.0,4.85
1711497034.7697,1412.0,4.85
1711497034.8693,1413.0,4.85
1711497034.9699,1414.0,4.84
1711497035.0692,1415.0,4.83
1711497035.1697,1416.0,4.84
1711497035.2698,1417.0,4.83
1711497035.3699,1418.0,4.82
1711497035.4696,1419.0,4.81
1711497035.5695,1420.0,4.81
1711497035.6694,1421.0,4.8
1711497035.7697,1422.0,4.79
1711497035.8697,1423.0,4.79
1711497035.9695,1424.0,4.78
1711497036.0693,1425.0,4.78
1711497036.1695,1426.0,4.76
1711497036.2693,1427.0,4.76
1711497036.3693,1428.0,4.75
1711497036.4701,1429.0,4.75
1711497036.5701,1430.0,4.74
1711497036.6695,1431.0,4.73
1711497036.7692,1432.0,4.72
1711497036.8697,1433.0,4.72
1711497036.9695,1434.0,4.71
1711497037.0692,1435.0,4.69
1711497037.1693,1436.0,4.66
1711497037.2693,1437.0,4.64
1711497037.3692,1438.0,4.6
1711497037.4694,1439.0,4.57
1711497037.5697,1440.0,4.54
1711497037.6842,1441.0,4.5
1711497037.7693,1442.0,4.48
1711497037.869,1443.0,4.46
1711497037.9695,1444.0,4.43
1711497038.0694,1445.0,4.41
1711497038.1695,1446.0,4.39
1711497038.2695,1447.0,4.37
1711497038.3691,1448.0,4.35
1711497038.4698,1449.0,4.33
1711497038.5696,1450.0,4.31
1711497038.6694,1451.0,4.31
1711497038.7694,1452.0,4.29
1711497038.869,1453.0,4.28
1711497038.9693,1454.0,4.27
1711497039.0695,1455.0,4.27
1711497039.1692,1456.0,4.26
1711497039.2695,1457.0,4.25
1711497039.3689,1458.0,4.24
1711497039.4694,1459.0,4.24
1711497039.5696,1460.0,4.25
1711497039.669,1461.0,4.25
1711497039.769,1462.0,4.25
1711497039.8693,1463.0,4.25
1711497039.9779,1464.0,4.25
1711497040.0692,1465.0,4.26
1711497040.169,1466.0,4.26
1711497040.2694,1467.0,4.26
1711497040.3691,1468.0,4.27
1711497040.4697,1469.0,4.28
1711497040.5694,1470.0,4.29
1711497040.6693,1471.0,4.3
1711497040.7692,1472.0,4.31
1711497040.8693,1473.0,4.32
1711497040.9693,1474.0,4.33
1711497041.069,1475.0,4.35
1711497041.1691,1476.0,4.36
1711497041.2691,1477.0,4.36
1711497041.3688,1478.0,4.37
1711497041.4691,1479.0,4.39
1711497041.5689,1480.0,4.41
1711497041.6691,1481.0,4.42
1711497041.7689,1482.0,4.43
1711497041.8692,1483.0,4.46
1711497041.9689,1484.0,4.48
1711497042.069,1485.0,4.49
1711497042.1689,1486.0,4.5
1711497042.2693,1487.0,4.52
1711497042.3687,1488.0,4.54
1711497042.4687,1489.0,4.56
1711497042.569,1490.0,4.58
1711497042.6693,1491.0,4.6
1711497042.7688,1492.0,4.62
1711497042.8691,1493.0,4.64
1711497042.9688,1494.0,4.65
1711497043.0882,1495.0,4.68
1711497043.1687,1496.0,4.7
1711497043.2692,1497.0,4.72
1711497043.3689,1498.0,4.72
1711497043.4691,1499.0,4.75
1711497043.5691,1500.0,4.76
1711497043.6693,1501.0,4.78
1711497043.769,1502.0,4.79
1711497043.8697,1503.0,4.8
1711497043.9691,1504.0,4.81
1711497044.0687,1505.0,4.81
1711497044.1691,1506.0,4.82
1711497044.2688,1507.0,4.82
1711497044.369,1508.0,4.82
1711497044.469,1509.0,4.83
1711497044.569,1510.0,4.82
1711497044.6687,1511.0,4.82
1711497044.7688,1512.0,4.83
1711497044.8691,1513.0,4.83
1711497044.9691,1514.0,4.83
1711497045.0685,1515.0,4.82
1711497045.1688,1516.0,4.81
1711497045.269,1517.0,4.81
1711497045.486,1518.0,4.8
1711497045.4879,1519.0,4.79
1711497045.5714,1520.0,4.79
1711497045.6689,1521.0,4.78
1711497045.772,1522.0,4.78
1711497045.8686,1523.0,4.75
1711497045.9791,1524.0,4.73
1711497046.0687,1525.0,4.69
1711497046.1693,1526.0,4.66
1711497046.2692,1527.0,4.62
1711497046.3795,1528.0,4.56
1711497046.4684,1529.0,4.52
1711497046.5893,1530.0,4.46
1711497046.669,1531.0,4.41
1711497046.7688,1532.0,4.35
1711497046.8692,1533.0,4.3
1711497046.9718,1534.0,4.25
1711497047.0688,1535.0,4.21
1711497047.1743,1536.0,4.16
1711497047.2685,1537.0,4.1
1711497047.3689,1538.0,4.05
1711497047.469,1539.0,4.01
1711497047.5686,1540.0,3.95
1711497047.6685,1541.0,3.92
1711497047.7688,1542.0,3.86
1711497047.869,1543.0,3.82
1711497047.9861,1544.0,3.76
1711497048.0687,1545.0,3.72
1711497048.1688,1546.0,3.67
1711497048.2684,1547.0,3.62
1711497048.3687,1548.0,3.57
1711497048.4691,1549.0,3.52
1711497048.5686,1550.0,3.49
1711497048.6689,1551.0,3.44
1711497048.7685,1552.0,3.4
1711497048.8689,1553.0,3.35
1711497048.9684,1554.0,3.3
1711497049.0689,1555.0,3.26
1711497049.1688,1556.0,3.22
1711497049.2686,1557.0,3.16
1711497049.3684,1558.0,3.12
1711497049.4685,1559.0,3.09
1711497049.5686,1560.0,3.04
1711497049.6684,1561.0,3.0
1711497049.7708,1562.0,2.95
1711497049.8684,1563.0,2.92
1711497049.9686,1564.0,2.87
1711497050.0692,1565.0,2.82
1711497050.1686,1566.0,2.78
1711497050.2691,1567.0,2.74
1711497050.3687,1568.0,2.69
1711497050.4704,1569.0,2.66
1711497050.5687,1570.0,2.62
1711497050.6684,1571.0,2.59
1711497050.7681,1572.0,2.56
1711497050.8683,1573.0,2.53
1711497050.9686,1574.0,2.51
1711497051.0684,1575.0,2.51
1711497051.1685,1576.0,2.51
1711497051.2685,1577.0,2.5
1711497051.3686,1578.0,2.49
1711497051.4683,1579.0,2.5
1711497051.5687,1580.0,2.51
1711497051.6682,1581.0,2.52
1711497051.768,1582.0,2.55
1711497051.8681,1583.0,2.58
1711497051.9685,1584.0,2.63
1711497052.0684,1585.0,2.68
1711497052.1685,1586.0,2.71
1711497052.2686,1587.0,2.77
1711497052.3685,1588.0,2.82
1711497052.4679,1589.0,2.88
1711497052.5681,1590.0,2.94
1711497052.7056,1591.0,3.02
1711497052.7688,1592.0,3.09
1711497052.8682,1593.0,3.16
1711497052.9683,1594.0,3.23
1711497053.0685,1595.0,3.29
1711497053.1684,1596.0,3.37
1711497053.268,1597.0,3.44
1711497053.3687,1598.0,3.52
1711497053.4678,1599.0,3.6
1711497053.5679,1600.0,3.66
1711497053.6681,1601.0,3.72
1711497053.7719,1602.0,3.8
1711497053.8686,1603.0,3.87
1711497053.9684,1604.0,3.95
1711497054.0684,1605.0,4.01
1711497054.1682,1606.0,4.09
1711497054.2678,1607.0,4.16
1711497054.3683,1608.0,4.22
1711497054.4681,1609.0,4.29
1711497054.5683,1610.0,4.36
1711497054.6683,1611.0,4.43
1711497054.7685,1612.0,4.49
1711497054.8684,1613.0,4.57
1711497054.9682,1614.0,4.64
1711497055.0685,1615.0,4.7
1711497055.1682,1616.0,4.78
1711497055.2685,1617.0,4.84
1711497055.3683,1618.0,4.91
1711497055.4679,1619.0,4.98
1711497055.5682,1620.0,5.04
1711497055.6683,1621.0,5.11
1711497055.7682,1622.0,5.18
1711497055.868,1623.0,5.24
1711497055.9677,1624.0,5.31
1711497056.0678,1625.0,5.39
1711497056.1682,1626.0,5.45
1711497056.268,1627.0,5.51
1711497056.3678,1628.0,5.58
1711497056.4839,1629.0,5.64
1711497056.568,1630.0,5.71
1711497056.6681,1631.0,5.76
1711497056.7683,1632.0,5.83
1711497056.8679,1633.0,5.9
1711497056.9679,1634.0,5.97
1711497057.0679,1635.0,6.03
1711497057.1677,1636.0,6.09
1711497057.268,1637.0,6.15
1711497057.368,1638.0,6.21
1711497057.4681,1639.0,6.27
1711497057.5681,1640.0,6.33
1711497057.6677,1641.0,6.38
1711497057.7677,1642.0,6.45
1711497057.8676,1643.0,6.52
1711497057.9679,1644.0,6.57
1711497058.0683,1645.0,6.65
1711497058.1679,1646.0,6.7
1711497058.268,1647.0,6.74
1711497058.3678,1648.0,6.8
1711497058.4677,1649.0,6.84
1711497058.5677,1650.0,6.86
1711497058.6682,1651.0,6.89
1711497058.7686,1652.0,6.92
1711497058.8676,1653.0,6.93
1711497058.9683,1654.0,6.93
1711497059.0675,1655.0,6.94
1711497059.168,1656.0,6.94
1711497059.2679,1657.0,6.94
1711497059.3679,1658.0,6.93
1711497059.4677,1659.0,6.92
1711497059.5683,1660.0,6.91
1711497059.6683,1661.0,6.89
1711497059.7681,1662.0,6.88
1711497059.8677,1663.0,6.86
1711497059.9681,1664.0,6.82
