TimeStamp, Counter, RelativeDistance, RelativeSpeed, LeadVehicleSpeed, HostVehicleSpeed
1711658973.9726,1.0,22.368,0.1,0.1,0.0
1711658974.1576,2.0,22.433,0.1,0.2,0.1
1711658974.1727,3.0,22.433,0.1,0.3,0.2
1711658974.2728,4.0,22.433,0.1,0.4,0.3
1711658974.3729,5.0,22.433,0.1,0.5,0.4
1711658974.473,6.0,22.332,0.1,0.6,0.5
1711658974.5732,7.0,22.223,0.1,0.7,0.6
1711658974.6733,8.0,22.223,0.1,0.8,0.7
1711658974.7734,9.0,22.138,0.1,0.9,0.8
1711658974.8736,10.0,22.044,0.1,1.0,0.9
1711658974.9738,11.0,21.951,0.1,1.1,1.0
1711658975.074,12.0,21.865,0.1,1.2,1.1
1711658975.1741,13.0,21.701,0.1,1.3,1.2
1711658975.2742,14.0,21.615,0.1,1.4,1.3
1711658975.3743,15.0,21.442,0.1,1.5,1.4
1711658975.4744,16.0,21.29,0.1,1.6,1.5
1711658975.5745,17.0,21.131,0.1,1.7,1.6
1711658975.6746,18.0,20.977,0.1,1.8,1.7
1711658975.7754,19.0,20.839,0.1,1.9,1.8
1711658975.8755,20.0,22.608,0.1,2.0,1.9
1711658975.9756,21.0,22.469,0.1,2.1,2.0
1711658976.0757,22.0,22.217,0.1,2.2,2.1
1711658976.1758,23.0,22.048,0.1,2.3,2.2
1711658976.2759,24.0,21.82,0.1,2.4,2.3
1711658976.376,25.0,21.549,0.1,2.5,2.4
1711658976.4761,26.0,21.303,0.1,2.6,2.5
1711658976.5762,27.0,21.079,0.1,2.7,2.6
1711658976.6765,28.0,22.787,0.1,2.8,2.7
1711658976.7766,29.0,22.518,0.1,2.9,2.8
1711658976.8767,30.0,22.237,0.1,3.0,2.9
1711658976.9768,31.0,21.954,0.1,3.1,3.0
1711658977.0769,32.0,21.655,0.1,3.2,3.1
1711658977.177,33.0,21.339,0.1,3.3,3.2
1711658977.2771,34.0,21.014,0.1,3.4,3.3
1711658977.3772,35.0,22.696,0.1,3.5,3.4
1711658977.4773,36.0,22.341,0.1,3.6,3.5
1711658977.5775,37.0,21.977,0.1,3.7,3.6
1711658977.6777,38.0,21.639,0.1,3.8,3.7
1711658977.7777,39.0,21.256,0.1,3.9,3.8
1711658977.878,40.0,23.941,0.1,4.0,3.9
1711658977.9781,41.0,23.575,0.1,4.1,4.0
1711658978.0782,42.0,23.175,0.1,4.2,4.1
1711658978.1783,43.0,22.728,0.1,4.3,4.2
1711658978.2784,44.0,22.276,0.1,4.4,4.3
1711658978.3785,45.0,21.871,0.1,4.5,4.4
1711658978.4786,46.0,21.454,0.0,4.5,4.5
1711658978.5787,47.0,22.961,0.0,4.5,4.5
1711658978.6788,48.0,22.588,0.0,4.5,4.5
1711658978.7789,49.0,22.172,0.0,4.5,4.5
