Time,VehicleType,VehicleSpeed,Grade
0.0,vehicle.nissan.micra,0.0,0.0
0.14,vehicle.nissan.micra,0.0,0.0
0.2,vehicle.nissan.micra,0.0,0.0
0.3,vehicle.nissan.micra,0.0,0.0
0.4,vehicle.nissan.micra,0.0,0.0
0.8,vehicle.nissan.micra,0.0,0.0
0.8,vehicle.nissan.micra,0.0,0.0
0.8,vehicle.nissan.micra,0.0,0.0
0.81,vehicle.nissan.micra,0.0,0.0
0.9,vehicle.nissan.micra,0.0,0.0
1.0,vehicle.nissan.micra,0.0,0.0
1.1,vehicle.nissan.micra,0.0,0.0
1.2,vehicle.nissan.micra,0.0,0.0
1.3,vehicle.nissan.micra,0.0,0.0
1.61,vehicle.nissan.micra,0.0,0.0
1.61,vehicle.nissan.micra,0.0,0.0
1.61,vehicle.nissan.micra,0.0,0.0
1.71,vehicle.nissan.micra,0.0,0.0
1.8,vehicle.nissan.micra,0.0,0.0
1.95,vehicle.nissan.micra,0.0,0.0
2.08,vehicle.nissan.micra,0.0,0.0
2.1,vehicle.nissan.micra,0.0,0.0
2.2,vehicle.nissan.micra,0.0,0.0
2.34,vehicle.nissan.micra,0.0,0.0
2.46,vehicle.nissan.micra,0.0,0.0
2.54,vehicle.nissan.micra,0.0,0.0
2.64,vehicle.nissan.micra,0.0,0.0
2.73,vehicle.nissan.micra,0.0,0.0
2.85,vehicle.nissan.micra,0.0,0.0
2.94,vehicle.nissan.micra,0.0,0.0
3.0,vehicle.nissan.micra,0.0,0.0
3.1,vehicle.nissan.micra,0.0,0.0
3.26,vehicle.nissan.micra,0.0,0.0
3.38,vehicle.nissan.micra,0.0,0.0
3.4,vehicle.nissan.micra,0.0,0.0
3.5,vehicle.nissan.micra,0.0,0.0
3.64,vehicle.nissan.micra,0.0,0.0
3.74,vehicle.nissan.micra,0.0,0.0
3.8,vehicle.nissan.micra,0.0,0.0
3.9,vehicle.nissan.micra,0.0,0.0
4.0,vehicle.nissan.micra,0.0,0.0
4.1,vehicle.nissan.micra,0.0,0.0
4.24,vehicle.nissan.micra,0.0,0.0
4.35,vehicle.nissan.micra,0.0,0.0
4.4,vehicle.nissan.micra,0.0,0.0
4.5,vehicle.nissan.micra,0.0,0.0
4.6,vehicle.nissan.micra,0.0,0.0
4.7,vehicle.nissan.micra,0.0,0.0
4.85,vehicle.nissan.micra,0.0,0.0
4.97,vehicle.nissan.micra,0.0,0.0
5.06,vehicle.nissan.micra,0.0,0.0
5.16,vehicle.nissan.micra,0.0,0.0
5.27,vehicle.nissan.micra,0.0,0.0
5.34,vehicle.nissan.micra,0.0,0.0
5.41,vehicle.nissan.micra,0.0,0.0
5.53,vehicle.nissan.micra,0.0,0.0
5.65,vehicle.nissan.micra,0.0,0.0
5.75,vehicle.nissan.micra,0.0,0.0
5.86,vehicle.nissan.micra,0.0,0.0
5.92,vehicle.nissan.micra,0.0,0.0
6.0,vehicle.nissan.micra,0.0,0.0
6.13,vehicle.nissan.micra,0.0,0.0
6.23,vehicle.nissan.micra,0.0,0.0
6.35,vehicle.nissan.micra,0.0,0.0
6.4,vehicle.nissan.micra,0.0,0.0
6.53,vehicle.nissan.micra,0.0,0.0
6.65,vehicle.nissan.micra,0.0,0.0
6.7,vehicle.nissan.micra,0.0,0.0
6.8,vehicle.nissan.micra,0.0,0.0
6.95,vehicle.nissan.micra,0.0,0.0
7.05,vehicle.nissan.micra,0.0,0.0
7.16,vehicle.nissan.micra,0.0,0.0
7.26,vehicle.nissan.micra,0.0,0.0
7.38,vehicle.nissan.micra,0.0,0.0
7.43,vehicle.nissan.micra,0.0,0.0
7.5,vehicle.nissan.micra,0.0,0.0
7.67,vehicle.nissan.micra,0.0,0.0
7.76,vehicle.nissan.micra,0.0,0.0
7.8,vehicle.nissan.micra,0.0,0.0
7.9,vehicle.nissan.micra,0.0,0.0
8.08,vehicle.nissan.micra,0.0,0.0
8.13,vehicle.nissan.micra,0.0,0.0
8.3,vehicle.nissan.micra,0.0,0.0
8.3,vehicle.nissan.micra,0.0,0.0
8.4,vehicle.nissan.micra,0.0,0.0
8.54,vehicle.nissan.micra,0.0,0.0
8.63,vehicle.nissan.micra,0.0,0.0
8.7,vehicle.nissan.micra,0.0,0.0
8.84,vehicle.nissan.micra,0.0,0.0
8.9,vehicle.nissan.micra,0.0,0.0
9.05,vehicle.nissan.micra,0.0,0.0
9.1,vehicle.nissan.micra,0.0,0.0
9.2,vehicle.nissan.micra,0.0,0.0
9.3,vehicle.nissan.micra,0.0,0.0
9.45,vehicle.nissan.micra,0.0,0.0
9.5,vehicle.nissan.micra,0.0,0.0
9.69,vehicle.nissan.micra,0.0,0.0
9.75,vehicle.nissan.micra,0.0,0.0
9.88,vehicle.nissan.micra,0.0,0.0
9.95,vehicle.nissan.micra,0.0,0.0
10.03,vehicle.nissan.micra,0.0,0.0
10.1,vehicle.nissan.micra,0.0,0.0
10.33,vehicle.nissan.micra,0.0,0.0
10.37,vehicle.nissan.micra,0.0,0.0
10.47,vehicle.nissan.micra,0.0,0.0
10.54,vehicle.nissan.micra,0.0,0.0
10.63,vehicle.nissan.micra,0.0,0.0
10.7,vehicle.nissan.micra,0.0,0.0
10.8,vehicle.nissan.micra,0.0,0.0
10.96,vehicle.nissan.micra,0.0,0.0
11.05,vehicle.nissan.micra,0.0,0.0
11.16,vehicle.nissan.micra,0.0,0.0
11.2,vehicle.nissan.micra,0.0,0.0
11.37,vehicle.nissan.micra,0.0,0.0
11.46,vehicle.nissan.micra,0.0,0.0
11.5,vehicle.nissan.micra,0.0,0.0
11.65,vehicle.nissan.micra,0.0,0.0
11.78,vehicle.nissan.micra,0.0,0.0
11.87,vehicle.nissan.micra,0.0,0.0
11.9,vehicle.nissan.micra,0.0,0.0
12.07,vehicle.nissan.micra,0.0,0.0
12.14,vehicle.nissan.micra,0.0,0.0
12.2,vehicle.nissan.micra,0.0,0.0
12.38,vehicle.nissan.micra,0.0,0.0
12.42,vehicle.nissan.micra,0.0,0.0
12.55,vehicle.nissan.micra,0.0,0.0
12.67,vehicle.nissan.micra,0.0,0.0
12.73,vehicle.nissan.micra,0.0,0.0
12.88,vehicle.nissan.micra,0.0,0.0
12.95,vehicle.nissan.micra,0.0,0.0
13.09,vehicle.nissan.micra,0.0,0.0
13.1,vehicle.nissan.micra,0.0,0.0
13.26,vehicle.nissan.micra,0.0,0.0
13.3,vehicle.nissan.micra,0.0,0.0
13.41,vehicle.nissan.micra,0.0,0.0
13.52,vehicle.nissan.micra,0.0,0.0
13.66,vehicle.nissan.micra,0.0,0.0
13.7,vehicle.nissan.micra,0.0,0.0
13.8,vehicle.nissan.micra,0.0,0.0
13.9,vehicle.nissan.micra,0.0,0.0
14.06,vehicle.nissan.micra,0.0,0.0
14.15,vehicle.nissan.micra,0.0,0.0
14.28,vehicle.nissan.micra,0.0,0.0
14.39,vehicle.nissan.micra,0.0,0.0
14.43,vehicle.nissan.micra,0.0,0.0
14.55,vehicle.nissan.micra,0.0,0.0
14.68,vehicle.nissan.micra,0.0,0.0
14.73,vehicle.nissan.micra,0.0,0.0
14.8,vehicle.nissan.micra,0.0,0.0
14.9,vehicle.nissan.micra,0.0,0.0
15.02,vehicle.nissan.micra,0.0,0.0
15.1,vehicle.nissan.micra,0.0,0.0
15.2,vehicle.nissan.micra,0.0,0.0
15.44,vehicle.nissan.micra,0.0,0.0
15.44,vehicle.nissan.micra,0.0,0.0
15.55,vehicle.nissan.micra,0.0,0.0
15.6,vehicle.nissan.micra,0.0,0.0
15.79,vehicle.nissan.micra,0.0,0.0
15.85,vehicle.nissan.micra,0.0,0.0
15.91,vehicle.nissan.micra,0.0,0.0
16.0,vehicle.nissan.micra,0.0,0.0
16.19,vehicle.nissan.micra,0.0,0.0
16.25,vehicle.nissan.micra,0.0,0.0
16.32,vehicle.nissan.micra,0.0,0.0
16.46,vehicle.nissan.micra,0.0,0.0
16.58,vehicle.nissan.micra,0.0,0.0
16.65,vehicle.nissan.micra,0.0,0.0
16.76,vehicle.nissan.micra,0.0,0.0
16.85,vehicle.nissan.micra,0.0,0.0
16.95,vehicle.nissan.micra,0.0,0.0
17.05,vehicle.nissan.micra,0.0,0.0
17.19,vehicle.nissan.micra,0.0,0.0
17.24,vehicle.nissan.micra,0.0,0.0
17.33,vehicle.nissan.micra,0.0,0.0
17.43,vehicle.nissan.micra,0.0,0.0
17.55,vehicle.nissan.micra,0.0,0.0
17.6,vehicle.nissan.micra,0.0,0.0
17.74,vehicle.nissan.micra,0.0,0.0
17.8,vehicle.nissan.micra,0.0,0.0
17.96,vehicle.nissan.micra,0.0,0.0
18.05,vehicle.nissan.micra,0.0,0.0
18.1,vehicle.nissan.micra,0.0,0.0
18.25,vehicle.nissan.micra,0.0,0.0
18.3,vehicle.nissan.micra,0.0,0.0
18.44,vehicle.nissan.micra,0.0,0.0
18.54,vehicle.nissan.micra,0.0,0.0
18.6,vehicle.nissan.micra,0.0,0.0
18.74,vehicle.nissan.micra,0.0,0.0
18.86,vehicle.nissan.micra,0.0,0.0
18.99,vehicle.nissan.micra,0.0,0.0
19.09,vehicle.nissan.micra,0.0,0.0
19.14,vehicle.nissan.micra,0.0,0.0
19.2,vehicle.nissan.micra,0.0,0.0
19.37,vehicle.nissan.micra,0.0,0.0
19.41,vehicle.nissan.micra,0.0,0.0
19.62,vehicle.nissan.micra,0.0,0.0
19.67,vehicle.nissan.micra,0.0,0.0
19.7,vehicle.nissan.micra,0.0,0.0
19.87,vehicle.nissan.micra,0.0,0.0
19.9,vehicle.nissan.micra,0.0,0.0
20.0,vehicle.nissan.micra,0.0,0.0
20.43,vehicle.nissan.micra,0.0,0.0
20.43,vehicle.nissan.micra,0.0,0.0
20.43,vehicle.nissan.micra,0.0,0.0
20.43,vehicle.nissan.micra,0.0,0.0
20.5,vehicle.nissan.micra,0.0,0.0
20.69,vehicle.nissan.micra,0.0,0.0
20.75,vehicle.nissan.micra,0.0,0.0
20.8,vehicle.nissan.micra,0.0,0.0
20.95,vehicle.nissan.micra,0.0,0.0
21.05,vehicle.nissan.micra,0.0,0.0
21.1,vehicle.nissan.micra,0.0,0.0
21.2,vehicle.nissan.micra,0.0,0.0
21.35,vehicle.nissan.micra,0.0,0.0
21.45,vehicle.nissan.micra,0.0,0.0
21.54,vehicle.nissan.micra,0.0,0.0
21.66,vehicle.nissan.micra,0.0,0.0
21.7,vehicle.nissan.micra,0.0,0.0
21.89,vehicle.nissan.micra,0.0,0.0
21.94,vehicle.nissan.micra,0.0,0.0
22.0,vehicle.nissan.micra,0.0,0.0
22.1,vehicle.nissan.micra,0.0,0.0
22.22,vehicle.nissan.micra,0.0,0.0
22.39,vehicle.nissan.micra,0.0,0.0
22.4,vehicle.nissan.micra,0.0,0.0
22.56,vehicle.nissan.micra,0.0,0.0
22.61,vehicle.nissan.micra,0.0,0.0
22.74,vehicle.nissan.micra,0.0,0.0
22.88,vehicle.nissan.micra,0.0,0.0
22.98,vehicle.nissan.micra,0.0,0.0
23.04,vehicle.nissan.micra,0.0,0.0
23.14,vehicle.nissan.micra,0.0,0.0
23.2,vehicle.nissan.micra,0.0,0.0
23.38,vehicle.nissan.micra,0.0,0.0
23.49,vehicle.nissan.micra,0.0,0.0
23.59,vehicle.nissan.micra,0.0,0.0
23.6,vehicle.nissan.micra,0.0,0.0
23.7,vehicle.nissan.micra,0.0,0.0
23.84,vehicle.nissan.micra,0.0,0.0
23.98,vehicle.nissan.micra,0.0,0.0
24.04,vehicle.nissan.micra,0.0,0.0
24.19,vehicle.nissan.micra,0.0,0.0
24.2,vehicle.nissan.micra,0.0,0.0
24.34,vehicle.nissan.micra,0.0,0.0
24.44,vehicle.nissan.micra,0.0,0.0
24.5,vehicle.nissan.micra,0.0,0.0
24.6,vehicle.nissan.micra,0.0,0.0
24.77,vehicle.nissan.micra,0.0,0.0
24.86,vehicle.nissan.micra,0.0,0.0
24.95,vehicle.nissan.micra,0.0,0.0
25.04,vehicle.nissan.micra,0.0,0.0
25.14,vehicle.nissan.micra,0.0,0.0
25.24,vehicle.nissan.micra,0.0,0.0
25.38,vehicle.nissan.micra,0.0,0.0
25.47,vehicle.nissan.micra,0.0,0.0
25.5,vehicle.nissan.micra,0.0,0.0
25.65,vehicle.nissan.micra,0.0,0.0
25.71,vehicle.nissan.micra,0.0,0.0
25.89,vehicle.nissan.micra,0.0,0.0
25.9,vehicle.nissan.micra,0.0,0.0
26.0,vehicle.nissan.micra,0.0,0.0
26.1,vehicle.nissan.micra,0.0,0.0
26.22,vehicle.nissan.micra,0.0,0.0
26.34,vehicle.nissan.micra,0.0,0.0
26.49,vehicle.nissan.micra,0.0,0.0
26.54,vehicle.nissan.micra,0.0,0.0
26.64,vehicle.nissan.micra,0.0,0.0
26.78,vehicle.nissan.micra,0.0,0.0
26.89,vehicle.nissan.micra,0.0,0.0
26.94,vehicle.nissan.micra,0.0,0.0
27.04,vehicle.nissan.micra,0.0,0.0
27.17,vehicle.nissan.micra,0.0,0.0
27.26,vehicle.nissan.micra,0.0,0.0
27.34,vehicle.nissan.micra,0.0,0.0
27.48,vehicle.nissan.micra,0.0,0.0
27.5,vehicle.nissan.micra,0.0,0.0
27.64,vehicle.nissan.micra,0.0,0.0
27.74,vehicle.nissan.micra,0.0,0.0
27.82,vehicle.nissan.micra,0.0,0.0
27.94,vehicle.nissan.micra,0.0,0.0
28.67,vehicle.nissan.micra,0.0,0.0
28.67,vehicle.nissan.micra,0.0,0.0
28.72,vehicle.nissan.micra,0.0,0.0
28.76,vehicle.nissan.micra,0.0,0.0
28.81,vehicle.nissan.micra,0.0,0.0
28.81,vehicle.nissan.micra,0.0,0.0
28.81,vehicle.nissan.micra,0.0,0.0
28.81,vehicle.nissan.micra,0.0,0.0
28.81,vehicle.nissan.micra,0.0,0.0
28.92,vehicle.nissan.micra,0.0,0.0
29.09,vehicle.nissan.micra,0.0,0.0
29.2,vehicle.nissan.micra,0.0,0.0
29.2,vehicle.nissan.micra,0.0,0.0
29.3,vehicle.nissan.micra,0.0,0.0
29.44,vehicle.nissan.micra,0.0,0.0
29.62,vehicle.nissan.micra,0.0,0.0
29.67,vehicle.nissan.micra,0.0,0.0
29.7,vehicle.nissan.micra,0.0,0.0
29.89,vehicle.nissan.micra,0.0,0.0
29.94,vehicle.nissan.micra,0.0,0.0
30.05,vehicle.nissan.micra,0.0,0.0
30.15,vehicle.nissan.micra,0.0,0.0
30.27,vehicle.nissan.micra,0.0,0.0
30.3,vehicle.nissan.micra,0.0,0.0
30.46,vehicle.nissan.micra,0.0,0.0
30.5,vehicle.nissan.micra,0.0,0.0
30.67,vehicle.nissan.micra,0.0,0.0
30.76,vehicle.nissan.micra,0.0,0.0
30.8,vehicle.nissan.micra,0.0,0.0
30.97,vehicle.nissan.micra,0.0,0.0
31.01,vehicle.nissan.micra,0.0,0.0
31.1,vehicle.nissan.micra,0.0,0.0
31.32,vehicle.nissan.micra,0.0,0.0
31.32,vehicle.nissan.micra,0.0,0.0
31.43,vehicle.nissan.micra,0.0,0.0
31.52,vehicle.nissan.micra,0.0,0.0
31.65,vehicle.nissan.micra,0.0,0.0
31.75,vehicle.nissan.micra,0.0,0.0
31.87,vehicle.nissan.micra,0.0,0.0
31.99,vehicle.nissan.micra,0.0,0.0
32.04,vehicle.nissan.micra,0.0,0.0
32.19,vehicle.nissan.micra,0.0,0.0
32.29,vehicle.nissan.micra,0.0,0.0
32.37,vehicle.nissan.micra,0.0,0.0
32.49,vehicle.nissan.micra,0.0,0.0
32.5,vehicle.nissan.micra,0.0,0.0
32.65,vehicle.nissan.micra,0.0,0.0
32.81,vehicle.nissan.micra,0.0,0.0
32.81,vehicle.nissan.micra,0.0,0.0
33.0,vehicle.nissan.micra,0.0,0.0
33.09,vehicle.nissan.micra,0.0,0.0
33.1,vehicle.nissan.micra,0.0,0.0
33.27,vehicle.nissan.micra,0.0,0.0
33.32,vehicle.nissan.micra,0.0,0.0
33.44,vehicle.nissan.micra,0.0,0.0
