Time(s),VehicleType,VehicleSpeed(m/s),RoadGrade(rad)
0.0,chevy.bolt.2017,0.0,1.33958
0.1,chevy.bolt.2017,0.0,1.33958
0.21,chevy.bolt.2017,0.0,1.33958
0.31,chevy.bolt.2017,0.0,1.33958
0.41,chevy.bolt.2017,0.0,1.33958
0.51,chevy.bolt.2017,0.0,1.33958
0.62,chevy.bolt.2017,0.0,1.33958
0.72,chevy.bolt.2017,0.0,1.33958
0.82,chevy.bolt.2017,0.0,1.33958
0.92,chevy.bolt.2017,0.0,1.33958
1.03,chevy.bolt.2017,0.0,1.33958
1.13,chevy.bolt.2017,0.0,1.33958
1.23,chevy.bolt.2017,0.0,1.33958
1.34,chevy.bolt.2017,0.0,1.33958
1.44,chevy.bolt.2017,0.0,1.33958
1.54,chevy.bolt.2017,0.0,1.33958
1.64,chevy.bolt.2017,0.0,1.33958
1.74,chevy.bolt.2017,0.0,1.33958
1.85,chevy.bolt.2017,0.0,1.33958
1.95,chevy.bolt.2017,0.0,1.33958
2.05,chevy.bolt.2017,0.0,1.33958
2.15,chevy.bolt.2017,0.0,1.33958
2.26,chevy.bolt.2017,0.0,1.33958
2.36,chevy.bolt.2017,0.0,1.33958
2.46,chevy.bolt.2017,0.0,1.33958
2.56,chevy.bolt.2017,0.0,1.33958
2.67,chevy.bolt.2017,0.0,1.33958
2.77,chevy.bolt.2017,0.0,1.33958
2.87,chevy.bolt.2017,0.0,1.33958
2.97,chevy.bolt.2017,0.0,1.33958
3.07,chevy.bolt.2017,0.0,1.33958
3.18,chevy.bolt.2017,0.0,1.33958
3.28,chevy.bolt.2017,0.0,1.33958
3.38,chevy.bolt.2017,0.0,1.33958
3.48,chevy.bolt.2017,0.0,1.33958
3.59,chevy.bolt.2017,0.0,1.33958
3.69,chevy.bolt.2017,0.0,1.33958
3.79,chevy.bolt.2017,0.0,1.33958
3.89,chevy.bolt.2017,0.0,1.33958
4.0,chevy.bolt.2017,0.0,1.33958
4.1,chevy.bolt.2017,0.0,1.33958
4.2,chevy.bolt.2017,0.0,1.33958
4.3,chevy.bolt.2017,0.0,1.33958
4.4,chevy.bolt.2017,0.0,1.33958
4.51,chevy.bolt.2017,0.0,1.33958
4.61,chevy.bolt.2017,0.0,1.33958
4.71,chevy.bolt.2017,0.0,1.33958
4.81,chevy.bolt.2017,0.0,1.33958
4.91,chevy.bolt.2017,0.0,1.33958
5.02,chevy.bolt.2017,0.0,1.33958
5.12,chevy.bolt.2017,0.0,1.33958
5.22,chevy.bolt.2017,0.0,1.33958
5.32,chevy.bolt.2017,0.0,1.33958
5.42,chevy.bolt.2017,0.0,1.33958
5.53,chevy.bolt.2017,0.0,1.33958
5.63,chevy.bolt.2017,0.0,1.33958
5.73,chevy.bolt.2017,0.0,1.33958
5.83,chevy.bolt.2017,0.0,1.33958
5.94,chevy.bolt.2017,0.0,1.33958
6.04,chevy.bolt.2017,0.0,1.33958
6.14,chevy.bolt.2017,0.0,1.33958
6.24,chevy.bolt.2017,0.0,1.33958
6.35,chevy.bolt.2017,0.0,1.33958
6.45,chevy.bolt.2017,0.0,1.33958
6.55,chevy.bolt.2017,0.0,1.33958
6.65,chevy.bolt.2017,0.0,1.33958
6.75,chevy.bolt.2017,0.0,1.33958
6.86,chevy.bolt.2017,0.0,1.33958
6.96,chevy.bolt.2017,0.0,1.33958
7.06,chevy.bolt.2017,0.0,1.33958
7.16,chevy.bolt.2017,0.0,1.33958
7.26,chevy.bolt.2017,0.0,1.33958
7.37,chevy.bolt.2017,0.0,1.33958
7.47,chevy.bolt.2017,0.0,1.33958
7.57,chevy.bolt.2017,0.0,1.33958
7.67,chevy.bolt.2017,0.0,1.33958
7.78,chevy.bolt.2017,0.0,1.33958
7.88,chevy.bolt.2017,0.0,1.33958
7.98,chevy.bolt.2017,0.0,1.33958
8.08,chevy.bolt.2017,0.0,1.33958
8.18,chevy.bolt.2017,0.0,1.33958
8.29,chevy.bolt.2017,0.0,1.33958
8.39,chevy.bolt.2017,0.0,1.33958
8.49,chevy.bolt.2017,0.0,1.33958
8.59,chevy.bolt.2017,0.0,1.33958
8.7,chevy.bolt.2017,0.0,1.33958
