Time(s),VehicleType,VehicleSpeed(m/s),RoadGrade(degree)
0.0,toyota.prius,0.0,1.56891
0.1,toyota.prius,0.0,1.56891
0.2,toyota.prius,0.0,1.56891
0.31,toyota.prius,0.0,1.56891
0.41,toyota.prius,0.0,1.56891
0.51,toyota.prius,0.0,1.56891
0.61,toyota.prius,0.0,1.56891
0.71,toyota.prius,0.0,1.56891
0.81,toyota.prius,0.0,1.56891
0.91,toyota.prius,0.0,1.56891
1.02,toyota.prius,0.0,1.56891
1.12,toyota.prius,0.0,1.56891
1.22,toyota.prius,0.0,1.56891
1.32,toyota.prius,0.0,1.56891
1.42,toyota.prius,0.0,1.56891
1.52,toyota.prius,0.0,1.56891
1.62,toyota.prius,0.0,1.56891
1.72,toyota.prius,0.0,1.56891
1.83,toyota.prius,0.0,1.56891
1.93,toyota.prius,0.0,1.56891
2.03,toyota.prius,0.0,1.56891
2.13,toyota.prius,0.0,1.56891
2.23,toyota.prius,0.0,1.56891
2.34,toyota.prius,0.0,1.56891
2.44,toyota.prius,0.0,1.56891
2.54,toyota.prius,0.0,1.56891
2.64,toyota.prius,0.0,1.56891
2.74,toyota.prius,0.0,1.56891
2.84,toyota.prius,0.0,1.56891
2.94,toyota.prius,0.0,1.5665
3.05,toyota.prius,0.0,1.56605
3.15,toyota.prius,0.0,1.56605
3.25,toyota.prius,0.0,1.56585
3.35,toyota.prius,0.0,1.56595
3.45,toyota.prius,0.0,1.56595
3.55,toyota.prius,0.0,1.56581
3.65,toyota.prius,0.0,1.56579
3.76,toyota.prius,0.0,1.56579
3.86,toyota.prius,0.0,1.56579
3.96,toyota.prius,0.0,1.56579
4.06,toyota.prius,0.0,1.56579
4.16,toyota.prius,0.0,1.56596
4.26,toyota.prius,0.0,1.56596
4.36,toyota.prius,0.0,1.56596
4.46,toyota.prius,0.0,1.56596
4.57,toyota.prius,0.0,1.56596
4.67,toyota.prius,0.0,1.56596
4.77,toyota.prius,0.0,1.56596
4.87,toyota.prius,0.0,1.56596
4.97,toyota.prius,0.0,1.56596
5.07,toyota.prius,0.0,1.56596
5.17,toyota.prius,0.0,1.56596
5.27,toyota.prius,0.0,1.56596
5.38,toyota.prius,0.0,1.56596
5.48,toyota.prius,0.0,1.58448
5.58,toyota.prius,0.01,1.58456
5.68,toyota.prius,0.02,1.57442
5.78,toyota.prius,0.03,1.57442
5.88,toyota.prius,0.04,1.54473
5.98,toyota.prius,0.04,1.54543
6.08,toyota.prius,0.04,1.55222
6.19,toyota.prius,0.04,1.55741
6.29,toyota.prius,0.04,1.55915
6.39,toyota.prius,0.04,1.56061
6.49,toyota.prius,0.03,1.56061
6.59,toyota.prius,0.03,1.56152
