Time(s),VehicleType,VehicleSpeed(m/s),RoadGrade(rad)
0.0,toyota.prius,0.0,0.92908
0.1,toyota.prius,0.0,0.92908
0.2,toyota.prius,0.0,0.92908
0.3,toyota.prius,0.0,0.92908
0.41,toyota.prius,0.0,0.92908
0.51,toyota.prius,0.0,0.92908
0.61,toyota.prius,0.0,0.92908
0.71,toyota.prius,0.0,0.92908
0.81,toyota.prius,0.0,0.92908
0.91,toyota.prius,0.0,0.92908
1.02,toyota.prius,0.0,0.92908
1.12,toyota.prius,0.0,0.92908
1.22,toyota.prius,0.0,0.92908
1.32,toyota.prius,0.0,0.92908
1.42,toyota.prius,0.0,0.92908
1.52,toyota.prius,0.0,0.92908
1.63,toyota.prius,0.0,0.92908
1.73,toyota.prius,0.0,0.92908
1.83,toyota.prius,0.0,0.92908
1.93,toyota.prius,0.0,0.92908
2.03,toyota.prius,0.0,0.92908
2.13,toyota.prius,0.0,0.92908
2.24,toyota.prius,0.0,0.92908
2.34,toyota.prius,0.0,0.92908
2.44,toyota.prius,0.0,0.92908
2.54,toyota.prius,0.0,0.92908
2.64,toyota.prius,0.0,0.92908
2.75,toyota.prius,0.0,0.92908
2.85,toyota.prius,0.0,0.92908
2.95,toyota.prius,0.0,0.92908
3.05,toyota.prius,0.0,0.92908
3.15,toyota.prius,0.0,0.92908
3.25,toyota.prius,0.0,0.92908
3.36,toyota.prius,0.0,0.92908
3.46,toyota.prius,0.0,0.92908
3.56,toyota.prius,0.0,0.92908
3.66,toyota.prius,0.0,0.92908
3.76,toyota.prius,0.0,0.92908
3.86,toyota.prius,0.0,0.92908
3.97,toyota.prius,0.0,0.92908
4.07,toyota.prius,0.0,0.92908
4.17,toyota.prius,0.0,0.92908
4.27,toyota.prius,0.0,0.92908
4.37,toyota.prius,0.0,0.92908
4.47,toyota.prius,0.0,0.92908
4.58,toyota.prius,0.0,0.92908
4.68,toyota.prius,0.0,0.92908
4.78,toyota.prius,0.0,0.92908
4.88,toyota.prius,0.0,0.92908
4.98,toyota.prius,0.0,0.92908
5.08,toyota.prius,0.0,0.92908
5.19,toyota.prius,0.0,0.92908
5.29,toyota.prius,0.0,0.92908
5.39,toyota.prius,0.0,0.92908
5.49,toyota.prius,0.0,0.92908
5.59,toyota.prius,0.0,0.92908
5.7,toyota.prius,0.0,0.92908
5.8,toyota.prius,0.0,0.92908
5.9,toyota.prius,0.0,0.92908
6.0,toyota.prius,0.0,0.92908
6.1,toyota.prius,0.0,0.92908
6.2,toyota.prius,0.0,0.92908
6.31,toyota.prius,0.0,0.92908
6.41,toyota.prius,0.0,0.92908
6.51,toyota.prius,0.0,0.92908
6.61,toyota.prius,0.0,0.92908
6.71,toyota.prius,0.0,0.92908
6.81,toyota.prius,0.0,0.92908
6.92,toyota.prius,0.0,0.92908
7.02,toyota.prius,0.0,0.92908
7.12,toyota.prius,0.0,0.92908
7.22,toyota.prius,0.0,0.92908
7.32,toyota.prius,0.0,0.92908
7.42,toyota.prius,0.0,0.92908
7.53,toyota.prius,0.0,0.92908
7.63,toyota.prius,0.0,0.92908
7.73,toyota.prius,0.0,0.92908
7.83,toyota.prius,0.0,0.92908
7.93,toyota.prius,0.0,0.92908
8.03,toyota.prius,0.0,0.92908
8.14,toyota.prius,0.0,0.92908
8.24,toyota.prius,0.0,0.92908
8.34,toyota.prius,0.0,0.92908
8.44,toyota.prius,0.0,0.92908
8.54,toyota.prius,0.0,0.92908
8.64,toyota.prius,0.0,0.92908
8.75,toyota.prius,0.0,0.92908
8.85,toyota.prius,0.0,0.92908
8.95,toyota.prius,0.0,0.92908
9.05,toyota.prius,0.0,0.92908
9.15,toyota.prius,0.0,0.92908
9.25,toyota.prius,0.0,0.92908
9.36,toyota.prius,0.0,0.92908
9.46,toyota.prius,0.0,0.92908
9.56,toyota.prius,0.0,0.92908
9.66,toyota.prius,0.0,0.92908
9.76,toyota.prius,0.0,0.92908
9.87,toyota.prius,0.0,0.92908
9.97,toyota.prius,0.0,0.92908
10.07,toyota.prius,0.0,0.92908
10.17,toyota.prius,0.0,0.92908
10.27,toyota.prius,0.0,0.92908
10.37,toyota.prius,0.0,0.92908
10.48,toyota.prius,0.0,0.92908
10.58,toyota.prius,0.0,0.92908
10.68,toyota.prius,0.0,0.92908
10.78,toyota.prius,0.0,0.92908
10.88,toyota.prius,0.0,0.92908
10.98,toyota.prius,0.0,0.92908
11.09,toyota.prius,0.0,0.92908
11.19,toyota.prius,0.0,0.92908
11.29,toyota.prius,0.0,0.92908
11.39,toyota.prius,0.0,0.92908
11.49,toyota.prius,0.0,0.92908
11.6,toyota.prius,0.0,0.92908
11.7,toyota.prius,0.0,0.92908
11.8,toyota.prius,0.0,0.92908
11.9,toyota.prius,0.0,0.92908
12.0,toyota.prius,0.0,0.92908
12.1,toyota.prius,0.0,0.92908
12.21,toyota.prius,0.0,0.92908
12.31,toyota.prius,0.0,0.92908
12.41,toyota.prius,0.0,0.92908
12.51,toyota.prius,0.0,0.92908
12.61,toyota.prius,0.0,0.92908
12.71,toyota.prius,0.0,0.92908
12.82,toyota.prius,0.0,0.92908
12.92,toyota.prius,0.0,0.92908
13.02,toyota.prius,0.0,0.92908
13.12,toyota.prius,0.0,0.92908
13.22,toyota.prius,0.0,0.92908
13.32,toyota.prius,0.0,0.92908
13.43,toyota.prius,0.0,0.92908
13.53,toyota.prius,0.0,0.92908
13.63,toyota.prius,0.0,0.92908
13.73,toyota.prius,0.0,0.92908
13.83,toyota.prius,0.0,0.92908
13.93,toyota.prius,0.0,0.92908
14.04,toyota.prius,0.0,0.92908
14.14,toyota.prius,0.0,0.92908
14.24,toyota.prius,0.0,0.92908
14.34,toyota.prius,0.0,0.92908
14.44,toyota.prius,0.0,0.92908
14.55,toyota.prius,0.0,0.92908
14.65,toyota.prius,0.0,0.92908
14.75,toyota.prius,0.0,0.92908
14.85,toyota.prius,0.0,0.92908
14.95,toyota.prius,0.0,0.92908
15.05,toyota.prius,0.0,0.92908
15.16,toyota.prius,0.0,0.92908
15.26,toyota.prius,0.0,0.92908
15.36,toyota.prius,0.0,0.92908
15.46,toyota.prius,0.0,0.92908
15.56,toyota.prius,0.0,0.92908
15.66,toyota.prius,0.0,0.92908
15.77,toyota.prius,0.0,0.92908
15.87,toyota.prius,0.0,0.92908
15.97,toyota.prius,0.0,0.92908
16.07,toyota.prius,0.0,0.92908
16.17,toyota.prius,0.0,0.92908
16.27,toyota.prius,0.0,0.92908
16.38,toyota.prius,0.0,0.92908
16.48,toyota.prius,0.0,0.92908
16.58,toyota.prius,0.0,0.92908
16.68,toyota.prius,0.0,0.92908
16.78,toyota.prius,0.0,0.92908
16.88,toyota.prius,0.0,0.92908
16.99,toyota.prius,0.0,0.92908
17.09,toyota.prius,0.0,0.92908
17.19,toyota.prius,0.0,0.92908
17.29,toyota.prius,0.0,0.92908
17.39,toyota.prius,0.0,0.92908
17.49,toyota.prius,0.0,0.92908
17.6,toyota.prius,0.0,0.92908
17.7,toyota.prius,0.0,0.92908
17.8,toyota.prius,0.0,0.92908
17.9,toyota.prius,0.0,0.92908
18.0,toyota.prius,0.0,0.92908
18.1,toyota.prius,0.0,0.92908
18.21,toyota.prius,0.0,0.92908
18.31,toyota.prius,0.0,0.92908
18.41,toyota.prius,0.0,0.92908
18.51,toyota.prius,0.0,0.92908
18.61,toyota.prius,0.0,0.92908
18.72,toyota.prius,0.0,0.92908
