Time(s),VehicleType,VehicleSpeed(m/s),RoadGrade(degree)
0.0,chevy.bolt.2017,0.0,1.33958
0.1,chevy.bolt.2017,0.0,1.33958
0.2,chevy.bolt.2017,0.0,1.33958
0.31,chevy.bolt.2017,0.0,1.33958
0.41,chevy.bolt.2017,0.0,1.33958
0.51,chevy.bolt.2017,0.0,1.33958
0.61,chevy.bolt.2017,0.0,1.33958
0.71,chevy.bolt.2017,0.0,1.33958
0.82,chevy.bolt.2017,0.0,1.33958
0.92,chevy.bolt.2017,0.0,1.33958
1.02,chevy.bolt.2017,0.0,1.33958
1.12,chevy.bolt.2017,0.0,1.33958
1.23,chevy.bolt.2017,0.0,1.33958
1.33,chevy.bolt.2017,0.0,1.33958
1.43,chevy.bolt.2017,0.0,1.33958
1.53,chevy.bolt.2017,0.0,1.33958
1.64,chevy.bolt.2017,0.0,1.33958
1.74,chevy.bolt.2017,0.0,1.33958
1.84,chevy.bolt.2017,0.0,1.33958
1.94,chevy.bolt.2017,0.0,1.33958
2.05,chevy.bolt.2017,0.0,1.33958
2.15,chevy.bolt.2017,0.0,1.33958
2.25,chevy.bolt.2017,0.0,1.33958
2.35,chevy.bolt.2017,0.0,1.33958
2.46,chevy.bolt.2017,0.0,1.33958
2.56,chevy.bolt.2017,0.0,1.33958
2.66,chevy.bolt.2017,0.0,1.33958
2.76,chevy.bolt.2017,0.0,1.33958
2.86,chevy.bolt.2017,0.0,1.33958
2.97,chevy.bolt.2017,0.0,1.33958
3.07,chevy.bolt.2017,0.0,1.33958
3.17,chevy.bolt.2017,0.0,1.33958
3.27,chevy.bolt.2017,0.0,1.33958
3.38,chevy.bolt.2017,0.0,1.33958
3.48,chevy.bolt.2017,0.0,1.33958
3.58,chevy.bolt.2017,0.0,1.33958
3.68,chevy.bolt.2017,0.0,1.33958
3.78,chevy.bolt.2017,0.0,1.33958
3.89,chevy.bolt.2017,0.0,1.33958
3.99,chevy.bolt.2017,0.0,1.33958
4.09,chevy.bolt.2017,0.0,1.33958
4.19,chevy.bolt.2017,0.0,1.33958
4.3,chevy.bolt.2017,0.01,1.33773
4.4,chevy.bolt.2017,0.04,1.33573
4.5,chevy.bolt.2017,0.1,1.33157
4.6,chevy.bolt.2017,0.15,1.33157
4.7,chevy.bolt.2017,0.21,1.32961
4.81,chevy.bolt.2017,0.3,1.32273
4.91,chevy.bolt.2017,0.37,1.32273
5.01,chevy.bolt.2017,0.43,1.31829
5.11,chevy.bolt.2017,0.54,1.30986
5.21,chevy.bolt.2017,0.65,1.30542
5.32,chevy.bolt.2017,0.7,1.30542
5.42,chevy.bolt.2017,0.81,1.29384
5.52,chevy.bolt.2017,0.92,1.2873
5.62,chevy.bolt.2017,0.97,1.2873
5.72,chevy.bolt.2017,1.06,1.27184
5.83,chevy.bolt.2017,1.18,1.26523
5.93,chevy.bolt.2017,1.27,1.25592
6.03,chevy.bolt.2017,1.36,1.2452
6.13,chevy.bolt.2017,1.48,1.23526
6.24,chevy.bolt.2017,1.56,1.22489
6.34,chevy.bolt.2017,1.66,1.21147
6.44,chevy.bolt.2017,1.74,1.19973
6.54,chevy.bolt.2017,1.83,1.1856
6.65,chevy.bolt.2017,1.92,1.17024
6.75,chevy.bolt.2017,2.01,1.15346
6.85,chevy.bolt.2017,2.1,1.13916
6.95,chevy.bolt.2017,2.19,1.12011
7.06,chevy.bolt.2017,2.27,1.10212
7.16,chevy.bolt.2017,2.36,1.08231
7.26,chevy.bolt.2017,2.44,1.06244
7.36,chevy.bolt.2017,2.52,1.03788
7.47,chevy.bolt.2017,2.61,1.01466
7.57,chevy.bolt.2017,2.7,0.98927
7.67,chevy.bolt.2017,2.77,0.96805
7.77,chevy.bolt.2017,2.86,0.93765
7.88,chevy.bolt.2017,3.0,0.88078
7.98,chevy.bolt.2017,3.07,0.88078
8.08,chevy.bolt.2017,3.14,0.84989
8.18,chevy.bolt.2017,3.26,0.79271
8.28,chevy.bolt.2017,3.31,0.79271
8.39,chevy.bolt.2017,3.3,0.75808
8.49,chevy.bolt.2017,3.41,0.6897
8.59,chevy.bolt.2017,3.46,0.6897
8.69,chevy.bolt.2017,3.51,0.60946
