Time(s),VehicleType,VehicleSpeed(m/s),RoadGrade(rad)
0.0,vehicle.lincoln.mkz2017,0.0,1.33349
0.1,vehicle.lincoln.mkz2017,0.0,1.33346
0.2,vehicle.lincoln.mkz2017,0.0,1.33346
0.3,vehicle.lincoln.mkz2017,0.0,1.33346
0.4,vehicle.lincoln.mkz2017,0.0,1.33346
0.51,vehicle.lincoln.mkz2017,0.0,1.33349
0.61,vehicle.lincoln.mkz2017,0.0,1.33354
0.71,vehicle.lincoln.mkz2017,0.0,1.33354
0.81,vehicle.lincoln.mkz2017,0.0,1.33354
0.91,vehicle.lincoln.mkz2017,0.0,1.33361
1.01,vehicle.lincoln.mkz2017,0.0,1.33361
1.11,vehicle.lincoln.mkz2017,0.0,1.33355
1.21,vehicle.lincoln.mkz2017,0.0,1.33355
1.32,vehicle.lincoln.mkz2017,0.0,1.33358
1.42,vehicle.lincoln.mkz2017,0.0,1.33358
1.52,vehicle.lincoln.mkz2017,0.0,1.33358
1.62,vehicle.lincoln.mkz2017,0.0,1.33358
1.72,vehicle.lincoln.mkz2017,0.0,1.33377
1.82,vehicle.lincoln.mkz2017,0.0,1.33383
1.92,vehicle.lincoln.mkz2017,0.0,1.33383
2.02,vehicle.lincoln.mkz2017,0.0,1.33383
2.13,vehicle.lincoln.mkz2017,0.0,1.33383
2.23,vehicle.lincoln.mkz2017,0.0,1.33383
2.33,vehicle.lincoln.mkz2017,0.0,1.33381
2.43,vehicle.lincoln.mkz2017,0.0,1.33381
2.53,vehicle.lincoln.mkz2017,0.0,1.33382
2.63,vehicle.lincoln.mkz2017,0.0,1.33382
2.73,vehicle.lincoln.mkz2017,0.0,1.33383
2.84,vehicle.lincoln.mkz2017,0.0,1.33383
2.94,vehicle.lincoln.mkz2017,0.0,1.33383
3.04,vehicle.lincoln.mkz2017,0.0,1.33383
3.14,vehicle.lincoln.mkz2017,0.0,1.33383
3.24,vehicle.lincoln.mkz2017,0.0,1.33374
3.34,vehicle.lincoln.mkz2017,0.0,1.33374
3.44,vehicle.lincoln.mkz2017,0.0,1.33374
3.54,vehicle.lincoln.mkz2017,0.0,1.33371
3.64,vehicle.lincoln.mkz2017,0.0,1.33371
3.75,vehicle.lincoln.mkz2017,0.0,1.33371
3.85,vehicle.lincoln.mkz2017,0.0,1.33371
3.95,vehicle.lincoln.mkz2017,0.0,1.33371
4.05,vehicle.lincoln.mkz2017,0.0,1.3337
4.15,vehicle.lincoln.mkz2017,0.0,1.3337
4.25,vehicle.lincoln.mkz2017,0.0,1.33373
4.35,vehicle.lincoln.mkz2017,0.0,1.33373
4.46,vehicle.lincoln.mkz2017,0.0,1.33365
4.56,vehicle.lincoln.mkz2017,0.0,1.33365
4.66,vehicle.lincoln.mkz2017,0.0,1.33365
