Time(s),VehicleType,VehicleSpeed(m/s),RoadGrade(degree)
0.0,toyota.prius,0.0,0.93104
0.1,toyota.prius,0.0,0.93104
0.2,toyota.prius,0.0,0.93104
0.3,toyota.prius,0.0,0.93104
0.41,toyota.prius,0.0,0.93104
0.51,toyota.prius,0.0,0.93104
0.61,toyota.prius,0.0,0.93104
0.71,toyota.prius,0.0,0.93104
0.81,toyota.prius,0.0,0.93104
0.91,toyota.prius,0.0,0.93104
1.01,toyota.prius,0.0,0.93104
1.11,toyota.prius,0.0,0.93104
1.22,toyota.prius,0.0,0.93104
1.32,toyota.prius,0.0,0.93104
1.42,toyota.prius,0.0,0.93104
1.52,toyota.prius,0.0,0.93104
1.62,toyota.prius,0.0,0.93104
1.72,toyota.prius,0.0,0.93104
1.82,toyota.prius,0.0,0.93104
1.93,toyota.prius,0.0,0.93104
2.03,toyota.prius,0.0,0.93104
2.13,toyota.prius,0.0,0.93104
2.23,toyota.prius,0.0,0.93104
2.33,toyota.prius,0.0,0.93104
2.43,toyota.prius,0.0,0.93104
2.53,toyota.prius,0.0,0.93104
2.63,toyota.prius,0.0,0.93104
2.74,toyota.prius,0.0,0.93104
2.84,toyota.prius,0.0,0.93084
2.94,toyota.prius,0.0,0.9297
3.04,toyota.prius,0.0,0.92914
3.14,toyota.prius,0.0,0.92865
3.24,toyota.prius,0.0,0.92852
3.34,toyota.prius,0.0,0.9283
3.45,toyota.prius,0.0,0.92842
3.55,toyota.prius,0.0,0.92842
3.65,toyota.prius,0.0,0.92833
3.75,toyota.prius,0.0,0.92833
3.85,toyota.prius,0.0,0.92826
3.95,toyota.prius,0.0,0.92836
4.05,toyota.prius,0.0,0.96011
4.15,toyota.prius,0.02,0.99014
4.26,toyota.prius,0.05,0.98904
4.36,toyota.prius,0.09,0.97476
4.46,toyota.prius,0.15,0.96631
4.56,toyota.prius,0.22,0.96347
4.66,toyota.prius,0.3,0.96266
4.76,toyota.prius,0.38,0.96231
4.86,toyota.prius,0.46,0.9597
4.97,toyota.prius,0.55,0.95004
5.07,toyota.prius,0.64,0.93697
5.17,toyota.prius,0.72,0.93255
5.27,toyota.prius,0.8,0.93485
5.37,toyota.prius,0.87,0.93908
5.47,toyota.prius,0.93,0.93897
5.57,toyota.prius,0.98,0.93601
5.68,toyota.prius,1.04,0.93294
5.78,toyota.prius,1.09,0.93434
5.88,toyota.prius,1.14,0.93604
5.98,toyota.prius,1.19,0.93517
6.08,toyota.prius,1.23,0.93106
6.18,toyota.prius,1.28,0.92753
6.28,toyota.prius,1.32,0.92142
6.39,toyota.prius,1.36,0.92094
6.49,toyota.prius,1.39,0.92433
6.59,toyota.prius,1.43,0.92557
6.69,toyota.prius,1.46,0.91795
6.79,toyota.prius,1.5,0.91032
6.89,toyota.prius,1.53,0.91283
6.99,toyota.prius,1.57,0.91917
7.1,toyota.prius,1.61,0.92402
7.2,toyota.prius,1.64,0.92358
7.3,toyota.prius,1.68,0.91585
7.4,toyota.prius,1.72,0.9136
7.5,toyota.prius,1.76,0.91685
7.6,toyota.prius,1.8,0.92175
7.7,toyota.prius,1.84,0.92653
7.8,toyota.prius,1.87,0.92772
7.91,toyota.prius,1.92,0.92376
8.01,toyota.prius,1.96,0.91973
8.11,toyota.prius,1.99,0.91951
8.21,toyota.prius,2.03,0.92284
8.31,toyota.prius,2.07,0.92566
8.41,toyota.prius,2.1,0.93007
8.52,toyota.prius,2.15,0.92743
8.62,toyota.prius,2.19,0.92274
8.72,toyota.prius,2.23,0.91846
8.82,toyota.prius,2.27,0.91818
8.92,toyota.prius,2.31,0.91774
9.02,toyota.prius,2.35,0.91718
9.12,toyota.prius,2.39,0.91817
9.22,toyota.prius,2.43,0.91597
9.33,toyota.prius,2.47,0.91287
9.43,toyota.prius,2.51,0.91453
9.53,toyota.prius,2.55,0.91684
9.63,toyota.prius,2.58,0.9188
9.73,toyota.prius,2.62,0.92268
9.83,toyota.prius,2.65,0.92148
9.93,toyota.prius,2.68,0.9143
10.04,toyota.prius,2.72,0.91168
10.14,toyota.prius,2.76,0.91635
10.24,toyota.prius,2.79,0.91824
10.34,toyota.prius,2.82,0.91678
10.44,toyota.prius,2.85,0.91649
10.54,toyota.prius,2.89,0.91277
10.65,toyota.prius,2.91,0.90701
10.75,toyota.prius,2.94,0.90651
10.85,toyota.prius,2.97,0.91381
10.95,toyota.prius,3.0,0.9265
11.05,toyota.prius,3.02,0.93682
11.15,toyota.prius,3.05,0.9451
11.25,toyota.prius,3.08,0.9461
11.36,toyota.prius,3.11,0.93975
11.46,toyota.prius,3.13,0.93508
11.56,toyota.prius,3.16,0.93758
11.66,toyota.prius,3.18,0.93921
11.76,toyota.prius,3.2,0.93815
11.86,toyota.prius,3.22,0.93174
11.96,toyota.prius,3.23,0.92581
12.06,toyota.prius,3.25,0.92659
12.17,toyota.prius,3.27,0.92819
12.27,toyota.prius,3.29,0.92917
12.37,toyota.prius,3.31,0.92817
12.47,toyota.prius,3.33,0.92349
12.57,toyota.prius,3.35,0.92118
12.67,toyota.prius,3.37,0.92634
12.77,toyota.prius,3.38,0.92991
