Time(s),VehicleType,VehicleSpeed(m/s),RoadGrade(degree)
0.0,toyota.prius,0.0,0.91463
0.1,toyota.prius,0.0,0.91463
0.2,toyota.prius,0.0,0.91463
0.3,toyota.prius,0.0,0.91465
0.41,toyota.prius,0.0,0.91465
0.51,toyota.prius,0.0,0.91456
0.61,toyota.prius,0.0,0.91456
0.71,toyota.prius,0.0,0.91456
0.81,toyota.prius,0.0,0.91456
0.91,toyota.prius,0.0,0.91453
1.02,toyota.prius,0.0,0.91453
1.12,toyota.prius,0.0,0.91453
1.22,toyota.prius,0.0,0.91439
1.32,toyota.prius,0.01,0.95647
1.42,toyota.prius,0.02,0.97586
1.52,toyota.prius,0.03,0.98888
1.63,toyota.prius,0.06,0.99702
1.73,toyota.prius,0.09,1.00079
1.83,toyota.prius,0.13,1.00228
1.93,toyota.prius,0.19,1.00219
2.03,toyota.prius,0.25,1.00188
2.13,toyota.prius,0.32,1.00113
2.24,toyota.prius,0.39,1.00002
2.34,toyota.prius,0.46,0.99924
2.44,toyota.prius,0.52,0.99891
2.54,toyota.prius,0.58,0.99908
2.64,toyota.prius,0.68,0.99918
2.74,toyota.prius,0.77,0.99996
2.85,toyota.prius,0.87,1.00182
2.95,toyota.prius,0.97,1.00415
3.05,toyota.prius,1.07,1.00673
3.15,toyota.prius,1.14,1.00988
3.25,toyota.prius,1.25,1.01581
3.35,toyota.prius,1.36,1.01848
3.46,toyota.prius,1.48,1.02108
3.56,toyota.prius,1.59,1.02426
3.66,toyota.prius,1.7,1.02488
3.76,toyota.prius,1.78,1.02837
3.86,toyota.prius,1.9,1.03013
3.96,toyota.prius,2.03,1.02938
4.06,toyota.prius,2.15,1.02994
4.17,toyota.prius,2.27,1.02908
4.27,toyota.prius,2.39,1.02948
4.37,toyota.prius,2.47,1.02795
4.47,toyota.prius,2.54,1.02811
4.57,toyota.prius,2.62,1.02721
4.67,toyota.prius,2.69,1.0274
4.78,toyota.prius,2.83,1.02084
4.88,toyota.prius,2.96,1.00526
4.98,toyota.prius,3.09,0.98001
5.08,toyota.prius,3.2,0.94791
5.18,toyota.prius,3.31,0.92468
5.28,toyota.prius,3.34,0.93317
5.38,toyota.prius,3.35,0.88616
5.49,toyota.prius,3.36,0.60652
5.59,toyota.prius,3.37,0.22928
5.69,toyota.prius,3.37,-0.17707
5.79,toyota.prius,3.37,-0.58395
5.89,toyota.prius,3.37,-0.98498
5.99,toyota.prius,3.43,-1.79269
6.09,toyota.prius,3.48,-2.15573
6.2,toyota.prius,3.54,-2.25485
6.3,toyota.prius,3.6,-2.23068
6.4,toyota.prius,3.66,-2.17501
6.5,toyota.prius,3.67,-2.12527
6.6,toyota.prius,3.68,-2.09756
6.7,toyota.prius,3.69,-2.08991
6.8,toyota.prius,3.69,-2.08987
6.91,toyota.prius,3.69,-2.08411
7.01,toyota.prius,3.68,-2.07495
7.11,toyota.prius,3.67,-2.06527
7.21,toyota.prius,3.66,-2.05393
7.31,toyota.prius,3.65,-2.03995
7.41,toyota.prius,3.69,-2.01089
7.52,toyota.prius,3.73,-1.9982
7.62,toyota.prius,3.77,-1.98733
7.72,toyota.prius,3.81,-1.97906
7.82,toyota.prius,3.85,-1.97491
7.92,toyota.prius,3.84,-1.97733
8.02,toyota.prius,3.83,-1.99078
8.13,toyota.prius,3.82,-2.01129
8.23,toyota.prius,3.82,-2.02996
8.33,toyota.prius,3.81,-2.03952
8.43,toyota.prius,3.8,-2.04369
8.53,toyota.prius,3.78,-2.04388
