Time(s),VehicleType,VehicleSpeed(m/s),RoadGrade(degree)
0.0,toyota.prius,0.01,1.60272
0.1,toyota.prius,0.02,1.62484
0.2,toyota.prius,0.05,1.62836
0.3,toyota.prius,0.1,1.6272
0.4,toyota.prius,0.17,1.62136
0.51,toyota.prius,0.25,1.61509
0.61,toyota.prius,0.35,1.60927
0.71,toyota.prius,0.46,1.6025
0.81,toyota.prius,0.58,1.59536
0.91,toyota.prius,0.71,1.58511
1.01,toyota.prius,0.84,1.57432
1.11,toyota.prius,1.03,1.53973
1.21,toyota.prius,1.23,1.51252
1.32,toyota.prius,1.42,1.48035
1.42,toyota.prius,1.61,1.44972
1.52,toyota.prius,1.8,1.41868
1.62,toyota.prius,1.93,1.3836
1.72,toyota.prius,2.05,1.34639
1.82,toyota.prius,2.17,1.31844
1.92,toyota.prius,2.27,1.30164
2.02,toyota.prius,2.37,1.28841
2.13,toyota.prius,2.46,1.2768
2.23,toyota.prius,2.54,1.26098
2.33,toyota.prius,2.67,1.23118
2.43,toyota.prius,2.79,1.22624
2.53,toyota.prius,2.9,1.21005
2.63,toyota.prius,3.01,1.19065
2.73,toyota.prius,3.12,1.17202
2.83,toyota.prius,3.17,1.15355
2.94,toyota.prius,3.22,1.14571
3.04,toyota.prius,3.27,1.13617
3.14,toyota.prius,3.32,1.11967
3.24,toyota.prius,3.38,1.10504
3.34,toyota.prius,3.43,1.08733
3.44,toyota.prius,3.49,1.06851
3.54,toyota.prius,3.55,1.04569
3.64,toyota.prius,3.6,1.01639
3.75,toyota.prius,3.66,0.99027
3.85,toyota.prius,3.71,0.96015
3.95,toyota.prius,3.77,0.93272
4.05,toyota.prius,3.81,0.91289
4.15,toyota.prius,3.92,0.89956
4.25,toyota.prius,4.01,0.89517
4.35,toyota.prius,4.1,0.8935
4.45,toyota.prius,4.18,0.90143
4.55,toyota.prius,4.25,0.91378
4.66,toyota.prius,4.25,0.92544
4.76,toyota.prius,4.26,0.93213
4.86,toyota.prius,4.28,0.93818
4.96,toyota.prius,4.29,0.94411
5.06,toyota.prius,4.31,0.94449
5.16,toyota.prius,4.33,0.94436
5.26,toyota.prius,4.43,0.94181
5.36,toyota.prius,4.53,0.9413
5.47,toyota.prius,4.62,0.94289
5.57,toyota.prius,4.71,0.94452
5.67,toyota.prius,4.8,0.94356
5.77,toyota.prius,4.81,0.93807
5.87,toyota.prius,4.82,0.93265
5.97,toyota.prius,4.83,0.92526
6.07,toyota.prius,4.84,0.91503
6.17,toyota.prius,4.85,0.90729
6.27,toyota.prius,4.86,0.9062
6.38,toyota.prius,4.94,0.90549
6.48,toyota.prius,5.02,0.91045
6.58,toyota.prius,5.09,0.91121
6.68,toyota.prius,5.16,0.91197
6.78,toyota.prius,5.22,0.91273
6.88,toyota.prius,5.2,0.91205
6.98,toyota.prius,5.19,0.90794
7.08,toyota.prius,5.17,0.9062
7.19,toyota.prius,5.16,0.90894
7.29,toyota.prius,5.15,0.90655
7.39,toyota.prius,5.13,0.90527
7.49,toyota.prius,5.12,0.90475
7.59,toyota.prius,5.19,0.90773
7.69,toyota.prius,5.25,0.90557
7.79,toyota.prius,5.3,0.90426
7.89,toyota.prius,5.28,0.90426
7.99,toyota.prius,5.26,0.90375
8.1,toyota.prius,5.24,0.90328
8.2,toyota.prius,5.22,0.90216
8.3,toyota.prius,5.2,0.90773
8.4,toyota.prius,5.26,0.92109
8.5,toyota.prius,5.31,0.92904
8.6,toyota.prius,5.29,0.93464
8.7,toyota.prius,5.27,0.93631
8.8,toyota.prius,5.25,0.93923
8.91,toyota.prius,5.23,0.93026
9.01,toyota.prius,5.21,0.92001
9.11,toyota.prius,5.19,0.91591
9.21,toyota.prius,5.18,0.9174
9.31,toyota.prius,5.16,0.91917
9.41,toyota.prius,5.15,0.91697
9.51,toyota.prius,5.14,0.91914
9.61,toyota.prius,5.13,0.91697
9.72,toyota.prius,5.12,0.91791
9.82,toyota.prius,5.11,0.9202
9.92,toyota.prius,5.1,0.92742
10.02,toyota.prius,5.09,0.9321
10.12,toyota.prius,5.08,0.93778
10.22,toyota.prius,5.07,0.94054
10.32,toyota.prius,5.06,0.94398
10.42,toyota.prius,5.06,0.94439
10.52,toyota.prius,5.05,0.94424
10.63,toyota.prius,5.04,0.94304
10.73,toyota.prius,5.03,0.94288
10.83,toyota.prius,5.02,0.94255
10.93,toyota.prius,5.08,0.94572
11.03,toyota.prius,5.14,0.95063
11.14,toyota.prius,5.19,0.95673
11.24,toyota.prius,5.23,0.96353
11.34,toyota.prius,5.26,0.97489
11.44,toyota.prius,5.23,1.01264
11.54,toyota.prius,5.19,0.71315
11.64,toyota.prius,5.16,0.1544
11.74,toyota.prius,5.13,-0.42843
11.84,toyota.prius,5.11,-0.98963
11.95,toyota.prius,5.09,-1.54306
12.05,toyota.prius,5.07,-2.10296
12.15,toyota.prius,5.06,-2.20782
12.25,toyota.prius,5.05,-2.12917
12.35,toyota.prius,5.12,-2.04608
12.45,toyota.prius,5.18,-2.03094
12.55,toyota.prius,5.24,-2.02459
12.65,toyota.prius,5.29,-2.02255
12.75,toyota.prius,5.33,-2.02221
12.86,toyota.prius,5.3,-2.02157
12.96,toyota.prius,5.26,-2.02057
13.06,toyota.prius,5.23,-2.01926
13.16,toyota.prius,5.2,-2.01913
13.26,toyota.prius,5.16,-2.0184
13.36,toyota.prius,5.13,-2.01754
13.46,toyota.prius,5.1,-2.01703
13.56,toyota.prius,5.07,-2.0162
13.66,toyota.prius,5.05,-2.01566
13.77,toyota.prius,5.02,-2.01523
13.87,toyota.prius,5.07,-2.01446
13.97,toyota.prius,5.11,-2.01437
14.07,toyota.prius,5.15,-2.01428
14.17,toyota.prius,5.19,-2.01397
14.27,toyota.prius,5.23,-2.01342
14.37,toyota.prius,5.19,-2.01355
14.47,toyota.prius,5.16,-2.01309
14.58,toyota.prius,5.12,-2.01285
14.68,toyota.prius,5.1,-2.01321
14.78,toyota.prius,5.07,-2.01346
14.88,toyota.prius,5.05,-1.62216
14.98,toyota.prius,5.02,-1.24289
15.08,toyota.prius,5.07,-1.39028
15.18,toyota.prius,5.12,-1.54717
15.28,toyota.prius,5.16,-1.62118
15.38,toyota.prius,5.2,-2.17077
15.49,toyota.prius,5.24,-2.55627
15.59,toyota.prius,5.21,-2.61868
15.69,toyota.prius,5.18,-2.47241
15.79,toyota.prius,5.16,-2.36025
15.89,toyota.prius,5.14,-2.30203
15.99,toyota.prius,5.12,-2.28161
16.09,toyota.prius,5.1,-2.27996
16.19,toyota.prius,5.16,-2.16223
16.3,toyota.prius,5.21,-2.14023
16.4,toyota.prius,5.25,-2.09988
16.5,toyota.prius,5.29,-2.05007
16.6,toyota.prius,5.33,-2.0212
16.7,toyota.prius,5.29,-2.01437
16.8,toyota.prius,5.25,-2.01052
16.9,toyota.prius,5.22,-2.00912
