Time(s),VehicleType,VehicleSpeed(m/s),RoadGrade(rad)
0.0,vehicle.lincoln.mkz2017,0.0,1.33422
0.1,vehicle.lincoln.mkz2017,0.0,1.33422
0.2,vehicle.lincoln.mkz2017,0.0,1.33423
0.3,vehicle.lincoln.mkz2017,0.0,1.3342
0.4,vehicle.lincoln.mkz2017,0.0,1.3342
0.51,vehicle.lincoln.mkz2017,0.0,1.3342
0.61,vehicle.lincoln.mkz2017,0.0,1.3342
0.71,vehicle.lincoln.mkz2017,0.0,1.3342
0.81,vehicle.lincoln.mkz2017,0.0,1.3342
0.91,vehicle.lincoln.mkz2017,0.0,1.33426
1.01,vehicle.lincoln.mkz2017,0.0,1.33434
1.11,vehicle.lincoln.mkz2017,0.0,1.33434
1.22,vehicle.lincoln.mkz2017,0.0,1.33425
1.32,vehicle.lincoln.mkz2017,0.0,1.33425
1.42,vehicle.lincoln.mkz2017,0.0,1.33425
1.52,vehicle.lincoln.mkz2017,0.0,1.33429
1.62,vehicle.lincoln.mkz2017,0.0,1.33429
1.72,vehicle.lincoln.mkz2017,0.0,1.33436
1.82,vehicle.lincoln.mkz2017,0.0,1.33436
1.92,vehicle.lincoln.mkz2017,0.0,1.33436
2.03,vehicle.lincoln.mkz2017,0.0,1.33424
2.13,vehicle.lincoln.mkz2017,0.0,1.33424
2.23,vehicle.lincoln.mkz2017,0.0,1.33424
2.33,vehicle.lincoln.mkz2017,0.0,1.33416
2.43,vehicle.lincoln.mkz2017,0.0,1.33416
2.53,vehicle.lincoln.mkz2017,0.0,1.33423
2.63,vehicle.lincoln.mkz2017,0.0,1.33423
2.74,vehicle.lincoln.mkz2017,0.0,1.33418
2.84,vehicle.lincoln.mkz2017,0.0,1.33418
2.94,vehicle.lincoln.mkz2017,0.0,1.33414
3.04,vehicle.lincoln.mkz2017,0.0,1.33414
3.14,vehicle.lincoln.mkz2017,0.0,1.33417
3.25,vehicle.lincoln.mkz2017,0.0,1.33417
3.35,vehicle.lincoln.mkz2017,0.0,1.33417
3.45,vehicle.lincoln.mkz2017,0.0,1.33421
3.55,vehicle.lincoln.mkz2017,0.0,1.33421
3.65,vehicle.lincoln.mkz2017,0.0,1.33425
3.75,vehicle.lincoln.mkz2017,0.0,1.33425
3.85,vehicle.lincoln.mkz2017,0.0,1.33425
3.96,vehicle.lincoln.mkz2017,0.0,1.33421
4.06,vehicle.lincoln.mkz2017,0.0,1.33421
4.16,vehicle.lincoln.mkz2017,0.0,1.33426
4.26,vehicle.lincoln.mkz2017,0.0,1.33426
4.36,vehicle.lincoln.mkz2017,0.0,1.33426
4.46,vehicle.lincoln.mkz2017,0.0,1.33433
4.56,vehicle.lincoln.mkz2017,0.0,1.33433
4.66,vehicle.lincoln.mkz2017,0.0,1.33413
4.76,vehicle.lincoln.mkz2017,0.0,1.33413
4.87,vehicle.lincoln.mkz2017,0.0,1.33405
4.97,vehicle.lincoln.mkz2017,0.0,1.33405
5.07,vehicle.lincoln.mkz2017,0.0,1.33383
5.17,vehicle.lincoln.mkz2017,0.0,1.33383
5.27,vehicle.lincoln.mkz2017,0.0,1.33383
5.37,vehicle.lincoln.mkz2017,0.0,1.33383
5.47,vehicle.lincoln.mkz2017,0.0,1.33368
5.57,vehicle.lincoln.mkz2017,0.0,1.33368
