Time(s),VehicleType,VehicleSpeed(m/s),RoadGrade(degree)
0.0,toyota.prius,0.0,0.932
0.1,toyota.prius,0.0,0.932
0.2,toyota.prius,0.0,0.932
0.3,toyota.prius,0.0,0.932
0.4,toyota.prius,0.0,0.932
0.51,toyota.prius,0.0,0.932
0.61,toyota.prius,0.0,0.932
0.71,toyota.prius,0.0,0.932
0.81,toyota.prius,0.0,0.932
0.91,toyota.prius,0.0,0.932
1.01,toyota.prius,0.0,0.932
1.11,toyota.prius,0.0,0.932
1.22,toyota.prius,0.0,0.932
1.32,toyota.prius,0.0,0.932
1.42,toyota.prius,0.0,0.46583
1.52,toyota.prius,0.0,0.20327
1.62,toyota.prius,0.0,0.46153
1.72,toyota.prius,0.0,0.69961
1.82,toyota.prius,0.0,0.83296
1.93,toyota.prius,0.0,0.8942
2.03,toyota.prius,0.0,0.91891
2.13,toyota.prius,0.0,0.9269
2.23,toyota.prius,0.0,0.92852
2.33,toyota.prius,0.0,0.92852
2.43,toyota.prius,0.0,0.92852
2.54,toyota.prius,0.0,0.92852
2.64,toyota.prius,0.0,0.92852
2.74,toyota.prius,0.0,0.92852
2.84,toyota.prius,0.0,0.92852
2.94,toyota.prius,0.0,0.92852
3.05,toyota.prius,0.0,0.92852
3.15,toyota.prius,0.0,0.92852
3.25,toyota.prius,0.0,0.92852
3.35,toyota.prius,0.0,0.92852
3.46,toyota.prius,0.0,0.92852
3.56,toyota.prius,0.0,0.92852
3.66,toyota.prius,0.0,0.92852
3.76,toyota.prius,0.0,0.92852
3.86,toyota.prius,0.0,0.92852
3.96,toyota.prius,0.0,0.92852
4.06,toyota.prius,0.0,0.92852
4.17,toyota.prius,0.0,0.92852
4.27,toyota.prius,0.0,0.92852
4.37,toyota.prius,0.0,0.92852
4.47,toyota.prius,0.0,0.92852
4.57,toyota.prius,0.0,0.92852
4.67,toyota.prius,0.0,0.92852
4.78,toyota.prius,0.0,0.92852
4.88,toyota.prius,0.0,0.92852
4.98,toyota.prius,0.0,0.92852
5.08,toyota.prius,0.0,0.92852
5.18,toyota.prius,0.0,0.92852
5.28,toyota.prius,0.0,0.92852
5.39,toyota.prius,0.0,0.92852
5.49,toyota.prius,0.0,0.92852
5.59,toyota.prius,0.0,0.92852
5.69,toyota.prius,0.0,0.92852
5.79,toyota.prius,0.0,0.92852
5.89,toyota.prius,0.0,0.92852
5.99,toyota.prius,0.0,0.92852
6.1,toyota.prius,0.0,0.92852
6.2,toyota.prius,0.0,0.92852
6.3,toyota.prius,0.0,0.92852
6.4,toyota.prius,0.0,0.92852
6.5,toyota.prius,0.0,0.92852
6.6,toyota.prius,0.0,0.92852
6.7,toyota.prius,0.0,0.92852
6.81,toyota.prius,0.0,0.92852
6.91,toyota.prius,0.0,0.92852
7.01,toyota.prius,0.0,0.92852
7.11,toyota.prius,0.0,0.92852
7.21,toyota.prius,0.0,0.92852
7.32,toyota.prius,0.0,0.92852
7.42,toyota.prius,0.0,0.92852
7.52,toyota.prius,0.0,0.92852
7.62,toyota.prius,0.0,0.92852
7.72,toyota.prius,0.0,0.92852
7.82,toyota.prius,0.0,0.92852
7.92,toyota.prius,0.0,0.92852
8.03,toyota.prius,0.0,0.92852
8.13,toyota.prius,0.0,0.92852
8.23,toyota.prius,0.0,0.92852
8.33,toyota.prius,0.01,0.92852
8.43,toyota.prius,0.01,0.92852
8.54,toyota.prius,0.01,0.92852
8.64,toyota.prius,0.01,0.92852
8.74,toyota.prius,0.01,0.92852
8.84,toyota.prius,0.01,0.92852
8.94,toyota.prius,0.01,0.92852
9.05,toyota.prius,0.0,0.92852
9.15,toyota.prius,0.0,0.92852
9.25,toyota.prius,0.0,0.92852
9.35,toyota.prius,0.0,0.92852
9.45,toyota.prius,0.0,0.92852
9.55,toyota.prius,0.0,0.92852
9.66,toyota.prius,0.0,0.92852
9.76,toyota.prius,0.0,0.92852
9.86,toyota.prius,0.0,0.92852
9.96,toyota.prius,0.0,0.92852
10.07,toyota.prius,0.0,0.92852
10.17,toyota.prius,0.0,0.92852
10.27,toyota.prius,0.0,0.92852
10.37,toyota.prius,0.0,0.92852
10.47,toyota.prius,0.0,0.92852
10.57,toyota.prius,0.0,0.92852
10.68,toyota.prius,0.0,0.92852
10.78,toyota.prius,0.0,0.92852
10.88,toyota.prius,0.0,0.92852
10.98,toyota.prius,0.0,0.92852
11.08,toyota.prius,0.0,0.92852
11.18,toyota.prius,0.0,0.92852
11.29,toyota.prius,0.0,0.92852
11.39,toyota.prius,0.0,0.92852
11.49,toyota.prius,0.0,0.92852
11.59,toyota.prius,0.0,0.92852
11.69,toyota.prius,0.0,0.92852
11.79,toyota.prius,0.0,0.92852
11.89,toyota.prius,0.0,0.92852
12.0,toyota.prius,0.0,0.92852
12.1,toyota.prius,0.0,0.92852
12.2,toyota.prius,0.0,0.92852
12.3,toyota.prius,0.0,0.92852
12.4,toyota.prius,0.0,0.92852
12.5,toyota.prius,0.0,0.92852
12.61,toyota.prius,0.0,0.92852
12.71,toyota.prius,0.0,0.92852
12.81,toyota.prius,0.0,0.92852
12.91,toyota.prius,0.0,0.92852
13.01,toyota.prius,0.0,0.92852
13.12,toyota.prius,0.0,0.92852
13.22,toyota.prius,0.0,0.92852
13.32,toyota.prius,0.0,0.92852
13.42,toyota.prius,0.0,0.92852
13.52,toyota.prius,0.0,0.92852
13.62,toyota.prius,0.0,0.92827
13.72,toyota.prius,0.0,0.92824
13.83,toyota.prius,0.0,0.92811
13.93,toyota.prius,0.0,0.92807
14.03,toyota.prius,0.0,0.92811
14.13,toyota.prius,0.0,0.92811
14.23,toyota.prius,0.0,0.92807
14.33,toyota.prius,0.0,0.92808
14.44,toyota.prius,0.0,0.92798
14.54,toyota.prius,0.0,0.93979
14.64,toyota.prius,0.01,0.97467
14.74,toyota.prius,0.03,0.98099
14.84,toyota.prius,0.06,0.97487
14.95,toyota.prius,0.1,0.97151
15.05,toyota.prius,0.16,0.96899
15.15,toyota.prius,0.23,0.96734
15.25,toyota.prius,0.31,0.96628
15.35,toyota.prius,0.39,0.9657
15.45,toyota.prius,0.48,0.9656
15.55,toyota.prius,0.57,0.9655
15.66,toyota.prius,0.67,0.96586
15.76,toyota.prius,0.77,0.96594
15.86,toyota.prius,0.87,0.96412
15.96,toyota.prius,0.97,0.96073
16.06,toyota.prius,1.07,0.95778
16.16,toyota.prius,1.18,0.95601
16.27,toyota.prius,1.29,0.95411
16.37,toyota.prius,1.39,0.94994
16.47,toyota.prius,1.5,0.93946
16.58,toyota.prius,1.61,0.92337
16.68,toyota.prius,1.71,0.90841
16.78,toyota.prius,1.8,0.90234
16.88,toyota.prius,1.89,0.90943
16.98,toyota.prius,1.96,0.91612
17.08,toyota.prius,2.04,0.91576
17.19,toyota.prius,2.1,0.90891
17.29,toyota.prius,2.17,0.90908
17.39,toyota.prius,2.23,0.91596
17.49,toyota.prius,2.28,0.91961
17.59,toyota.prius,2.33,0.91985
17.69,toyota.prius,2.37,0.91824
17.8,toyota.prius,2.42,0.91463
17.9,toyota.prius,2.45,0.91326
18.0,toyota.prius,2.49,0.91846
18.1,toyota.prius,2.52,0.92262
18.2,toyota.prius,2.55,0.9183
18.3,toyota.prius,2.59,0.91162
18.41,toyota.prius,2.61,0.90952
18.51,toyota.prius,2.64,0.91148
