Time(s),VehicleType,VehicleSpeed(m/s),RoadGrade(degree)
0.0,toyota.prius,0.0,0.92365
0.1,toyota.prius,0.0,0.92335
0.2,toyota.prius,0.0,0.92335
0.31,toyota.prius,0.0,0.92314
0.41,toyota.prius,0.0,0.92318
0.51,toyota.prius,0.0,0.92314
0.61,toyota.prius,0.0,0.92314
0.71,toyota.prius,0.0,0.9233
0.81,toyota.prius,0.0,0.92343
0.92,toyota.prius,0.0,0.92343
1.02,toyota.prius,0.0,0.92352
1.12,toyota.prius,0.0,0.92352
1.22,toyota.prius,0.0,0.94153
1.32,toyota.prius,0.01,0.96457
1.42,toyota.prius,0.02,0.98325
1.53,toyota.prius,0.04,0.99537
1.63,toyota.prius,0.06,1.00209
1.73,toyota.prius,0.09,1.00463
1.83,toyota.prius,0.14,1.00346
1.93,toyota.prius,0.2,1.00127
2.03,toyota.prius,0.26,0.99996
2.14,toyota.prius,0.33,0.99894
2.24,toyota.prius,0.4,0.99785
2.34,toyota.prius,0.46,0.99717
2.44,toyota.prius,0.54,0.99652
2.54,toyota.prius,0.63,0.99671
2.64,toyota.prius,0.72,0.99788
2.74,toyota.prius,0.81,0.99885
2.84,toyota.prius,0.9,0.99943
2.95,toyota.prius,1.01,0.99989
3.05,toyota.prius,1.11,0.99975
3.15,toyota.prius,1.22,1.00008
3.25,toyota.prius,1.32,1.00135
3.35,toyota.prius,1.43,1.00151
3.45,toyota.prius,1.55,1.00176
3.56,toyota.prius,1.66,1.0005
3.66,toyota.prius,1.78,1.0036
3.76,toyota.prius,1.89,1.00493
3.86,toyota.prius,2.01,1.00918
3.96,toyota.prius,2.08,1.01233
4.06,toyota.prius,2.21,1.01946
4.17,toyota.prius,2.34,1.02353
4.27,toyota.prius,2.46,1.0256
4.37,toyota.prius,2.58,1.02821
4.47,toyota.prius,2.71,1.02866
4.57,toyota.prius,2.78,1.02898
4.67,toyota.prius,2.91,1.01671
4.77,toyota.prius,3.03,0.99721
4.88,toyota.prius,3.15,0.9677
4.98,toyota.prius,3.26,0.93169
5.08,toyota.prius,3.36,0.89943
5.18,toyota.prius,3.39,0.88444
5.28,toyota.prius,3.45,0.89727
5.38,toyota.prius,3.5,0.91294
5.49,toyota.prius,3.55,0.93079
5.59,toyota.prius,3.59,0.95043
5.69,toyota.prius,3.62,0.97274
5.79,toyota.prius,3.61,1.01075
5.89,toyota.prius,3.59,0.97812
5.99,toyota.prius,3.64,0.26486
6.1,toyota.prius,3.69,-0.18866
6.2,toyota.prius,3.73,-0.64829
6.3,toyota.prius,3.78,-1.1044
6.4,toyota.prius,3.83,-1.56286
6.5,toyota.prius,3.83,-2.02213
6.6,toyota.prius,3.82,-2.27094
6.71,toyota.prius,3.81,-2.31598
6.81,toyota.prius,3.8,-2.28024
6.91,toyota.prius,3.78,-2.22363
7.01,toyota.prius,3.82,-2.11898
7.11,toyota.prius,3.85,-2.07755
7.21,toyota.prius,3.88,-2.04572
7.32,toyota.prius,3.91,-2.02068
7.42,toyota.prius,3.93,-2.00372
7.52,toyota.prius,3.91,-1.99252
7.62,toyota.prius,3.89,-1.98898
7.72,toyota.prius,3.88,-1.99233
7.82,toyota.prius,3.87,-2.00653
7.93,toyota.prius,3.91,-2.03607
8.03,toyota.prius,3.95,-2.04141
8.13,toyota.prius,3.98,-2.04288
8.23,toyota.prius,4.0,-2.03924
8.33,toyota.prius,4.02,-2.03223
8.44,toyota.prius,3.99,-2.02169
8.54,toyota.prius,3.95,-2.01114
8.64,toyota.prius,3.92,-1.99978
8.74,toyota.prius,3.9,-1.992
8.84,toyota.prius,3.88,-1.98641
8.94,toyota.prius,3.86,-1.98593
9.05,toyota.prius,3.85,-1.99136
9.15,toyota.prius,3.84,-2.00583
9.25,toyota.prius,3.83,-2.021
9.35,toyota.prius,3.88,-2.03845
9.45,toyota.prius,3.91,-2.04049
9.55,toyota.prius,3.94,-2.03732
9.66,toyota.prius,3.97,-2.03223
9.76,toyota.prius,3.99,-2.02328
