Time(s),VehicleType,VehicleSpeed(m/s),RoadGrade(rad)
0.0,toyota.prius,0.0,0.92546
0.1,toyota.prius,0.0,0.92546
0.2,toyota.prius,0.0,0.92546
0.3,toyota.prius,0.0,0.92546
0.41,toyota.prius,0.0,0.92546
0.51,toyota.prius,0.0,0.92546
0.61,toyota.prius,0.0,0.92546
0.71,toyota.prius,0.0,0.92546
0.81,toyota.prius,0.0,0.92546
0.91,toyota.prius,0.0,0.92546
1.02,toyota.prius,0.0,0.92546
1.12,toyota.prius,0.0,0.92546
1.22,toyota.prius,0.0,0.92546
1.32,toyota.prius,0.0,0.92546
1.42,toyota.prius,0.0,0.92546
1.52,toyota.prius,0.0,0.92546
1.63,toyota.prius,0.0,0.92546
1.73,toyota.prius,0.0,0.92546
1.83,toyota.prius,0.0,0.92546
1.93,toyota.prius,0.0,0.92546
2.03,toyota.prius,0.0,0.92546
2.13,toyota.prius,0.0,0.92546
2.23,toyota.prius,0.0,0.92546
2.34,toyota.prius,0.0,0.92546
2.44,toyota.prius,0.0,0.92546
2.54,toyota.prius,0.0,0.92546
2.64,toyota.prius,0.0,0.92546
2.74,toyota.prius,0.0,0.92546
2.84,toyota.prius,0.0,0.92546
2.95,toyota.prius,0.0,0.92546
3.05,toyota.prius,0.0,0.92546
3.15,toyota.prius,0.0,0.92546
3.25,toyota.prius,0.0,0.92546
3.35,toyota.prius,0.0,0.92546
3.45,toyota.prius,0.0,0.92546
3.55,toyota.prius,0.0,0.92546
3.66,toyota.prius,0.0,0.92546
3.76,toyota.prius,0.0,0.92546
3.86,toyota.prius,0.0,0.92546
3.96,toyota.prius,0.0,0.92546
4.06,toyota.prius,0.0,0.92546
4.16,toyota.prius,0.0,0.92546
4.27,toyota.prius,0.0,0.92546
4.37,toyota.prius,0.0,0.92546
4.47,toyota.prius,0.0,0.92546
4.57,toyota.prius,0.0,0.92546
4.67,toyota.prius,0.0,0.92546
4.77,toyota.prius,0.0,0.92546
4.87,toyota.prius,0.0,0.92546
4.98,toyota.prius,0.0,0.92546
5.08,toyota.prius,0.0,0.92546
5.18,toyota.prius,0.0,0.92546
5.28,toyota.prius,0.0,0.92546
5.38,toyota.prius,0.0,0.92546
5.48,toyota.prius,0.0,0.92546
5.59,toyota.prius,0.0,0.92546
5.69,toyota.prius,0.0,0.92546
5.79,toyota.prius,0.0,0.92546
5.89,toyota.prius,0.0,0.92546
5.99,toyota.prius,0.0,0.92546
6.09,toyota.prius,0.0,0.92546
6.19,toyota.prius,0.0,0.92546
6.3,toyota.prius,0.0,0.92546
6.4,toyota.prius,0.0,0.92546
6.5,toyota.prius,0.0,0.92546
6.6,toyota.prius,0.0,0.92546
6.7,toyota.prius,0.0,0.92546
6.8,toyota.prius,0.0,0.92546
6.91,toyota.prius,0.0,0.92546
7.01,toyota.prius,0.0,0.92546
7.11,toyota.prius,0.0,0.92546
7.21,toyota.prius,0.0,0.92546
7.31,toyota.prius,0.0,0.92546
7.41,toyota.prius,0.0,0.92546
7.51,toyota.prius,0.0,0.92546
7.62,toyota.prius,0.0,0.92546
7.72,toyota.prius,0.0,0.92546
