Time [s],Speed [mph],Speed [mps],Acceleration Command [m/s²],Calculated Acceleration [m/s²]
35.1003,0.0,0.0,-0.5,-0.5
35.2003,0.0,0.0,-0.5,-0.5
35.3003,0.0,0.0,-0.5,-0.5
35.4003,0.0,0.0,-0.5,-0.5
35.5003,0.0,0.0,-0.5,-0.5
35.6003,0.0,0.0,-0.5,-0.5
35.7004,0.0,0.0,-0.5,-0.5
35.8004,0.0,0.0,-0.5,-0.5
35.9003,0.0,0.0,-0.5,-0.5
36.0003,0.0,0.0,-0.5,-0.5
36.1003,0.0,0.0,-0.5,-0.5
36.2005,0.0,0.0,-0.5,-0.5
36.3003,0.0,0.0,-0.5,-0.5
36.4003,0.0,0.0,-0.5,-0.5
36.5004,0.0,0.0,-0.5,-0.5
36.6003,0.0,0.0,-0.5,-0.5
36.7003,0.0,0.0,-0.5,-0.5
36.8005,0.0,0.0,-0.5,-0.5
36.9003,0.0,0.0,-0.5,-0.5
37.0003,0.0,0.0,-0.5,-0.5
37.1003,0.0,0.0,-0.5,-0.5
37.2003,0.0,0.0,-0.5,-0.5
37.3003,0.0,0.0,-0.5,-0.5
37.4003,0.0,0.0,-0.5,-0.5
37.5003,0.0,0.0,-0.5,-0.5
37.6003,0.0,0.0,-0.5,-0.5
37.7003,0.0,0.0,-0.5,-0.5
37.8003,0.0,0.0,-0.5,-0.5
37.9003,0.0,0.0,-0.5,-0.5
38.0003,0.0,0.0,-0.5,-0.5
38.1004,0.0,0.0,-0.5,-0.5
38.2003,0.0,0.0,-0.5,-0.5
38.3003,0.0,0.0,-0.5,-0.5
38.4005,0.0,0.0,-0.5,-0.5
38.5003,0.0,0.0,-0.5,-0.5
38.6005,0.0,0.0,-0.5,-0.5
38.7003,0.0,0.0,-0.5,-0.5
38.8003,0.0,0.0,-0.5,-0.5
38.9003,0.0,0.0,-0.5,-0.5
39.0003,0.0,0.0,-0.5,-0.5
39.1003,0.0,0.0,-0.5,-0.5
39.2003,0.0,0.0,-0.5,-0.5
39.3003,0.0,0.0,-0.5,-0.5
39.4003,0.0,0.0,-0.5,-0.5
39.5003,0.0,0.0,-0.5,-0.5
39.6003,0.0,0.0,-0.5,-0.5
39.7003,0.0,0.0,-0.5,-0.5
39.8003,0.0,0.0,-0.5,-0.5
39.9003,0.0,0.0,-0.5,-0.5
40.0003,0.0,0.0,-0.5,-0.5
40.1004,0.0,0.0,-0.5,-0.5
40.2003,0.0,0.0,-0.5,-0.5
40.3003,0.0,0.0,-0.5,-0.5
40.4003,0.0,0.0,-0.5,-0.5
40.5003,0.0,0.0,-0.5,-0.5
40.6003,0.0,0.0,-0.5,-0.5
40.7003,0.0,0.0,-0.5,-0.5
40.8004,0.0,0.0,-0.5,-0.5
40.9003,0.0,0.0,-0.5,-0.5
41.0003,0.0,0.0,-0.5,-0.5
41.1003,0.0,0.0,-0.5,-0.5
41.2003,0.0,0.0,-0.5,-0.5
41.3005,0.0,0.0,-0.5,-0.5
41.4003,0.0,0.0,-0.5,-0.5
41.5003,0.0,0.0,-0.5,-0.5
41.6003,0.0,0.0,-0.5,-0.5
41.7013,0.0,0.0,-0.5,-0.5
41.8003,0.0,0.0,-0.5,-0.5
41.9003,0.0,0.0,-0.5,-0.5
42.0003,0.0,0.0,-0.5,-0.5
42.1013,0.0,0.0,-0.5,-0.5
42.2004,0.0,0.0,-0.5,-0.5
42.3006,0.0,0.0,-0.5,-0.5
42.4003,0.0,0.0,-0.5,-0.5
42.5004,0.0,0.0,-0.5,-0.5
42.6004,0.0,0.0,-0.5,-0.5
42.7003,0.0,0.0,-0.5,-0.5
42.8003,0.0,0.0,-0.5,-0.5
42.9003,0.0,0.0,-0.5,-0.5
43.0004,0.0,0.0,-0.5,-0.5
43.1003,0.0,0.0,-0.5,-0.5
43.2003,0.0,0.0,-0.5,-0.5
43.3005,0.0,0.0,-0.5,-0.5
