Time [s],Speed [mph],Speed [mphs,Acceleration Command [m/s²],Calculated Acceleration [m/s²]
0.0609,0.0,0.0,-0.5,-0.24999999999999997
0.1609,0.0,0.0,-0.5,-0.2583333333333333
0.2609,0.0,0.0,-0.5,-0.26666666666666666
0.3609,0.0,0.0,-0.5,-0.275
0.4609,0.0,0.0,-0.5,-0.2833333333333334
0.5611,0.0,0.0,-0.5,-0.29166666666666674
0.6608,0.0,0.0,-0.5,-0.3000000000000001
0.761,0.0,0.0,-0.5,-0.30833333333333346
0.8609,0.0,0.0,-0.5,-0.3166666666666668
0.9609,0.0,0.0,-0.5,-0.3250000000000002
1.0609,0.0,0.0,-0.5,-0.33333333333333354
1.1609,0.0,0.0,-0.5,-0.3416666666666669
1.2612,0.0,0.0,-0.5,-0.35000000000000026
1.3609,0.0,0.0,-0.5,-0.3583333333333336
1.4609,0.0,0.0,-0.5,-0.366666666666667
1.5609,0.0,0.0,-0.5,-0.37500000000000033
1.6609,0.0,0.0,-0.5,-0.3833333333333337
1.761,0.0,0.0,-0.5,-0.39166666666666705
1.8609,0.0,0.0,-0.5,-0.4
1.961,0.0,0.0,-0.5,-0.4083333333333334
2.0609,0.0,0.0,-0.5,-0.41666666666666674
2.161,0.0,0.0,-0.5,-0.4250000000000001
2.2609,0.0,0.0,-0.5,-0.43333333333333346
2.3609,0.0,0.0,-0.5,-0.4416666666666668
2.4609,0.0,0.0,-0.5,-0.4500000000000002
2.5609,0.0,0.0,-0.5,-0.45833333333333354
2.6609,0.0,0.0,-0.5,-0.4666666666666669
2.7609,0.0,0.0,-0.5,-0.47500000000000026
2.8609,0.0,0.0,-0.5,-0.4833333333333336
2.9609,0.0,0.0,-0.5,-0.491666666666667
3.0609,0.0,0.0,-0.5,-0.5000000000000003
3.1609,0.0,0.0,-0.5,-0.5000000000000003
3.2609,0.0,0.0,-0.5,-0.5000000000000003
3.3609,0.0,0.0,-0.5,-0.5000000000000003
3.4611,0.0,0.0,-0.5,-0.5000000000000003
3.561,0.0,0.0,-0.5,-0.5000000000000003
3.6609,0.0,0.0,-0.5,-0.5000000000000003
3.7609,0.0,0.0,-0.5,-0.5000000000000003
3.861,0.0,0.0,-0.5,-0.5000000000000003
3.9609,0.0,0.0,-0.5,-0.5000000000000003
4.0609,0.0,0.0,-0.5,-0.5000000000000003
4.1609,0.0,0.0,-0.5,-0.5000000000000003
4.2612,0.0,0.0,-0.5,-0.5000000000000003
4.3609,0.0,0.0,-0.5,-0.5000000000000003
4.461,0.0,0.0,-0.5,-0.5000000000000003
4.5609,0.0,0.0,-0.5,-0.5000000000000003
4.6613,0.0,0.0,-0.5,-0.5000000000000003
4.7609,0.0,0.0,-0.5,-0.5000000000000003
4.8621,0.0,0.0,-0.5,-0.5000000000000003
4.9611,0.0,0.0,-0.5,-0.5000000000000003
5.0609,0.0,0.0,-0.5,-0.5000000000000003
5.1609,0.0,0.0,-0.5,-0.5000000000000003
5.2609,0.0,0.0,-0.5,-0.5000000000000003
5.361,0.0,0.0,-0.5,-0.5000000000000003
5.4609,0.0,0.0,-0.5,-0.5000000000000003
5.561,0.0,0.0,-0.5,-0.5000000000000003
5.6609,0.0,0.0,-0.5,-0.5000000000000003
5.7609,0.0,0.0,-0.5,-0.5000000000000003
5.8611,0.0,0.0,-0.5,-0.5000000000000003
5.9611,0.0,0.0,-0.5,-0.5000000000000003
6.0609,0.0,0.0,-0.5,-0.5000000000000003
6.1609,0.0,0.0,-0.5,-0.5000000000000003
6.2611,0.0,0.0,-0.5,-0.5000000000000003
6.3609,0.0,0.0,-0.5,-0.5000000000000003
6.4609,0.0,0.0,-0.5,-0.5000000000000003
6.561,0.0,0.0,-0.5,-0.5000000000000003
6.661,0.0,0.0,-0.5,-0.5000000000000003
6.7609,0.0,0.0,-0.5,-0.5000000000000003
6.861,0.0,0.0,-0.5,-0.5000000000000003
6.9611,0.0,0.0,-0.5,-0.5000000000000003
7.061,0.0,0.0,-0.5,-0.5000000000000003
7.161,0.0,0.0,-0.5,-0.5000000000000003
7.2611,0.0,0.0,-0.5,-0.5000000000000003
