Time [s],Speed [mph],Speed [mps],Acceleration Requested [mps2],Acceleration Achieved [mps2],Calculated Acceleration [mps2],
0,0,0,-1,-1,0,
0.1,0,0,-1,-1,0,
0.2,0,0,-1,-1,0,
0.3,0,0,-1,-1,0,
0.4,0,0,-1,-1,0,
0.5,0,0,-1,-1,0,
0.6,0,0,-1,-1,0,
0.7,0,0,-1,-1,0,
0.8,0,0,-1,-1,0,
0.9,0,0,-1,-1,0,
1,0,0,-1,-1,0,
1.1,0,0,-1,-1,0,
1.2,0,0,-1,-1,0,
1.3,0,0,-1,-1,0,
1.4,0,0,-1,-1,0,
1.5,0,0,-1,-1,0,
1.6,0,0,-1,-1,0,
1.7,0,0,-1,-1,0,
1.8,0,0,-1,-1,0,
1.9,0,0,-1,-1,0,
2,0,0,-1,-1,0,
2.1,0,0,-1,-1,0,
2.2,0,0,-1,-1,0,
2.3,0,0,-1,-1,0,
2.4,0,0,-1,-1,0,
2.5,0,0,-1,-1,0,
2.6,0,0,-1,-1,0,
2.7,0,0,-1,-1,0,
2.8,0,0,-1,-1,0,
2.9,0,0,-1,-1,0,
3,0,0,-1,-1,0,
3.1,0,0,-1,-1,0,
3.2,0,0,-1,-1,0,
3.3,0,0,-1,-1,0,
3.4,0,0,-1,-1,0,
3.5,0,0,-1,-1,0,
3.6,0,0,-1,-1,0,
3.7,0,0,-1,-1,0,
3.8,0,0,-1,-1,0,
3.9,0,0,-1,-1,0,
4,0,0,-1,-1,0,
4.1,0,0,-1,-1,0,
4.2,0,0,-1,-1,0,
4.3,0,0,-1,-1,0,
4.4,0,0,-1,-1,0,
4.5,0,0,-1,-1,0,
4.6,0,0,-1,-1,0,
4.7,0,0,-1,-1,0,
4.8,0,0,-1,-1,0,
4.9,0,0,-1,-1,0,
5,0,0,-1,-1,0,
5.1,0,0,-1,-1,0,
5.2,0,0,-1,-1,0,
5.3,0,0,-1,-1,0,
5.4,0,0,-1,-1,0,
5.5,0,0,-1,-1,0,
5.6,0,0,-1,-1,0,
5.7,0,0,-1,-1,0,
5.8,0,0,-1,-1,0,
5.9,0,0,-1,-1,0,
6,0,0,-1,-1,0,
6.1,0,0,-1,-1,0,
6.2,0,0,-1,-1,0,
6.3,0,0,-1,-1,0,
6.4,0,0,-1,-1,0,
6.5,0,0,-1,-1,0,
6.6,0,0,-1,-1,0,
6.7,0,0,-1,-1,0,
6.8,0,0,-1,-1,0,
6.9,0,0,-1,-1,0,
7,0,0,-1,-1,0,
7.1,0,0,-1,-1,0,
7.2,0,0,-1,-1,0,
7.3,0,0,-1,-1,0,
7.4,0,0,-1,-1,0,
7.5,0,0,-1,-1,0,
7.6,0,0,-1,-1,0,
7.7,0,0,-1,-1,0,
7.8,0,0,-1,-1,0,
7.9,0,0,-1,-1,0,
8,0,0,-1,-1,0,
8.1,0,0,-1,-1,0,
8.2,0,0,-1,-1,0,
8.3,0,0,-1,-1,0,
8.4,0,0,-1,-1,0,
8.5,0,0,-1,-1,0,
8.6,0,0,-1,-1,0,
8.7,0,0,-1,-1,0,
8.8,0,0,-1,-1,0,
8.9,0,0,-0.76392678,-1,0,
9,0,0,0.25,-1,0,-2
9.1,0,0,0.25,-1,0,
9.2,0,0,0.25,-1,0,
9.3,0,0,0.25,-1,0,
9.4,0,0,0.25,-1,0,
9.5,0,0,0.25,-1,0,
9.6,0,0,0.25,-1,0,
9.7,0,0,0.25,-1,0,
9.8,0,0,0.25,-1,0,
9.9,0,0,0.25,-1,0,
10,0,0,0.25,-1,0,
10.1,0,0,0.25,-1,0,
10.2,0,0,0.25,-1,0,
10.3,0,0,0.25,-1,0,
10.4,0,0,0.25,-1,0,
10.5,0,0,0.25,-1,0,
10.6,0,0,0.25,-1,0,
10.7,0,0,0.25,-1,0,
10.8,0,0,0.25,-1,0,
10.9,0.061892553,0.027668477,0.25,-1,0,
11,0.185186237,0.082785747,0.25,0.25,0.551173225,
11.1,0.371901252,0.16625492,0.25,0.25,0.834692526,
11.2,0.495747969,0.221619418,0.25,0.25,0.553645503,
11.3,0.558864216,0.249834936,0.25,0.499670349,0.282155452,
11.4,0.6820355,0.304897488,0.25,0.25,0.550626046,
11.5,0.745150995,0.33311267,0.25,0.475875697,0.282152088,
11.6,0.806983322,0.360754224,0.25,0.45094321,0.276415805,
11.7,0.869424579,0.388667995,0.25,0.431853739,0.279137972,
11.8,0.931749584,0.416529796,0.25,0.416530193,0.278618279,
11.9,0.993579929,0.444170464,0.25,0.403791716,0.276406942,
12,1.056023048,0.472085067,0.25,0.393404598,0.279146298,
12.1,1.117792854,0.499698672,0.25,0.38438396,0.276136311,
12.2,1.169897127,0.522991392,0.25,0.373565636,0.23292742,
12.3,1.1806049,0.5277782,0.25,0.351852469,0.047868129,
12.4,1.229819342,0.549779049,0.25,0.343612233,0.220008695,
12.5,1.291727085,0.577454317,0.25,0.339679334,0.276752948,
12.6,1.3048791,0.5833338,0.25,0.324074642,0.058794887,
12.7,1.354293498,0.605424037,0.25,0.318644534,0.22090258,
12.8,1.3670162,0.6111116,0.25,0.305556091,0.056875685,
12.9,1.416355243,0.63316815,0.25,0.302750125,0.220565712,
13,1.4291533,0.6388894,0.25,0.278052091,0.057212553,
13.1,1.4783803,0.660895862,0.25,0.247320707,0.220064835,
13.2,1.540323814,0.688587122,0.25,0.233484075,0.276912857,
13.3,1.602591994,0.71642352,0.25,0.233294514,0.278364247,
13.4,1.6155646,0.7222228,0.25,0.208662855,0.057992856,
13.5,1.6155646,0.7222228,0.25,0.19455525,0,
13.6,1.6155646,0.7222228,0.25,0.18073446,0,
13.7,1.664734278,0.744203637,0.25,0.177767991,0.219808582,
13.8,1.727040207,0.772056911,0.25,0.177763727,0.278532998,
13.9,1.788946594,0.799731572,0.25,0.177780724,0.276746883,
14,1.8019759,0.8055562,0.25,0.166735725,0.058246331,
14.1,1.851008783,0.827475884,0.25,0.163888763,0.219197054,
14.2,1.91332637,0.855334369,0.25,0.166171647,0.278585113,
14.3,1.975234125,0.883009643,0.25,0.177615891,0.276753,
14.4,2.037488653,0.910839938,0.25,0.180530617,0.278303217,
14.5,2.099433292,0.9385317,0.25,0.180538864,0.276917883,
14.6,2.1126614,0.9444452,0.25,0.180555872,0.059135058,
14.7,2.161936921,0.966473354,0.25,0.18052483,0.220281746,
14.8,2.22413827,0.994279875,0.25,0.19158432,0.278065483,
14.9,2.285981038,1.021926097,0.25,0.194379159,0.276462481,
15,2.348236183,1.049756668,0.25,0.20543383,0.278305973,
15.1,2.410180266,1.077448181,0.25,0.208276358,0.276915399,
15.2,2.472447877,1.105284325,0.25,0.2083488,0.278361705,
15.3,2.534834464,1.133173656,0.25,0.208375267,0.278893574,
15.4,2.5476211,1.1388898,0.25,0.208333699,0.057161494,
15.5,2.596909059,1.160923514,0.25,0.219350566,0.220337345,
15.6,2.658852027,1.188614529,0.25,0.233196087,0.276910416,
15.7,2.721120753,1.216451171,0.25,0.236123992,0.278366688,
15.8,2.7340324,1.2222232,0.25,0.225083359,0.057720346,
15.9,2.832332216,1.266167199,0.25,0.233218035,0.439440405,
16,2.8583066,1.2777788,0.25,0.236111525,0.116116125,
16.1,2.90739394,1.299722829,0.25,0.236123697,0.219440496,
16.2,2.969793629,1.327618017,0.25,0.236142049,0.278952146,
16.3,3.03168718,1.35528694,0.25,0.236138874,0.276689502,
16.4,3.093992409,1.383139901,0.25,0.236150207,0.27852987,
16.5,3.155899496,1.410814876,0.25,0.236141813,0.276750011,
16.6,3.1689921,1.4166678,0.25,0.236111525,0.058529299,
16.7,3.217961622,1.43855916,0.25,0.236043128,0.218913804,
16.8,3.280229225,1.4663953,0.25,0.236057937,0.278361667,
16.9,3.34266541,1.494306803,0.25,0.236190578,0.279115295,
17,3.3554034,1.5000012,0.25,0.225122481,0.056944028,
17.1,3.454076483,1.544112064,0.25,0.233332164,0.44110906,
17.2,3.4796776,1.5555568,0.25,0.225136452,0.11444747,
17.3,3.528951573,1.577584261,0.25,0.222205515,0.220274823,
17.4,3.590907466,1.605281054,0.25,0.23319585,0.276968193,
17.5,3.65312681,1.633095621,0.25,0.236086279,0.27814593,
17.6,3.715009215,1.660759562,0.25,0.236072742,0.276639675,
17.7,3.777312387,1.688611603,0.25,0.236080441,0.278520675,
17.8,3.839761674,1.716528963,0.25,0.247153117,0.279173869,
17.9,3.8525002,1.7222236,0.25,0.228028418,0.056946425,
18,3.901786671,1.744256649,0.25,0.233239147,0.220330696,
18.1,3.963680853,1.771925854,0.25,0.236101738,0.276692322,
18.2,4.025985388,1.799778504,0.25,0.236080469,0.278526765,
18.3,4.087893169,1.82745379,0.25,0.23608365,0.276753116,
18.4,4.150197019,1.855306134,0.25,0.236083342,0.278523707,
18.5,4.212596647,1.883201294,0.25,0.236193435,0.278951872,
18.6,4.2253228,1.8888904,0.25,0.236111525,0.056891111,
18.7,4.274671241,1.910951152,0.25,0.236196221,0.220607728,
18.8,4.2874599,1.9166682,0.25,0.225136665,0.057170537,
18.9,4.38600594,1.960722271,0.25,0.233207956,0.440541127,
19,4.4117341,1.9722238,0.25,0.236111525,0.115015403,
19.1,4.460895144,1.994200777,0.25,0.225044571,0.219769982,
19.2,4.522839248,2.021892301,0.25,0.233167973,0.276915497,
19.3,4.585106838,2.049728435,0.25,0.236072312,0.278361607,
19.4,4.638968185,2.073806638,0.25,0.234263015,0.240782262,
19.5,4.69690359,2.09970611,0.25,0.233305467,0.258994968,
19.6,4.759290177,2.127595441,0.25,0.233418162,0.278893574,
19.7,4.7845567,2.1388906,0.25,0.225139713,0.112951699,
19.8,4.821401764,2.155361836,0.25,0.219416646,0.164712514,
19.9,4.883444759,2.183097567,0.25,0.230437203,0.277357578,
20,4.945539609,2.21085648,0.25,0.233300138,0.27758939,
