Time [s],Speed [mph],Speed [mps],Acceleration Requested [mps2],Acceleration Achieved [mps2],Calculated Acceleration [mps2],
0,0,0,-1,-1,0,
0.1,0,0,-1,-1,0,
0.2,0,0,-1,-1,0,
0.3,0,0,-1,-1,0,
0.4,0,0,-1,-1,0,
0.5,0,0,-1,-1,0,
0.6,0,0,-1,-1,0,
0.7,0,0,-1,-1,0,
0.8,0,0,-1,-1,0,
0.9,0,0,-1,-1,0,
1,0,0,-1,-1,0,
1.1,0,0,-1,-1,0,
1.2,0,0,-1,-1,0,
1.3,0,0,-1,-1,0,
1.4,0,0,-1,-1,0,
1.5,0,0,-1,-1,0,
1.6,0,0,-1,-1,0,
1.7,0,0,-1,-1,0,
1.8,0,0,-1,-1,0,
1.9,0,0,-1,-1,0,
2,0,0,-1,-1,0,
2.1,0,0,-1,-1,0,
2.2,0,0,-1,-1,0,
2.3,0,0,-1,-1,0,
2.4,0,0,-1,-1,0,
2.5,0,0,-1,-1,0,
2.6,0,0,-1,-1,0,
2.7,0,0,-1,-1,0,
2.8,0,0,-1,-1,0,
2.9,0,0,-1,-1,0,
3,0,0,-1,-1,0,
3.1,0,0,-1,-1,0,
3.2,0,0,-1,-1,0,
3.3,0,0,-1,-1,0,
3.4,0,0,-1,-1,0,
3.5,0,0,-1,-1,0,
3.6,0,0,-1,-1,0,
3.7,0,0,-1,-1,0,
3.8,0,0,-1,-1,0,
3.9,0,0,-1,-1,0,
4,0,0,-1,-1,0,
4.1,0,0,-1,-1,0,
4.2,0,0,-1,-1,0,
4.3,0,0,-1,-1,0,
4.4,0,0,-1,-1,0,
4.5,0,0,-1,-1,0,
4.6,0,0,-1,-1,0,
4.7,0,0,-1,-1,0,
4.8,0.073836279,0.033007807,-1,-1,0,
4.9,0.271760081,0.121487762,-1,-1,0.330078384,
5,0.557289232,0.249130854,-1,-1,0,
5.1,0.867868946,0.387972564,-1,-1,0,
5.2,1.153691648,0.515746887,-1,-1,0,
5.3,1.402507606,0.626977696,-1,-1,0,
5.4,1.65069022,0.737925375,-1,-1,0,
5.5,1.875011442,0.838206045,-1,-1,0,
5.6,2.109653072,0.943100356,-1,-1,0,
5.7,2.397181849,1.071637363,-1,-1,0,
5.8,2.645794991,1.182777505,-1,-1,0,
5.9,2.918180847,1.304545013,-1,-1,0,
6,3.229076095,1.443527779,-1,-1,0,
6.1,3.514899304,1.571302328,-1,-1,0,
6.2,3.763618239,1.682489764,-1,-1,0,
6.3,4.03590109,1.804211225,-1,-1,0,
6.4,4.34685784,1.943221485,-1,-1,0,
6.5,4.657028482,2.081880322,-1,-1,0,
6.6,4.944399407,2.210346763,-1,-1,0,
6.7,5.217891984,2.33260902,-1,-1,0,
6.8,5.528125802,2.4712961,-1,-1,0,
6.9,5.838831645,2.610194194,-1,-1,0,
7,6.124557612,2.737925272,-1,-1,0,
7.1,6.421912523,2.870854959,-1,-1,0,
7.2,6.769930812,3.026433228,-1,-1,0,
7.3,7.057460538,3.154970659,-1,-1,0,
7.4,7.355158787,3.288053832,-1,-1,0,
7.5,7.678233469,3.432481298,-1,-1,0,
7.6,7.926897681,3.543644271,-1,-1,0,
7.7,8.199639169,3.665570761,-1,-1,0,
7.8,8.486378421,3.793754818,-1,-1,0,
7.9,8.734465417,3.904659752,-1,-1,0,
8,8.98278673,4.015669435,-1,-1,0,
8.1,9.254909509,4.137319337,-1,-1,0,
8.2,9.51830308,4.255066929,-1,-1,0,
8.3,9.729418506,4.349444074,-1,-1,0,
8.4,9.977402022,4.460302748,-1,-1,0,
8.5,10.22602119,4.571445586,-1,-1,0,
8.6,10.44972299,4.671449347,-1,-1,0,
8.7,10.6364825,4.754938414,-1,-1,0,
8.8,10.84732047,4.849191522,-1,-1,0,
8.9,11.0716672,4.949483594,-1,-1,0,
9,11.2821817,5.043592102,-1,-1,0,
9.1,11.50636828,5.143812582,-1,-1,0,
9.2,11.69231783,5.226939559,-1,-1,0,
9.3,11.87870685,5.310263002,-1,-1,0,
9.4,12.04071258,5.382686123,-1,-1,0,
9.5,12.17778595,5.443963468,-1,-1,0,
9.6,12.32759477,5.510934078,-1,-1,0,
9.7,12.4514659,5.566309493,-1,-1,0,
9.8,12.57597096,5.621968296,-1,-1,0,
9.9,12.69968738,5.677274542,-1,-1,0,
10,12.82441973,5.733034954,-1,-1,0,
10.1,12.93634048,5.783068065,-1,-1,0,
10.2,13.01050761,5.816223776,-1,-1,0,
10.3,13.13445058,5.871631301,-1,-1,0,
10.4,13.25917073,5.927386258,-1,-1,0,
10.5,13.3839001,5.983145339,-1,-1,0,
10.6,13.50767076,6.038475836,-1,-1,0,
10.7,13.63222526,6.094156739,-1,-1,0,
10.8,13.74418469,6.144207141,-1,-1,0,
10.9,13.8183652,6.177368832,-1,-1,0,
11,13.95387644,6.237947846,-1,-1,0,
11.1,14.12897435,6.316223701,-1,-1,0,
11.2,14.25294093,6.37164178,-1,-1,0,
11.3,14.38969993,6.432778592,-1,-1,0,
11.4,14.57598769,6.516056767,-1,-1,0,
11.5,14.76050086,6.598541623,-1,-1,0,
11.6,14.94901746,6.682816179,-1,-1,0,
11.7,15.13481911,6.76587704,-1,-1,0,
11.8,15.32158287,6.849368003,-1,-1,0,
11.9,15.50715018,6.932324105,-1,-1,0,
12,15.69461395,7.016128004,-1,-1,0,
12.1,15.86925868,7.094201272,-1,-1,0,
12.2,16.00499659,7.154881611,-1,-1,0,
12.3,16.19209292,7.238521251,-1,-1,0,
12.4,16.36582658,7.316187231,-1,-1,0,
12.5,16.50225788,7.377177548,-1,-1,0,
12.6,16.6881289,7.460269419,-1,-1,0,
12.7,16.863133,7.538503341,-1,-1,0,
12.8,16.9982865,7.598922426,-1,-1,0,
12.9,17.18586657,7.682778316,-1,-1,0,
13,17.36649796,7.763527859,-1,-1,0,
13.1,17.52106771,7.832626798,-1,-1,0,
13.2,17.58446728,7.860968974,-1,-1,0,
13.3,17.83079604,7.971087905,-1,-1,0,
13.4,17.95708198,8.027542833,-1,-1,0,
13.5,18.0806213,8.082769914,-1,-1,0,
13.6,18.26712447,8.166144381,-1,-1,0,
13.7,18.45243555,8.248985941,-1,-1,0,
13.8,18.5163366,8.277552295,-1,-1,0,
13.9,18.70245795,8.360756078,-1,-1,0,
14,18.88813285,8.443760276,-1,-1,0,
14.1,19.07546673,8.527506107,-1,-1,0,
14.2,19.13752861,8.555250281,-1,-1,0,
14.3,19.32345273,8.638365891,-1,-1,0,
14.4,19.50894823,8.72128989,-1,-1,0,
14.5,19.6342854,8.777320684,-1,-1,0,
14.6,19.75819399,8.832712839,-1,-1,0,
14.7,19.8829573,8.88848709,-1,-1,0,
14.8,20.00785495,8.9443214,-1,-1,0,
14.9,20.19264663,9.026930764,-1,-1,0,
15,20.38015606,9.110755071,-1,-1,0,
15.1,20.44240649,9.138583535,-1,-1,0,
15.2,20.62851656,9.221782275,-0.005367901,-0.005367901,0,
15.3,20.69089307,9.249667097,0,0,0,
15.4,20.81513615,9.305208786,0,0,0,
15.5,20.8159285,9.305563,0,0,0,
15.6,20.93916006,9.360652497,0,0,0,
15.7,21.06405968,9.416487686,0,0,0,
15.8,21.0644769,9.4166742,0,0,0,
15.9,21.12628104,9.444303154,0,0,0,
16,21.24936491,9.499326626,0,0,0,
16.1,21.49760202,9.610298668,0,0,0,
16.2,21.62206222,9.66593742,0,0,0,
16.3,21.67505737,9.689628397,0,0,0,
16.4,21.78386412,9.738269419,0,0,0,
16.5,21.85926106,9.771974906,0,0,0,
16.6,22.02057345,9.844088078,0,0,0,
16.7,22.10792574,9.883138089,0,0,0,
16.8,22.26897259,9.95513255,0,0,0,
16.9,22.3564122,9.994221597,0,0,0,
17,22.51733347,10.06615992,0,0,0,
17.1,22.65383485,10.12718156,0,0,0,
17.2,22.82775375,10.20493036,0,0,0,
17.3,22.91552221,10.24416641,0,0,0,
17.4,22.97779071,10.27200296,0,0,0,
17.5,23.0896276,10.32199857,0,0,0,
17.6,23.21351063,10.3773793,0,0,0,
17.7,23.33805099,10.43305389,0,0,0,
17.8,23.46173973,10.48834777,0,0,0,
17.9,23.58632373,10.54404186,0,0,0,
18,23.66116699,10.57749983,0,0,0,
18.1,23.82183629,10.64932551,0,0,0,
18.2,23.95944697,10.71084306,0,0,0,
18.3,24.06704425,10.7589434,0,0,0,
18.4,24.1091948,10.7777864,0,0,0,
18.5,24.21989539,10.82727405,0,0,0,
18.6,24.4064118,10.91065443,0,0,0,
18.7,24.5187709,10.9608835,0,0,0,
18.8,24.58095104,10.98868054,0,0,0,
18.9,24.679821,11.03287942,0,0,0,
19,24.80406184,11.08842011,0,0,0,
19.1,24.92819484,11.14391258,0,0,0,
19.2,25.05248536,11.19947548,0,0,0,
19.3,25.17720743,11.25523129,0,0,0,
19.4,25.26448883,11.29424962,0,0,0,
19.5,25.36349371,11.33850881,0,0,0,
19.6,25.48752938,11.39395778,0,0,0,
19.7,25.57510712,11.43310857,0,0,0,
19.8,25.67381691,11.47723585,0,0,0,
19.9,25.79807862,11.53278586,0,0,0,
20,25.8859427,11.57206466,0,0,0,
20.1,25.9849692,11.61633352,0,0,0,
20.2,26.07234217,11.65539278,0,0,0,
20.3,26.17118298,11.69957862,0,0,0,
20.4,26.29547523,11.75514229,0,0,0,
20.5,26.41866813,11.8102145,0,0,0,
20.6,26.54330195,11.86593087,0,0,0,
20.7,26.63134413,11.90528929,0,0,0,
20.8,26.73013405,11.94945238,0,0,0,
20.9,26.81799866,11.98873142,0,0,0,
21,26.91695114,12.03296718,0,0,0,
21.1,27.04124424,12.08853124,0,0,0,
21.2,27.16530229,12.14399021,0,0,0,
21.3,27.2896169,12.19956387,0,0,0,
21.4,27.41372679,12.25504602,0,0,0,
